filename,WMC,DIT,NOC,CBO, RFC,NPM,bug
apache.tools.ant.NoBannerLogger,4,0,0,3,16,4,0.0
apache.tools.ant.PathTokenizer,3,1,0,0,15,3,0.0
apache.tools.ant.DefaultLogger,14,1,1,4,32,12,2.0
apache.tools.ant.IntrospectionHelper,14,1,0,20,63,9,2.0
apache.tools.ant.Main,14,1,0,7,82,1,1.0
apache.tools.ant.TaskAdapter,4,0,0,2,15,4,0.0
apache.tools.ant.BuildEvent,11,2,0,3,15,11,0.0
apache.tools.ant.DirectoryScanner,23,1,0,2,51,14,0.0
apache.tools.ant.AntClassLoader,17,2,0,2,64,9,2.0
apache.tools.ant.Task,19,1,2,5,23,16,0.0
apache.tools.ant.Location,5,1,0,0,10,3,0.0
apache.tools.ant.Project,71,1,0,7,186,55,1.0
apache.tools.ant.DesirableFilter,2,1,0,0,6,2,0.0
apache.tools.ant.BuildException,14,4,0,1,28,14,0.0
apache.tools.ant.RuntimeConfigurable,9,1,0,3,25,7,2.0
apache.tools.ant.XmlLogger,10,1,0,9,49,8,0.0
apache.tools.ant.UnknownElement,6,0,0,8,33,5,3.0
apache.tools.ant.Target,19,1,0,5,47,16,1.0
apache.tools.ant.ProjectHelper,17,1,0,7,73,5,3.0
apache.tools.ant.taskdefs.ExecuteWatchdog,8,1,0,1,25,7,0.0
apache.tools.ant.taskdefs.Mkdir,3,0,0,3,14,3,1.0
apache.tools.ant.taskdefs.Copyfile,6,0,0,4,21,6,0.0
apache.tools.ant.taskdefs.GenerateKey,14,0,0,6,33,14,0.0
apache.tools.ant.taskdefs.Javadoc,65,0,0,21,155,59,0.0
apache.tools.ant.taskdefs.LogStreamHandler,1,0,0,3,3,1,0.0
apache.tools.ant.taskdefs.JikesOutputParser,12,1,0,2,21,5,0.0
apache.tools.ant.taskdefs.Ant,10,0,0,8,70,8,0.0
apache.tools.ant.taskdefs.War,9,0,0,7,33,6,0.0
apache.tools.ant.taskdefs.JavacOutputStream,4,2,0,1,11,1,0.0
apache.tools.ant.taskdefs.Exec,10,0,0,5,41,7,0.0
apache.tools.ant.taskdefs.Copy,17,0,1,11,64,13,0.0
apache.tools.ant.taskdefs.Replace,19,0,0,8,69,13,1.0
apache.tools.ant.taskdefs.SQLExec,23,0,0,10,96,19,0.0
apache.tools.ant.taskdefs.KeySubst,8,0,0,3,40,8,0.0
apache.tools.ant.taskdefs.ExecuteOn,11,0,2,12,42,5,0.0
apache.tools.ant.taskdefs.FixCRLF,8,0,0,7,34,8,3.0
apache.tools.ant.taskdefs.Expand,5,0,0,8,45,4,0.0
apache.tools.ant.taskdefs.Transform,9,0,0,12,36,4,0.0
apache.tools.ant.taskdefs.CompileTask,4,0,0,5,21,4,0.0
apache.tools.ant.taskdefs.Rmic,22,0,0,16,72,16,1.0
apache.tools.ant.taskdefs.Tar,8,0,0,12,65,6,0.0
apache.tools.ant.taskdefs.Move,4,0,0,6,32,1,0.0
apache.tools.ant.taskdefs.MatchingTask,12,0,11,6,37,11,0.0
apache.tools.ant.taskdefs.Chmod,14,0,0,10,43,12,0.0
apache.tools.ant.taskdefs.PumpStreamHandler,11,1,1,2,17,8,0.0
apache.tools.ant.taskdefs.ExecuteJava,6,1,0,6,26,6,0.0
apache.tools.ant.taskdefs.Untar,4,0,0,8,42,4,0.0
apache.tools.ant.taskdefs.UpToDate,7,0,0,11,32,6,0.0
apache.tools.ant.taskdefs.Property,27,0,0,9,83,20,2.0
apache.tools.ant.taskdefs.Javac,42,0,1,13,74,40,0.0
apache.tools.ant.taskdefs.ExecTask,19,0,1,13,56,12,0.0
apache.tools.ant.taskdefs.Available,13,0,0,7,35,10,0.0
apache.tools.ant.taskdefs.Tstamp,3,0,0,5,17,3,0.0
apache.tools.ant.taskdefs.Delete,18,0,0,8,49,16,0.0
apache.tools.ant.taskdefs.Touch,8,0,0,4,32,5,0.0
apache.tools.ant.taskdefs.Cvs,12,0,0,12,37,12,0.0
apache.tools.ant.taskdefs.Jikes,2,1,0,5,29,0,0.0
apache.tools.ant.taskdefs.StreamPumper,2,1,0,0,6,2,0.0
apache.tools.ant.taskdefs.Get,8,0,0,6,46,7,0.0
apache.tools.ant.taskdefs.TaskOutputStream,3,2,0,1,9,1,0.0
apache.tools.ant.taskdefs.LogOutputStream,7,2,0,1,15,4,0.0
apache.tools.ant.taskdefs.Echo,7,0,0,7,22,7,0.0
apache.tools.ant.taskdefs.Copydir,8,0,0,6,35,7,0.0
apache.tools.ant.taskdefs.Execute,21,1,0,16,77,14,1.0
apache.tools.ant.taskdefs.Rename,5,0,0,4,18,5,0.0
apache.tools.ant.taskdefs.Filter,6,0,0,4,24,5,0.0
apache.tools.ant.taskdefs.Deltree,4,0,0,3,17,3,0.0
apache.tools.ant.taskdefs.Java,22,0,0,17,77,19,0.0
apache.tools.ant.taskdefs.Exit,3,0,0,2,6,3,0.0
apache.tools.ant.taskdefs.SignJar,14,0,0,5,35,13,0.0
apache.tools.ant.taskdefs.AntStructure,8,0,0,6,55,3,0.0
apache.tools.ant.taskdefs.Taskdef,8,0,0,7,25,8,0.0
apache.tools.ant.taskdefs.GUnzip,4,0,0,4,32,4,0.0
apache.tools.ant.taskdefs.Jar,6,0,1,5,33,3,0.0
apache.tools.ant.taskdefs.Zip,22,0,1,13,104,8,3.0
apache.tools.ant.taskdefs.Patch,9,0,0,9,29,9,0.0
apache.tools.ant.taskdefs.GZip,6,0,0,4,25,4,0.0
apache.tools.ant.taskdefs.CallTarget,5,0,0,7,20,5,0.0
apache.tools.ant.taskdefs.XSLTProcess,13,0,0,7,55,10,0.0
apache.tools.ant.taskdefs.compilers.Jikes,2,0,0,8,23,2,0.0
apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory,3,1,0,7,16,1,0.0
apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter,10,1,4,13,81,4,1.0
apache.tools.ant.taskdefs.compilers.Javac12,3,0,0,7,18,2,0.0
apache.tools.ant.taskdefs.compilers.Javac13,2,0,0,7,17,2,0.0
apache.tools.ant.taskdefs.compilers.Jvc,2,0,0,8,19,2,0.0
apache.tools.ant.types.Commandline,19,1,0,3,46,17,0.0
apache.tools.ant.types.Mapper,11,0,0,8,37,10,0.0
apache.tools.ant.types.CommandlineJava,21,1,0,8,47,21,1.0
apache.tools.ant.types.Path,24,0,0,8,80,18,0.0
apache.tools.ant.types.ZipScanner,6,0,0,1,11,6,0.0
apache.tools.ant.types.FileSet,16,0,1,8,56,14,1.0
apache.tools.ant.types.DataType,9,1,4,3,15,5,0.0
apache.tools.ant.types.Environment,3,1,0,2,9,3,0.0
apache.tools.ant.types.ZipFileSet,9,0,0,7,20,9,0.0
apache.tools.ant.types.EnumeratedAttribute,5,1,0,1,11,5,0.0
apache.tools.ant.types.PatternSet,17,0,0,6,55,11,1.0
apache.tools.ant.types.Reference,5,1,0,2,12,5,0.0
apache.tools.ant.util.GlobPatternMapper,5,1,0,1,15,4,0.0
apache.tools.ant.util.FlatFileNameMapper,4,1,0,1,7,4,0.0
apache.tools.ant.util.IdentityMapper,4,1,0,1,5,4,0.0
apache.tools.ant.util.MergingMapper,4,1,0,1,5,4,0.0
apache.tools.ant.util.SourceFileScanner,3,1,0,2,25,3,0.0
apache.tools.ant.util.DOMElementWriter,5,1,0,0,35,4,0.0
apache.tools.ant.util.RegexpPatternMapper,5,1,0,4,20,4,0.0
apache.tools.ant.util.regexp.JakartaRegexpMatcher,5,1,0,4,13,5,0.0
apache.tools.ant.util.regexp.RegexpMatcherFactory,3,1,0,2,9,2,0.0
apache.tools.ant.util.regexp.JakartaOroMatcher,5,1,0,7,17,5,0.0
apache.tools.mail.SmtpResponseReader,5,1,0,0,18,3,0.0
apache.tools.mail.MailPrintStream,5,4,0,0,9,3,0.0
apache.tools.mail.MailMessage,27,1,0,2,63,10,0.0
