filename,WMC,DIT,NOC,CBO, RFC,LCOM,CE,NPM,bug
apache.tools.ant.NoBannerLogger,4,0,0,3,16,0,0,4,0.0
apache.tools.ant.PathTokenizer,3,1,0,0,15,0,1,3,0.0
apache.tools.ant.DefaultLogger,14,1,1,5,34,47,3,12,1.0
apache.tools.ant.IntrospectionHelper,23,1,0,27,82,201,2,17,0.0
apache.tools.ant.Main,18,1,0,8,91,123,0,3,0.0
apache.tools.ant.ProjectComponent,5,1,1,1,7,0,6,5,0.0
apache.tools.ant.TaskContainer,1,1,0,1,1,0,2,1,0.0
apache.tools.ant.TaskAdapter,5,0,0,4,19,4,3,4,0.0
apache.tools.ant.BuildEvent,11,2,0,4,15,13,7,11,0.0
apache.tools.ant.FileScanner,13,1,0,0,13,78,1,13,0.0
apache.tools.ant.DirectoryScanner,23,1,0,2,52,181,0,14,0.0
apache.tools.ant.DemuxOutputStream,7,2,0,1,18,11,1,4,0.0
apache.tools.ant.AntClassLoader,39,2,0,6,103,609,1,24,0.0
apache.tools.ant.Task,20,0,2,6,28,158,8,16,0.0
apache.tools.ant.Location,5,1,0,0,10,8,5,3,0.0
apache.tools.ant.Project,76,1,0,12,177,2446,13,63,0.0
apache.tools.ant.BuildListener,7,1,0,1,7,21,7,7,0.0
apache.tools.ant.DesirableFilter,2,1,0,0,6,1,0,2,0.0
apache.tools.ant.BuildException,14,4,0,1,26,0,13,14,0.0
apache.tools.ant.Launcher,7,1,0,2,52,19,0,2,0.0
apache.tools.ant.ExitException,2,5,0,0,7,0,0,2,0.0
apache.tools.ant.BuildLogger,4,1,0,1,4,6,2,4,0.0
apache.tools.ant.RuntimeConfigurable,10,1,0,3,30,17,3,8,0.0
apache.tools.ant.XmlLogger,11,1,0,11,61,0,0,8,0.0
apache.tools.ant.UnknownElement,8,0,0,10,38,4,1,6,0.0
apache.tools.ant.Constants,0,1,0,0,0,0,0,0,0.0
apache.tools.ant.Target,21,1,0,7,48,116,8,18,0.0
apache.tools.ant.ProjectHelper,19,1,0,8,81,147,3,7,0.0
apache.tools.ant.listener.Log4jListener,9,1,0,7,34,0,0,8,1.0
apache.tools.ant.taskdefs.ExecuteWatchdog,8,1,0,1,25,0,5,7,0.0
apache.tools.ant.taskdefs.Mkdir,3,0,0,3,14,1,0,3,0.0
apache.tools.ant.taskdefs.Copyfile,6,0,0,5,21,1,0,6,0.0
apache.tools.ant.taskdefs.GenerateKey,14,0,0,7,33,65,0,14,1.0
apache.tools.ant.taskdefs.Javadoc,77,0,0,28,196,2320,0,68,0.0
apache.tools.ant.taskdefs.LogStreamHandler,2,0,0,4,9,1,5,2,0.0
apache.tools.ant.taskdefs.JikesOutputParser,12,1,0,2,21,44,1,5,0.0
apache.tools.ant.taskdefs.XSLTLiaison,3,1,0,0,3,3,1,3,0.0
apache.tools.ant.taskdefs.Ant,13,0,0,9,78,8,1,9,3.0
apache.tools.ant.taskdefs.War,9,0,0,8,33,28,0,6,0.0
apache.tools.ant.taskdefs.JavacOutputStream,4,2,0,1,11,0,0,1,0.0
apache.tools.ant.taskdefs.Exec,10,0,0,6,41,21,0,7,0.0
apache.tools.ant.taskdefs.Copy,20,0,1,15,74,92,1,14,2.0
apache.tools.ant.taskdefs.Replace,20,0,0,7,71,102,0,14,1.0
apache.tools.ant.taskdefs.SQLExec,26,0,0,15,108,233,0,22,1.0
apache.tools.ant.taskdefs.KeySubst,8,0,0,2,39,10,0,8,0.0
apache.tools.ant.taskdefs.ExecuteOn,15,0,2,16,55,37,2,9,1.0
apache.tools.ant.taskdefs.FixCRLF,17,0,0,10,83,70,0,10,0.0
apache.tools.ant.taskdefs.Expand,6,0,0,9,48,5,0,5,1.0
apache.tools.ant.taskdefs.Transform,1,0,0,1,2,0,0,1,0.0
apache.tools.ant.taskdefs.CVSPass,6,0,0,2,29,0,0,5,0.0
apache.tools.ant.taskdefs.CompileTask,4,0,0,6,21,0,0,4,0.0
apache.tools.ant.taskdefs.Rmic,44,0,0,14,91,802,0,40,0.0
apache.tools.ant.taskdefs.Tar,8,0,0,13,65,2,0,6,0.0
apache.tools.ant.taskdefs.Move,5,0,0,10,42,10,0,1,1.0
apache.tools.ant.taskdefs.Definer,14,0,2,8,41,67,3,11,0.0
apache.tools.ant.taskdefs.ManifestException,1,3,0,0,2,0,2,1,0.0
apache.tools.ant.taskdefs.MatchingTask,14,0,12,7,41,0,13,13,0.0
apache.tools.ant.taskdefs.Chmod,16,0,0,13,55,26,0,14,1.0
apache.tools.ant.taskdefs.PumpStreamHandler,13,1,1,2,20,46,6,8,0.0
apache.tools.ant.taskdefs.ExecuteJava,6,1,0,6,28,1,1,6,0.0
apache.tools.ant.taskdefs.SendEmail,8,0,0,5,41,10,0,8,1.0
apache.tools.ant.taskdefs.Untar,5,0,0,9,43,0,0,5,0.0
apache.tools.ant.taskdefs.UpToDate,10,0,0,13,35,11,0,8,1.0
apache.tools.ant.taskdefs.Property,26,0,0,10,74,265,2,20,1.0
apache.tools.ant.taskdefs.Sequential,3,0,0,3,10,0,0,3,0.0
apache.tools.ant.taskdefs.Javac,50,0,1,14,82,1091,1,47,1.0
apache.tools.ant.taskdefs.ExecTask,23,0,1,14,69,163,4,14,3.0
apache.tools.ant.taskdefs.Available,18,0,0,9,49,115,0,14,0.0
apache.tools.ant.taskdefs.DependSet,6,0,0,8,34,0,0,6,2.0
apache.tools.ant.taskdefs.Tstamp,3,0,0,6,17,0,0,3,0.0
apache.tools.ant.taskdefs.Delete,19,0,0,10,52,27,0,17,0.0
apache.tools.ant.taskdefs.Touch,8,0,0,8,39,0,3,6,0.0
apache.tools.ant.taskdefs.Cvs,15,0,0,15,54,59,0,15,1.0
apache.tools.ant.taskdefs.Jikes,2,1,0,5,29,0,0,0,0.0
apache.tools.ant.taskdefs.StreamPumper,2,1,0,0,6,0,1,2,0.0
apache.tools.ant.taskdefs.Ear,7,0,0,8,31,13,0,4,0.0
apache.tools.ant.taskdefs.Get,8,0,0,7,46,10,0,7,0.0
apache.tools.ant.taskdefs.TaskOutputStream,3,2,0,1,9,0,0,1,0.0
apache.tools.ant.taskdefs.Parallel,3,0,0,5,22,0,0,3,0.0
apache.tools.ant.taskdefs.LogOutputStream,7,2,0,1,15,1,3,4,0.0
apache.tools.ant.taskdefs.Echo,7,0,0,8,22,0,0,7,0.0
apache.tools.ant.taskdefs.PathConvert,14,0,0,8,41,33,0,10,0.0
apache.tools.ant.taskdefs.Execute,21,1,0,17,78,158,9,15,1.0
apache.tools.ant.taskdefs.Copydir,8,0,0,7,35,4,0,7,0.0
apache.tools.ant.taskdefs.Rename,5,0,0,4,17,0,0,5,0.0
apache.tools.ant.taskdefs.ExecuteStreamHandler,5,1,0,0,5,10,9,5,0.0
apache.tools.ant.taskdefs.Sleep,10,0,0,2,21,21,0,9,0.0
apache.tools.ant.taskdefs.Filter,6,0,0,6,16,5,0,5,0.0
apache.tools.ant.taskdefs.ConditionTask,4,0,0,4,12,0,0,4,1.0
apache.tools.ant.taskdefs.RecorderEntry,17,1,0,4,39,74,1,13,0.0
apache.tools.ant.taskdefs.Manifest,9,1,0,4,53,0,1,9,0.0
apache.tools.ant.taskdefs.Deltree,4,0,0,3,17,4,0,3,0.0
apache.tools.ant.taskdefs.Java,26,0,0,19,87,105,0,21,0.0
apache.tools.ant.taskdefs.Exit,4,0,0,5,12,0,0,4,2.0
apache.tools.ant.taskdefs.SignJar,18,0,0,8,55,119,0,15,0.0
apache.tools.ant.taskdefs.AntStructure,10,0,0,7,60,41,0,3,1.0
apache.tools.ant.taskdefs.Taskdef,2,0,0,3,4,1,1,1,0.0
apache.tools.ant.taskdefs.GUnzip,4,0,0,5,32,2,0,4,0.0
apache.tools.ant.taskdefs.Jar,14,0,2,10,64,69,2,5,0.0
apache.tools.ant.taskdefs.Zip,28,0,1,18,123,302,3,11,0.0
apache.tools.ant.taskdefs.Patch,9,0,0,9,29,0,0,9,0.0
apache.tools.ant.taskdefs.GZip,6,0,0,3,24,11,0,4,0.0
apache.tools.ant.taskdefs.CallTarget,8,0,0,8,28,0,0,6,1.0
apache.tools.ant.taskdefs.XSLTProcess,21,0,0,13,73,128,0,14,0.0
apache.tools.ant.taskdefs.Recorder,8,0,0,9,32,6,0,6,1.0
apache.tools.ant.taskdefs.Typedef,2,0,0,3,4,1,0,1,0.0
apache.tools.ant.taskdefs.compilers.Jikes,2,0,0,8,24,1,1,2,0.0
apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory,3,1,0,11,20,3,0,1,1.0
apache.tools.ant.taskdefs.compilers.Gcj,3,0,0,8,22,3,1,2,0.0
apache.tools.ant.taskdefs.compilers.Javac12,3,0,0,7,20,3,1,2,0.0
apache.tools.ant.taskdefs.compilers.Javac13,2,0,0,6,13,1,1,2,0.0
apache.tools.ant.taskdefs.compilers.Jvc,2,0,0,8,19,1,1,2,0.0
apache.tools.ant.taskdefs.compilers.Kjc,4,0,0,9,25,6,1,2,0.0
apache.tools.ant.taskdefs.compilers.JavacExternal,2,0,0,5,11,1,1,2,0.0
apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter,11,1,8,14,86,15,8,4,1.0
apache.tools.ant.taskdefs.compilers.CompilerAdapter,2,1,0,2,2,1,2,2,0.0
apache.tools.ant.taskdefs.compilers.Sj,2,0,0,5,9,1,1,2,0.0
apache.tools.ant.taskdefs.condition.Equals,4,1,0,2,7,2,1,4,1.0
apache.tools.ant.taskdefs.condition.Not,2,0,0,3,8,1,1,2,1.0
apache.tools.ant.taskdefs.condition.And,2,0,0,3,7,1,1,2,1.0
apache.tools.ant.taskdefs.condition.Or,2,0,0,3,7,1,1,2,1.0
apache.tools.ant.taskdefs.condition.ConditionBase,13,1,3,10,18,0,3,9,1.0
apache.tools.ant.taskdefs.condition.Os,3,1,0,2,14,1,1,3,1.0
apache.tools.ant.taskdefs.condition.Condition,1,1,0,1,1,0,5,1,1.0
apache.tools.ant.taskdefs.rmic.WLRmic,5,0,0,6,18,10,1,4,1.0
apache.tools.ant.taskdefs.rmic.DefaultRmicAdapter,17,1,3,12,66,90,3,6,0.0
apache.tools.ant.taskdefs.rmic.RmicAdapterFactory,3,1,0,6,15,3,0,1,1.0
apache.tools.ant.taskdefs.rmic.RmicAdapter,4,1,0,4,4,6,2,4,1.0
apache.tools.ant.taskdefs.rmic.KaffeRmic,3,0,0,6,19,3,1,2,1.0
apache.tools.ant.taskdefs.rmic.SunRmic,3,0,0,7,22,3,1,2,1.0
apache.tools.ant.types.Commandline,19,1,0,3,46,65,1,17,0.0
apache.tools.ant.types.Mapper,11,0,0,8,38,11,0,10,0.0
apache.tools.ant.types.FilterSetCollection,5,1,0,1,13,0,0,5,0.0
apache.tools.ant.types.Description,2,0,0,3,8,1,0,2,1.0
apache.tools.ant.types.CommandlineJava,26,1,0,8,62,119,0,24,1.0
apache.tools.ant.types.Path,26,0,0,8,80,201,2,20,0.0
apache.tools.ant.types.FilterSet,18,0,0,5,59,103,1,14,0.0
apache.tools.ant.types.FileList,8,0,0,4,29,0,0,6,0.0
apache.tools.ant.types.ZipScanner,6,0,0,1,11,13,1,6,0.0
apache.tools.ant.types.FileSet,18,0,1,8,62,0,2,16,0.0
apache.tools.ant.types.DataType,10,0,7,4,24,19,8,5,0.0
apache.tools.ant.types.Environment,3,1,0,2,9,0,1,3,0.0
apache.tools.ant.types.ZipFileSet,9,0,0,7,20,4,0,9,0.0
apache.tools.ant.types.EnumeratedAttribute,5,1,0,1,11,8,0,5,0.0
apache.tools.ant.types.PatternSet,20,0,0,6,60,114,1,14,0.0
apache.tools.ant.types.Reference,5,1,0,2,12,4,6,5,0.0
apache.tools.ant.util.FileUtils,16,1,0,3,78,118,0,12,0.0
apache.tools.ant.util.GlobPatternMapper,5,1,0,1,15,0,0,4,0.0
apache.tools.ant.util.FileNameMapper,3,1,0,0,3,3,6,3,0.0
apache.tools.ant.util.FlatFileNameMapper,4,1,0,1,7,6,0,4,0.0
apache.tools.ant.util.IdentityMapper,4,1,0,1,5,6,0,4,0.0
apache.tools.ant.util.MergingMapper,4,1,0,1,5,0,0,4,0.0
apache.tools.ant.util.SourceFileScanner,3,1,0,2,25,1,0,3,0.0
apache.tools.ant.util.DOMElementWriter,5,1,0,0,36,4,0,4,0.0
apache.tools.ant.util.RegexpPatternMapper,5,1,0,4,20,0,0,4,0.0
apache.tools.ant.util.regexp.RegexpMatcher,4,1,0,1,4,6,3,4,0.0
apache.tools.ant.util.regexp.JakartaRegexpMatcher,5,1,0,4,13,0,0,5,0.0
apache.tools.ant.util.regexp.RegexpMatcherFactory,3,1,0,2,9,3,0,2,0.0
apache.tools.ant.util.regexp.JakartaOroMatcher,5,1,0,7,17,0,0,5,0.0
apache.tools.mail.SmtpResponseReader,5,1,0,0,18,0,1,3,0.0
apache.tools.mail.MailPrintStream,5,4,0,0,9,10,1,3,0.0
apache.tools.mail.MailMessage,27,1,0,2,63,297,0,10,0.0
apache.tools.zip.ZipEntry,23,2,0,3,68,181,1,17,0.0
apache.tools.zip.ZipOutputStream,17,4,0,3,81,40,0,10,0.0
apache.tools.zip.ExtraFieldUtils,8,1,0,3,39,22,1,6,0.0
apache.tools.zip.AsiExtraField,20,1,0,4,42,130,0,18,0.0
apache.tools.zip.ZipShort,7,1,0,0,8,0,6,7,0.0
apache.tools.zip.ZipExtraField,6,1,0,1,6,15,4,6,0.0
apache.tools.zip.UnixStat,0,1,0,0,0,0,1,0,0.0
apache.tools.zip.UnrecognizedExtraField,10,1,0,2,13,31,1,10,0.0
apache.tools.zip.ZipLong,7,1,0,0,8,0,2,7,0.0
