filename,wmc,dit,noc,cbo,rfc,npm,bug
apache.tools.ant.NoBannerLogger,4,0,0,4,16,4,0.0
apache.tools.ant.PathTokenizer,3,1,0,1,17,3,0.0
apache.tools.ant.AntTypeDefinition,20,1,0,4,45,16,0.0
apache.tools.ant.DefaultLogger,16,1,1,7,39,12,1.0
apache.tools.ant.IntrospectionHelper,33,1,0,25,100,22,3.0
apache.tools.ant.Main,23,1,0,14,113,5,0.0
apache.tools.ant.ProjectComponent,5,1,1,1,8,5,1.0
apache.tools.ant.TaskAdapter,7,0,0,5,26,6,0.0
apache.tools.ant.BuildEvent,11,2,0,4,15,11,0.0
apache.tools.ant.DirectoryScanner,53,1,0,9,119,28,2.0
apache.tools.ant.DemuxOutputStream,10,2,0,3,30,5,0.0
apache.tools.ant.PropertyHelper,20,1,0,2,50,18,1.0
apache.tools.ant.DemuxInputStream,3,2,0,1,5,3,0.0
apache.tools.ant.MagicNames,1,1,0,0,2,1,0.0
apache.tools.ant.AntClassLoader,49,2,0,8,126,31,10.0
apache.tools.ant.Task,30,0,2,7,52,20,1.0
apache.tools.ant.Location,8,1,0,1,19,6,0.0
apache.tools.ant.Project,100,1,0,23,247,87,5.0
apache.tools.ant.Diagnostics,17,1,0,4,58,5,1.0
apache.tools.ant.ComponentHelper,34,1,0,16,132,23,2.0
apache.tools.ant.BuildException,15,4,0,1,27,15,0.0
apache.tools.ant.ExitException,3,5,0,0,8,3,0.0
apache.tools.ant.RuntimeConfigurable,21,1,0,8,66,19,1.0
apache.tools.ant.XmlLogger,16,1,0,13,74,12,0.0
apache.tools.ant.UnknownElement,28,0,0,14,89,16,4.0
apache.tools.ant.Target,23,1,0,6,57,19,2.0
apache.tools.ant.ProjectHelper,18,1,0,9,68,17,1.0
apache.tools.ant.filters.BaseParamFilterReader,4,0,11,3,7,3,0.0
apache.tools.ant.filters.StripLineComments,8,0,0,5,26,5,0.0
apache.tools.ant.filters.StripJavaComments,4,0,0,2,7,4,0.0
apache.tools.ant.filters.HeadFilter,10,0,0,5,25,6,0.0
apache.tools.ant.filters.LineContainsRegExp,8,0,0,8,29,5,0.0
apache.tools.ant.filters.StripLineBreaks,7,0,0,4,17,5,0.0
apache.tools.ant.filters.PrefixLines,7,0,0,4,22,5,0.0
apache.tools.ant.filters.TokenFilter,19,0,0,16,40,19,0.0
apache.tools.ant.filters.ClassConstants,5,0,0,2,20,4,1.0
apache.tools.ant.filters.StringInputStream,9,2,0,0,23,9,0.0
apache.tools.ant.filters.ExpandProperties,4,0,0,3,13,4,0.0
apache.tools.ant.filters.ReplaceTokens,13,0,0,6,39,7,1.0
apache.tools.ant.filters.BaseFilterReader,10,3,5,2,21,5,0.0
apache.tools.ant.filters.EscapeUnicode,5,0,0,3,19,4,0.0
apache.tools.ant.filters.ConcatFilter,9,0,0,5,28,8,0.0
apache.tools.ant.filters.TabsToSpaces,7,0,0,4,18,5,0.0
apache.tools.ant.filters.LineContains,8,0,0,5,26,5,0.0
apache.tools.ant.filters.TailFilter,10,0,0,5,30,6,0.0
apache.tools.ant.filters.util.JavaClassHelper,3,1,0,5,19,2,0.0
apache.tools.ant.filters.util.ChainReaderHelper,10,1,0,12,39,8,0.0
apache.tools.ant.helper.ProjectHelperImpl,14,0,0,13,63,2,1.0
apache.tools.ant.helper.AntXMLContext,26,1,0,3,47,26,1.0
