filename,WMC,DIT,NOC,CBO,RFC,NPM,bug
apache.tools.ant.ExitStatusException,4,0,0,2,7,4,0.0
apache.tools.ant.NoBannerLogger,4,0,0,4,16,4,1.0
apache.tools.ant.Main,24,1,0,17,126,5,4.0
apache.tools.ant.ProjectComponent,10,1,1,2,14,10,0.0
apache.tools.ant.DirectoryScanner,63,1,0,10,142,31,3.0
apache.tools.ant.DemuxOutputStream,10,2,0,3,30,5,0.0
apache.tools.ant.PropertyHelper,23,1,0,2,55,18,3.0
apache.tools.ant.MagicNames,1,1,0,0,2,0,2.0
apache.tools.ant.Task,29,0,2,8,66,19,0.0
apache.tools.ant.ComponentHelper,40,1,0,16,154,26,0.0
apache.tools.ant.BuildException,15,4,3,1,29,15,0.0
apache.tools.ant.ExitException,3,5,0,0,8,3,0.0
apache.tools.ant.RuntimeConfigurable,25,1,0,9,71,22,1.0
apache.tools.ant.XmlLogger,16,1,0,13,75,12,1.0
apache.tools.ant.UnknownElement,31,0,0,15,118,19,3.0
apache.tools.ant.PathTokenizer,3,1,0,1,17,3,0.0
apache.tools.ant.AntTypeDefinition,22,1,0,4,48,18,0.0
apache.tools.ant.DefaultLogger,18,1,1,7,40,12,3.0
apache.tools.ant.IntrospectionHelper,36,1,0,28,121,24,4.0
apache.tools.ant.TaskAdapter,7,0,0,6,29,6,0.0
apache.tools.ant.BuildEvent,11,2,0,3,15,11,0.0
apache.tools.ant.DemuxInputStream,3,2,0,1,5,3,0.0
apache.tools.ant.AntClassLoader,57,2,0,16,168,35,6.0
apache.tools.ant.Location,11,1,0,1,26,9,0.0
apache.tools.ant.UnsupportedElementException,2,0,0,1,3,2,0.0
apache.tools.ant.Project,121,1,0,30,290,103,10.0
apache.tools.ant.Diagnostics,31,1,0,9,104,5,3.0
apache.tools.ant.UnsupportedAttributeException,2,0,0,1,3,2,0.0
apache.tools.ant.Target,28,1,0,7,63,24,1.0
apache.tools.ant.ProjectHelper,18,1,0,8,67,17,1.0
apache.tools.ant.dispatch.DispatchUtils,2,1,0,4,22,2,0.0
apache.tools.ant.dispatch.DispatchTask,4,0,0,2,5,4,0.0
apache.tools.ant.filters.HeadFilter,10,0,0,4,25,6,0.0
apache.tools.ant.filters.LineContainsRegExp,10,0,0,6,32,7,0.0
apache.tools.ant.filters.ClassConstants,5,0,0,3,21,4,0.0
