filename,WMC,DIT,NOC,CBO, RFC,NPM,bug
apache.camel.RuntimeTransformException,3,0,0,1,6,3,0.0
apache.camel.NoSuchEndpointException,2,0,0,1,6,2,0.0
apache.camel.Route,8,1,0,1,12,7,0.0
apache.camel.NoTypeConversionAvailableException,3,0,0,1,9,3,0.0
apache.camel.CamelException,4,3,0,0,8,4,0.0
apache.camel.InvalidHeaderTypeException,4,0,0,1,13,3,0.0
apache.camel.CamelTemplate,25,0,0,14,45,20,0.0
apache.camel.ResolveEndpointFailedException,2,0,0,1,7,2,0.0
apache.camel.RuntimeCamelException,4,4,8,0,8,4,0.0
apache.camel.ExpectedBodyTypeException,3,0,0,3,10,3,0.0
apache.camel.FailedToCreateProducerException,2,0,0,2,7,2,0.0
apache.camel.RuntimeExpressionException,3,0,0,1,6,3,0.0
apache.camel.builder.ProcessorBuilder,6,1,0,7,12,6,0.0
apache.camel.builder.LoggingErrorHandlerBuilder,9,1,0,6,12,9,0.0
apache.camel.builder.Builder,9,1,0,3,16,9,0.0
apache.camel.builder.IdempotentConsumerBuilder,4,0,0,6,6,2,0.0
apache.camel.builder.UndefinedDestinationException,1,0,0,1,2,1,0.0
apache.camel.builder.DeadLetterChannelBuilder,28,1,0,14,48,28,0.0
apache.camel.builder.InterceptorBuilder,4,1,0,5,14,4,0.0
apache.camel.builder.ConstantProcessorBuilder,2,1,0,2,3,2,0.0
apache.camel.builder.RecipientListBuilder,2,0,0,6,4,2,0.0
apache.camel.builder.SplitterBuilder,2,0,0,4,5,2,0.0
apache.camel.builder.PredicateBuilder,15,1,0,15,30,15,1.0
apache.camel.builder.ResequencerBuilder,8,0,0,6,13,8,0.0
apache.camel.builder.BuilderSupport,27,1,3,13,47,24,0.0
apache.camel.builder.ToBuilder,2,0,0,4,4,2,0.0
apache.camel.builder.FromBuilder,47,0,8,32,97,41,0.0
apache.camel.builder.PipelineBuilder,2,0,0,3,4,2,0.0
apache.camel.builder.ExpressionBuilder,18,1,0,19,39,18,0.0
apache.camel.builder.WhenBuilder,7,0,0,7,8,7,0.0
apache.camel.builder.FilterBuilder,6,0,1,5,10,6,0.0
apache.camel.builder.NoErrorHandlerBuilder,3,1,0,2,4,3,0.0
apache.camel.builder.RouteBuilder,14,0,0,7,34,9,0.0
apache.camel.builder.MulticastBuilder,2,0,0,3,4,2,0.0
apache.camel.builder.ChoiceBuilder,6,0,0,6,16,6,0.0
apache.camel.builder.PolicyBuilder,4,1,0,5,15,4,0.0
apache.camel.builder.ValueBuilder,26,1,0,5,47,24,0.0
apache.camel.builder.xml.DomResultHandler,3,1,0,2,7,3,0.0
apache.camel.builder.xml.NamespaceBuilder,5,1,0,1,16,5,0.0
apache.camel.builder.xml.StreamResultHandler,3,1,0,2,8,3,0.0
apache.camel.builder.xml.DefaultNamespaceContext,8,1,0,0,36,8,0.0
apache.camel.builder.xml.MessageVariableResolver,6,1,0,4,26,5,0.0
apache.camel.builder.xml.InvalidXPathExpression,2,0,0,1,7,2,0.0
apache.camel.builder.xml.XPathBuilder,32,1,0,9,65,29,0.0
apache.camel.builder.xml.StringResultHandler,3,1,0,2,8,3,0.0
apache.camel.builder.xml.XsltBuilder,25,1,0,11,63,22,1.0
apache.camel.component.direct.DirectEndpoint,10,0,0,15,28,7,0.0
apache.camel.component.direct.DirectComponent,5,1,0,7,11,5,0.0
apache.camel.component.file.FileMessage,10,0,0,4,14,10,0.0
apache.camel.component.file.FileComponent,3,0,0,5,8,2,0.0
apache.camel.component.file.FileEndpoint,10,0,0,11,17,9,1.0
apache.camel.component.file.FileConsumer,14,0,0,8,39,7,1.0
apache.camel.component.file.FileExchange,3,0,0,4,6,3,0.0
apache.camel.component.file.FileProducer,5,0,0,8,31,3,2.0
apache.camel.component.jmx.JMXComponent,5,0,0,5,10,4,0.0
apache.camel.component.jmx.JMXEndpoint,20,0,0,12,42,18,0.0
apache.camel.component.jmx.JMXConsumer,2,0,0,6,7,2,0.0
apache.camel.component.jmx.JMXExchange,1,0,0,4,4,1,0.0
apache.camel.component.jmx.JMXMessage,9,0,0,4,12,9,0.0
apache.camel.component.mock.MockComponent,2,0,0,4,4,1,0.0
apache.camel.component.mock.AssertionClause,9,1,0,7,24,7,0.0
apache.camel.component.mock.MockEndpoint,34,0,0,17,72,28,0.0
apache.camel.component.pojo.NoPojoAvailableException,2,0,0,2,7,2,0.0
apache.camel.component.pojo.PojoInvocation,4,1,0,0,5,4,0.0
apache.camel.component.pojo.PojoComponent,9,0,0,6,20,8,0.0
apache.camel.component.pojo.PojoExchange,4,0,0,5,9,4,0.0
apache.camel.component.pojo.PojoEndpoint,9,0,0,13,23,9,0.0
apache.camel.component.pojo.timer.TimerConsumer,6,0,0,10,43,3,0.0
apache.camel.component.pojo.timer.TimerEndpoint,19,0,0,13,30,19,0.0
apache.camel.component.pojo.timer.TimerComponent,4,0,0,4,9,1,0.0
apache.camel.component.processor.ProcessorEndpoint,8,0,0,12,15,6,0.0
apache.camel.component.processor.ProcessorEndpointConsumer,3,0,0,5,10,1,0.0
apache.camel.component.queue.QueueEndpoint,7,0,0,12,13,6,0.0
apache.camel.component.queue.QueueComponent,3,0,0,3,6,2,0.0
apache.camel.component.queue.QueueEndpointConsumer,5,0,0,5,19,3,0.0
apache.camel.converter.NIOConverter,9,1,0,0,26,9,1.0
apache.camel.converter.CollectionConverter,6,1,0,0,13,6,0.0
apache.camel.converter.IOConverter,16,1,0,2,39,15,0.0
apache.camel.converter.ObjectConverter,5,1,0,0,15,5,0.0
apache.camel.converter.jaxp.BytesSource,6,2,0,0,14,6,0.0
apache.camel.converter.jaxp.StringSource,7,2,0,0,17,7,0.0
apache.camel.converter.jaxp.XmlConverter,39,1,0,3,97,38,0.0
apache.camel.impl.DefaultPollingConsumer,12,0,0,10,27,8,0.0
apache.camel.impl.ReflectionInjector,2,1,0,2,6,2,0.0
apache.camel.impl.DefaultCamelContext,32,0,0,21,76,25,1.0
apache.camel.impl.DefaultExchangeConverter,2,1,0,2,3,2,0.0
apache.camel.impl.DefaultComponent,11,0,0,9,22,7,0.0
apache.camel.impl.PollingConsumerRoute,5,0,0,5,13,4,0.0
apache.camel.impl.PredicateSupport,4,1,0,2,11,3,0.0
apache.camel.impl.DefaultConsumer,9,0,1,7,19,6,0.0
apache.camel.impl.ScheduledPollEndpoint,5,0,0,4,8,3,0.0
apache.camel.impl.DefaultMessage,11,0,0,5,23,9,0.0
apache.camel.impl.BinaryPredicateSupport,9,1,0,4,17,5,0.0
apache.camel.impl.PollingConsumerSupport,6,0,1,5,14,5,0.0
apache.camel.impl.CachingInjector,3,1,0,2,6,2,0.0
apache.camel.impl.DefaultProducer,6,0,0,4,9,4,0.0
