filename,WMC,DIT,NOC,CBO,RFC,NPM,bug
apache.camel.RuntimeTransformException,3,0,0,1,6,3,0.0
apache.camel.NoTypeConversionAvailableException,4,0,0,1,11,4,1.0
apache.camel.CamelException,4,3,2,0,8,4,1.0
apache.camel.NoSuchLanguageException,2,0,0,1,6,2,0.0
apache.camel.RuntimeCamelException,4,4,11,0,8,4,1.0
apache.camel.ExpectedBodyTypeException,3,0,0,3,10,3,0.0
apache.camel.FailedToCreateProducerException,2,0,0,2,7,2,1.0
apache.camel.ValidationException,2,0,0,2,4,2,0.0
apache.camel.RuntimeExchangeException,3,0,1,2,10,3,1.0
apache.camel.InvalidPayloadException,3,0,0,4,12,3,1.0
apache.camel.AlreadyStoppedException,1,0,0,1,2,1,1.0
apache.camel.NoSuchEndpointException,2,0,0,1,6,2,1.0
apache.camel.Route,11,1,0,2,16,10,2.0
apache.camel.InvalidHeaderTypeException,4,0,0,1,13,3,1.0
apache.camel.CamelTemplate,2,0,0,3,4,2,2.0
apache.camel.ResolveEndpointFailedException,3,0,0,1,9,3,0.0
apache.camel.InvalidTypeException,3,0,0,3,10,3,1.0
apache.camel.NoSuchPropertyException,5,0,0,2,13,3,1.0
apache.camel.CamelExchangeException,4,0,6,2,10,3,1.0
apache.camel.RuntimeExpressionException,3,0,0,1,6,3,0.0
apache.camel.builder.ProcessorBuilder,13,1,0,14,26,12,1.0
apache.camel.builder.LoggingErrorHandlerBuilder,9,0,0,9,13,9,0.0
apache.camel.builder.Builder,11,1,0,3,22,10,0.0
apache.camel.builder.ErrorHandlerBuilderSupport,4,1,4,3,11,3,1.0
apache.camel.builder.ExpressionClause,44,0,0,8,72,44,5.0
apache.camel.builder.DeadLetterChannelBuilder,32,0,0,18,55,32,1.0
apache.camel.builder.ConstantProcessorBuilder,2,1,0,2,3,2,1.0
apache.camel.builder.PredicateBuilder,17,1,0,17,34,16,0.0
apache.camel.builder.BinaryPredicateSupport,9,1,0,4,17,5,0.0
apache.camel.builder.BuilderSupport,31,1,1,15,59,28,2.0
apache.camel.builder.ExpressionBuilder,30,1,0,29,61,29,3.0
apache.camel.builder.NoErrorHandlerBuilder,3,0,0,4,4,3,1.0
apache.camel.builder.RouteBuilder,24,0,1,14,55,20,3.0
apache.camel.builder.PredicateSupport,4,1,0,2,12,3,0.0
apache.camel.builder.NoRouteBuilder,4,0,0,1,5,3,0.0
apache.camel.builder.ValueBuilder,26,1,0,5,47,24,0.0
apache.camel.builder.xml.DomResultHandler,3,1,0,2,7,3,0.0
apache.camel.builder.xml.StringResultHandlerFactory,2,1,0,3,4,2,1.0
apache.camel.builder.xml.XPathLanguage,6,1,0,4,9,5,1.0
apache.camel.builder.xml.StringResultHandler,3,1,0,2,8,3,0.0
apache.camel.builder.xml.XPathBuilder,49,1,0,17,93,42,2.0
apache.camel.builder.xml.XsltBuilder,30,1,0,12,73,27,3.0
apache.camel.builder.xml.StreamResultHandler,3,1,0,2,8,3,0.0
apache.camel.builder.xml.DomResultHandlerFactory,2,1,0,3,4,2,2.0
apache.camel.builder.xml.DefaultNamespaceContext,8,1,0,1,28,8,0.0
apache.camel.builder.xml.MessageVariableResolver,6,1,0,4,27,5,2.0
apache.camel.builder.xml.InvalidXPathExpression,2,0,0,1,7,2,0.0
apache.camel.builder.xml.Namespaces,11,1,0,4,30,11,2.0
apache.camel.builder.xml.StreamResultHandlerFactory,2,1,0,3,4,2,2.0
apache.camel.component.bean.BeanComponent,9,0,0,13,26,5,3.0
apache.camel.component.bean.XPathAnnotationExpressionFactory,2,0,0,7,9,2,2.0
apache.camel.component.bean.BeanProcessor,15,0,0,16,50,11,9.0
apache.camel.component.bean.BeanInvocation,10,1,0,5,28,10,1.0
apache.camel.component.bean.CamelInvocationHandler,2,1,0,8,12,2,0.0
apache.camel.component.bean.DefaultParameterMappingStrategy,4,1,0,3,10,4,1.0
apache.camel.component.bean.DefaultAnnotationExpressionFactory,3,1,1,6,16,2,2.0
apache.camel.component.bean.BeanExchange,5,0,0,6,10,5,1.0
apache.camel.component.bean.NoBeanAvailableException,2,0,0,1,6,2,1.0
apache.camel.component.bean.MethodInfo,17,1,0,7,32,13,2.0
apache.camel.component.bean.AmbiguousMethodCallException,2,0,0,2,7,2,1.0
apache.camel.component.bean.BeanInfo,17,1,0,26,91,7,9.0
