filename,wmc,dit,noc,cbo,rfc,npm,bug
bsh.Capabilities,7,1,0,0,12,6,0.0
bsh.ReturnControl,1,1,0,1,2,1,0.0
bsh.SimpleNode,19,1,35,7,30,19,0.0
bsh.JThis,87,0,0,8,100,84,0.0
bsh.BshClassManager,25,1,0,3,37,22,0.0
bsh.LHS,8,1,0,9,31,3,0.0
bsh.BSHMethodInvocation,2,0,0,11,17,1,0.0
bsh.Parser,399,1,0,47,487,82,0.0
bsh.BSHArguments,2,0,0,5,6,1,0.0
bsh.BSHStatementExpressionList,2,0,0,6,6,1,0.0
bsh.ParserTokenManager,50,1,0,4,66,6,0.0
bsh.BSHSwitchLabel,2,0,0,5,5,2,0.0
bsh.BSHArrayInitializer,4,0,0,7,23,2,0.0
bsh.BSHLHSPrimaryExpression,2,0,0,8,9,1,0.0
bsh.BSHTypedVariableDeclaration,3,0,0,10,13,1,0.0
bsh.BSHLHSPrimarySuffix,5,0,0,12,27,1,0.0
bsh.TargetError,11,0,0,5,26,11,0.0
bsh.BlockNameSpace,3,0,0,2,10,2,0.0
bsh.Interpreter,51,1,0,21,132,42,0.0
bsh.BSHPrimarySuffix,5,0,0,14,35,1,0.0
bsh.BSHThrowStatement,2,0,0,6,7,1,0.0
bsh.BSHImportDeclaration,2,0,0,9,9,1,0.0
bsh.ASCII_UCodeESC_CharStream,27,1,0,0,40,21,0.0
bsh.BSHBinaryExpression,4,0,0,11,21,1,0.0
bsh.BSHWhileStatement,2,0,0,9,7,1,0.0
bsh.ReflectManager,4,1,0,2,12,4,0.0
bsh.InterpreterError,1,4,0,0,2,1,0.0
bsh.BSHTryStatement,2,0,0,11,22,1,0.0
bsh.JJTParserState,12,1,0,1,25,0,0.0
bsh.TokenMgrError,6,3,0,0,19,4,0.0
bsh.BSHLiteral,5,0,0,6,20,2,0.0
bsh.BSHArrayDimensions,4,0,0,8,21,3,0.0
bsh.CommandLineReader,4,3,0,0,8,4,0.0
bsh.Name,19,1,0,15,71,9,0.0
bsh.NameSpace,51,1,1,18,135,35,0.0
bsh.ClassPathException,1,0,0,1,2,1,0.0
bsh.BSHBlock,3,0,0,9,10,2,0.0
bsh.BSHReturnType,2,0,0,6,5,1,0.0
bsh.BSHIfStatement,3,0,0,7,10,2,0.0
bsh.CallStack,11,1,0,2,25,11,0.0
bsh.ParseException,6,3,0,1,19,5,0.0
bsh.BSHFormalParameter,3,0,0,6,7,1,0.0
bsh.BSHForStatement,2,0,0,11,10,1,0.0
