filename,WMC,DIT,NOC,CBO,RFC,NPM,bug
bsh.Capabilities,7,1,0,0,12,6,0.0
bsh.ReturnControl,1,1,0,1,2,1,0.0
bsh.SimpleNode,19,1,35,7,31,19,0.0
bsh.JThis,86,0,0,8,95,84,0.0
bsh.BshClassManager,26,1,0,3,38,23,0.0
bsh.LHS,8,1,0,9,32,3,0.0
bsh.BSHMethodInvocation,2,0,0,11,19,1,0.0
bsh.Parser,407,1,0,47,494,83,0.0
bsh.BSHArguments,2,0,0,5,6,1,0.0
bsh.BSHStatementExpressionList,2,0,0,6,6,1,0.0
bsh.ParserTokenManager,50,1,0,4,66,6,0.0
bsh.BSHSwitchLabel,2,0,0,5,5,2,0.0
bsh.BSHArrayInitializer,4,0,0,7,24,2,0.0
bsh.BSHLHSPrimaryExpression,2,0,0,8,9,1,0.0
bsh.BSHTypedVariableDeclaration,3,0,0,10,13,1,0.0
bsh.BSHLHSPrimarySuffix,5,0,0,13,24,1,0.0
bsh.TargetError,11,0,0,5,26,11,0.0
bsh.BlockNameSpace,7,0,0,4,18,5,0.0
bsh.Interpreter,54,1,0,21,139,45,0.0
bsh.BSHPrimarySuffix,6,0,0,14,38,1,0.0
bsh.BSHThrowStatement,2,0,0,6,7,1,0.0
bsh.BSHImportDeclaration,2,0,0,9,9,1,0.0
bsh.ASCII_UCodeESC_CharStream,27,1,0,0,40,21,0.0
bsh.BSHBinaryExpression,4,0,0,11,21,1,0.0
bsh.BSHWhileStatement,2,0,0,9,7,1,0.0
bsh.ReflectManager,4,1,0,2,11,4,0.0
bsh.InterpreterError,1,4,0,0,2,1,0.0
bsh.BSHTryStatement,2,0,0,11,22,1,0.0
bsh.JJTParserState,12,1,0,1,25,0,0.0
bsh.TokenMgrError,6,3,0,0,20,4,0.0
bsh.BSHLiteral,5,0,0,6,20,2,0.0
bsh.BSHArrayDimensions,4,0,0,8,22,3,0.0
bsh.CommandLineReader,4,3,0,0,8,4,0.0
bsh.Name,19,1,0,15,72,9,0.0
bsh.NameSpace,54,1,1,18,138,38,0.0
bsh.ClassPathException,1,0,0,1,2,1,0.0
bsh.BSHBlock,3,0,0,9,10,2,0.0
bsh.BSHReturnType,2,0,0,6,5,1,0.0
bsh.BSHIfStatement,3,0,0,7,10,2,0.0
bsh.CallStack,11,1,0,2,25,11,0.0
bsh.ParseException,11,0,0,2,24,10,0.0
bsh.BSHFormalParameter,3,0,0,6,7,1,0.0
bsh.BSHForStatement,2,0,0,11,10,1,0.0
