filename,WMC,DIT,NOC,CBO, RFC,NPM,bug
apache.log4j.BasicConfigurator,14,1,1,11,36,10,2.0
apache.log4j.DefaultCategoryFactory,2,1,0,2,4,1,0.0
apache.log4j.AppenderSkeleton,22,1,2,9,34,21,4.0
apache.log4j.AsyncAppender,16,0,0,10,48,16,5.0
apache.log4j.NDC,13,1,0,2,42,10,2.0
apache.log4j.Category,50,1,0,12,90,43,9.0
apache.log4j.SimpleLayout,6,0,0,3,13,6,0.0
apache.log4j.CategoryKey,4,1,0,0,11,2,0.0
apache.log4j.Layout,10,1,3,2,13,9,0.0
apache.log4j.PropertyConfigurator,18,0,0,15,78,9,6.0
apache.log4j.ProvisionNode,1,4,0,1,3,0,0.0
apache.log4j.Hierarchy,23,1,0,10,65,21,3.0
apache.log4j.Dispatcher,3,2,0,5,17,1,0.0
apache.log4j.HTMLLayout,16,0,0,5,41,13,2.0
apache.log4j.Priority,11,1,0,0,14,9,5.0
apache.log4j.FileAppender,16,0,1,7,40,13,3.0
apache.log4j.PatternLayout,10,0,0,4,19,9,1.0
apache.log4j.RollingFileAppender,15,0,0,10,44,13,1.0
apache.log4j.helpers.OnlyOnceErrorHandler,6,1,0,2,9,6,0.0
apache.log4j.helpers.BoundedFIFO,10,1,0,1,17,9,0.0
apache.log4j.helpers.PatternConverter,6,1,0,2,10,2,0.0
apache.log4j.helpers.SyslogWriter,5,2,0,1,18,5,0.0
apache.log4j.helpers.AbsoluteTimeDateFormat,4,3,2,0,12,4,0.0
apache.log4j.helpers.Loader,4,1,0,1,18,2,1.0
apache.log4j.helpers.FileWatchdog,5,2,0,1,17,2,0.0
apache.log4j.helpers.CyclicBuffer,7,1,0,1,13,7,0.0
apache.log4j.helpers.DateTimeDateFormat,4,0,0,1,15,4,0.0
apache.log4j.helpers.SyslogQuietWriter,4,0,0,2,10,4,0.0
apache.log4j.helpers.PatternParser,8,1,0,14,41,2,0.0
apache.log4j.helpers.QuietWriter,4,3,2,1,12,4,0.0
apache.log4j.helpers.LogLog,10,1,0,1,19,9,0.0
apache.log4j.helpers.CountingQuietWriter,4,0,0,2,8,4,0.0
apache.log4j.helpers.NullEnumeration,5,1,0,0,7,3,0.0
apache.log4j.helpers.ISO8601DateFormat,4,0,0,1,12,4,0.0
apache.log4j.helpers.RelativeTimeDateFormat,3,3,0,0,7,3,0.0
apache.log4j.helpers.AppenderAttachableImpl,8,1,0,3,22,8,0.0
apache.log4j.helpers.FormattingInfo,3,1,0,1,10,1,0.0
apache.log4j.helpers.OptionConverter,15,1,0,6,63,12,3.0
apache.log4j.helpers.DateLayout,11,0,0,6,27,11,1.0
apache.log4j.net.SocketAppender,22,0,0,7,51,18,1.0
apache.log4j.net.SMTPAppender,27,0,0,10,80,22,3.0
apache.log4j.net.SimpleSocketServer,6,1,0,4,30,2,1.0
apache.log4j.net.SyslogAppender,18,0,0,8,42,17,1.0
apache.log4j.net.SocketServer,8,1,0,6,48,2,1.0
apache.log4j.net.DefaultEvaluator,2,1,0,3,4,1,0.0
apache.log4j.net.JMSSink,5,1,0,7,31,2,3.0
apache.log4j.net.JMSAppender,13,0,0,5,38,11,2.0
apache.log4j.net.SocketNode,4,1,0,4,25,2,3.0
apache.log4j.nt.NTEventLogAppender,19,0,0,7,36,15,1.0
apache.log4j.or.MessageRenderer,2,1,0,2,22,2,0.0
apache.log4j.or.ThreadGroupRenderer,2,1,0,2,16,2,0.0
apache.log4j.or.DefaultRenderer,2,1,0,1,4,1,0.0
apache.log4j.or.RendererMap,9,1,0,2,19,7,0.0
apache.log4j.spi.RootCategory,3,0,0,3,6,3,0.0
apache.log4j.spi.LoggingEvent,15,1,0,8,48,9,4.0
apache.log4j.spi.Filter,5,1,0,2,6,5,0.0
apache.log4j.spi.LocationInfo,6,1,0,2,21,5,0.0
