filename,WMC,DIT,NOC,CBO, RFC,LCOM,CE,NPM,bug
apache.lucene.LucenePackage,3,1,0,0,8,3,0,1,0.0
apache.lucene.analysis.LowerCaseFilter,2,0,0,3,5,1,0,2,0.0
apache.lucene.analysis.PerFieldAnalyzerWrapper,4,0,0,2,13,0,0,4,1.0
apache.lucene.analysis.StopFilter,7,0,0,3,13,15,1,7,0.0
apache.lucene.analysis.Tokenizer,3,0,2,1,5,1,2,1,0.0
apache.lucene.analysis.TokenStream,3,1,2,1,4,3,13,3,1.0
apache.lucene.analysis.LetterTokenizer,2,0,1,1,4,1,1,1,0.0
apache.lucene.analysis.LowerCaseTokenizer,2,0,0,1,4,1,2,1,0.0
apache.lucene.analysis.Analyzer,3,1,5,1,4,3,5,3,0.0
apache.lucene.analysis.KeywordTokenizer,3,0,0,2,10,1,1,3,0.0
apache.lucene.analysis.StopAnalyzer,7,0,0,5,13,0,0,6,0.0
apache.lucene.analysis.SimpleAnalyzer,2,0,0,3,4,1,0,2,0.0
apache.lucene.analysis.WhitespaceAnalyzer,2,0,0,3,4,1,0,2,0.0
apache.lucene.analysis.Token,9,1,0,0,16,0,8,9,0.0
apache.lucene.analysis.PorterStemmer,27,1,0,0,43,13,1,13,0.0
apache.lucene.analysis.KeywordAnalyzer,2,0,0,3,4,1,0,2,0.0
apache.lucene.analysis.WordlistLoader,4,1,0,0,18,6,1,3,0.0
apache.lucene.analysis.LengthFilter,2,0,0,3,6,0,0,2,0.0
apache.lucene.analysis.TokenFilter,2,0,5,1,4,0,5,1,0.0
apache.lucene.analysis.PorterStemFilter,2,0,0,4,6,0,0,2,0.0
apache.lucene.analysis.WhitespaceTokenizer,2,0,0,1,4,1,1,1,0.0
apache.lucene.analysis.CharTokenizer,4,0,2,2,8,4,2,2,0.0
apache.lucene.analysis.ISOLatin1AccentFilter,3,0,0,3,16,3,0,3,1.0
apache.lucene.document.Document,14,1,0,1,35,0,0,14,1.0
apache.lucene.document.DateField,8,1,0,0,25,22,0,6,0.0
apache.lucene.document.DateTools,8,1,0,1,29,16,0,6,0.0
apache.lucene.document.Field,23,1,0,3,34,93,1,22,1.0
apache.lucene.document.NumberTools,4,1,0,0,18,0,0,3,0.0
apache.lucene.index.MultiReader,26,0,0,14,56,0,0,17,9.0
apache.lucene.index.ParallelReader,27,0,0,13,80,193,0,21,6.0
apache.lucene.index.MultiTermEnum,5,0,0,5,20,0,1,5,0.0
apache.lucene.index.SegmentTermVector,8,1,1,1,15,0,2,7,0.0
apache.lucene.index.TermEnum,6,1,2,1,8,15,13,6,0.0
apache.lucene.index.TermFreqVector,6,1,0,0,6,15,10,6,0.0
apache.lucene.index.IndexFileNameFilter,2,1,0,1,9,1,0,2,0.0
apache.lucene.index.MultipleTermPositions,10,1,0,7,33,25,0,10,2.0
apache.lucene.index.Term,12,1,0,0,21,0,21,9,1.0
