filename,WMC,DIT,NOC,CBO, RFC,NPM,bug
apache.lucene.LucenePackage,3,1,0,0,8,1,0.0
apache.lucene.analysis.PerFieldAnalyzerWrapper,5,0,0,2,15,5,0.0
apache.lucene.analysis.Tokenizer,3,0,2,1,5,1,3.0
apache.lucene.analysis.KeywordTokenizer,3,0,0,2,10,3,3.0
apache.lucene.analysis.StopAnalyzer,7,0,0,5,13,6,0.0
apache.lucene.analysis.Token,13,1,0,1,22,13,8.0
apache.lucene.analysis.PorterStemmer,27,1,0,0,43,13,1.0
apache.lucene.analysis.WhitespaceTokenizer,2,0,0,1,4,1,0.0
apache.lucene.analysis.CharTokenizer,4,0,2,2,8,2,2.0
apache.lucene.analysis.ISOLatin1AccentFilter,3,0,0,3,13,3,3.0
apache.lucene.analysis.LowerCaseFilter,2,0,0,3,5,2,1.0
apache.lucene.analysis.StopFilter,7,0,0,3,13,7,4.0
apache.lucene.analysis.TokenStream,4,1,2,1,5,4,4.0
apache.lucene.analysis.LetterTokenizer,2,0,1,1,4,1,0.0
apache.lucene.analysis.LowerCaseTokenizer,2,0,0,1,4,1,0.0
apache.lucene.analysis.Analyzer,3,1,5,1,4,3,1.0
apache.lucene.analysis.SimpleAnalyzer,2,0,0,3,4,2,0.0
apache.lucene.analysis.WhitespaceAnalyzer,2,0,0,3,4,2,0.0
apache.lucene.analysis.KeywordAnalyzer,2,0,0,3,4,2,1.0
apache.lucene.analysis.WordlistLoader,4,1,0,0,17,4,0.0
apache.lucene.analysis.LengthFilter,2,0,0,3,6,2,1.0
apache.lucene.analysis.TokenFilter,2,0,6,1,4,1,2.0
apache.lucene.analysis.PorterStemFilter,2,0,0,4,6,2,1.0
apache.lucene.document.DateField,8,1,0,0,25,6,0.0
apache.lucene.document.DateTools,8,1,0,1,27,6,1.0
apache.lucene.document.NumberTools,4,1,0,0,18,3,0.0
apache.lucene.document.Document,17,1,0,2,39,17,5.0
apache.lucene.document.Field,11,0,0,6,21,11,2.0
apache.lucene.index.MultiReader,28,0,0,16,61,17,4.0
apache.lucene.index.ParallelReader,27,0,0,16,84,21,5.0
apache.lucene.index.TermEnum,6,1,2,1,8,6,0.0
apache.lucene.index.MultipleTermPositions,13,1,0,7,36,13,1.0
apache.lucene.index.Term,12,1,0,0,21,9,1.0
apache.lucene.index.TermInfosReader,17,1,0,7,35,4,4.0
apache.lucene.index.FieldInfos,20,1,0,6,51,16,2.0
apache.lucene.index.SegmentInfo,18,1,0,4,44,4,3.0
apache.lucene.index.TermVectorsReader,10,1,0,8,37,0,11.0
apache.lucene.index.IndexModifier,26,1,0,10,55,22,5.0
apache.lucene.index.TermVectorOffsetInfo,9,1,0,0,10,8,0.0
apache.lucene.index.CompoundFileReader,16,0,0,7,40,16,2.0
apache.lucene.index.SegmentMergeInfo,5,1,0,4,14,0,0.0
apache.lucene.index.DocumentWriter,11,1,0,20,102,0,0.0
apache.lucene.index.SegmentMergeQueue,3,0,0,3,9,0,0.0
apache.lucene.index.Posting,1,1,0,3,2,0,3.0
apache.lucene.index.MultiTermDocs,11,1,1,4,21,9,0.0
apache.lucene.index.SegmentTermEnum,13,0,0,7,38,4,3.0
apache.lucene.index.FieldInfo,1,1,0,0,2,0,1.0
apache.lucene.index.MultiTermEnum,5,0,0,5,20,5,0.0
apache.lucene.index.SegmentTermVector,8,1,1,1,15,7,1.0
apache.lucene.index.IndexFileNameFilter,5,1,0,1,14,4,1.0
apache.lucene.index.FilterIndexReader,24,0,0,11,50,19,2.0
apache.lucene.index.TermBuffer,11,1,0,3,25,6,0.0
apache.lucene.index.CompoundFileWriter,6,1,0,5,39,5,3.0
apache.lucene.index.SegmentTermPositionVector,4,0,0,3,5,3,0.0
apache.lucene.index.SegmentTermDocs,12,1,1,12,33,8,0.0
apache.lucene.index.SegmentInfos,30,4,0,8,75,23,8.0
apache.lucene.index.FieldsReader,18,1,0,16,61,0,11.0
apache.lucene.index.IndexWriter,80,1,0,22,171,52,47.0
apache.lucene.index.TermVectorsWriter,15,1,0,11,54,10,3.0
apache.lucene.index.IndexReader,62,1,4,27,125,46,11.0
apache.lucene.index.FieldsWriter,4,1,0,6,39,0,7.0
apache.lucene.index.TermInfosWriter,6,1,0,7,29,0,3.0
apache.lucene.index.TermInfo,5,1,0,0,6,0,0.0
apache.lucene.index.SegmentReader,45,0,0,28,137,20,11.0
apache.lucene.index.SegmentTermPositions,15,0,0,6,27,7,1.0
apache.lucene.index.MultiTermPositions,6,0,0,4,12,5,0.0
apache.lucene.index.SegmentMerger,16,1,0,24,99,0,8.0
apache.lucene.index.IndexFileNames,3,1,0,0,8,0,3.0
apache.lucene.queryParser.MultiFieldQueryParser,11,0,0,9,31,5,2.0
apache.lucene.queryParser.TokenMgrError,6,3,0,0,19,4,0.0
apache.lucene.queryParser.ParseException,5,3,0,1,18,4,3.0
apache.lucene.queryParser.FastCharStream,14,1,0,1,25,13,0.0
apache.lucene.queryParser.QueryParser,64,1,1,33,151,40,7.0
apache.lucene.queryParser.QueryParserTokenManager,36,1,0,4,52,7,4.0
apache.lucene.queryParser.Token,3,1,0,0,4,3,8.0
apache.lucene.search.Query,13,1,12,7,39,12,0.0
apache.lucene.search.ScoreDoc,1,1,1,0,2,1,0.0
apache.lucene.search.BooleanScorer,12,0,0,7,29,7,0.0
apache.lucene.search.PhraseQuery,15,0,0,7,43,11,1.0
apache.lucene.search.SortComparator,3,1,0,5,7,2,0.0
apache.lucene.search.FieldDoc,2,0,0,1,3,2,1.0
apache.lucene.search.HitCollector,2,1,1,0,3,2,0.0
apache.lucene.search.QueryFilter,3,0,0,4,7,3,0.0
apache.lucene.search.Hits,11,1,0,12,28,5,2.0
apache.lucene.search.SortField,15,1,0,1,22,14,3.0
apache.lucene.search.FuzzyQuery,10,0,0,12,42,9,1.0
apache.lucene.search.MatchAllDocsQuery,6,0,0,5,14,5,1.0
apache.lucene.search.SimilarityDelegator,7,0,0,1,14,7,1.0
apache.lucene.search.WildcardQuery,4,0,0,7,12,3,0.0
apache.lucene.search.ConjunctionScorer,10,0,0,4,21,6,1.0
apache.lucene.search.RangeFilter,7,0,0,5,30,7,3.0
apache.lucene.search.RangeQuery,9,0,0,8,32,9,2.0
apache.lucene.search.DisjunctionMaxScorer,11,0,0,3,25,7,1.0
apache.lucene.search.ConstantScoreQuery,8,0,0,6,19,7,1.0
apache.lucene.search.MultiPhraseQuery,17,0,0,10,55,13,2.0
apache.lucene.search.ExactPhraseScorer,2,0,0,6,9,0,0.0
apache.lucene.search.FieldSortedHitQueue,14,0,0,16,47,4,5.0
apache.lucene.search.Searcher,23,1,2,14,28,22,4.0
apache.lucene.search.TopDocs,3,1,1,1,4,2,1.0
apache.lucene.search.FieldDocSortedHitQueue,5,0,0,3,21,0,2.0
apache.lucene.search.BooleanClause,10,1,0,2,18,10,0.0
apache.lucene.search.FuzzyTermEnum,14,0,0,4,29,6,0.0
apache.lucene.search.SloppyPhraseScorer,4,0,0,7,19,0,1.0
apache.lucene.search.PhraseQueue,2,0,0,2,4,0,0.0
apache.lucene.search.TopFieldDocCollector,3,0,0,10,13,3,2.0
apache.lucene.search.HitQueue,2,0,0,2,4,0,0.0
apache.lucene.search.ReqExclScorer,7,0,0,3,16,6,0.0
apache.lucene.search.RemoteSearchable_Stub,14,3,0,13,24,12,0.0
apache.lucene.search.FilteredTermEnum,9,0,2,2,14,6,0.0
apache.lucene.search.MultiTermQuery,7,0,2,8,27,6,0.0
apache.lucene.search.BooleanScorer2,21,0,0,15,58,10,1.0
apache.lucene.search.TermScorer,9,0,0,9,31,7,0.0
apache.lucene.search.DisjunctionSumScorer,12,0,0,5,37,9,0.0
apache.lucene.search.DefaultSimilarity,7,0,0,1,10,7,0.0
apache.lucene.search.PhraseScorer,13,0,2,7,34,6,0.0
apache.lucene.search.Scorer,9,1,10,3,11,7,1.0
apache.lucene.search.Explanation,13,1,1,0,21,11,0.0
apache.lucene.search.Sort,14,1,0,1,22,13,2.0
apache.lucene.search.ParallelMultiSearcher,6,0,0,16,33,6,1.0
apache.lucene.search.PrefixQuery,6,0,0,8,28,6,0.0
apache.lucene.search.NonMatchingScorer,6,0,0,3,10,6,0.0
apache.lucene.search.Filter,2,1,5,1,3,2,1.0
apache.lucene.search.Similarity,17,1,2,4,26,16,3.0
apache.lucene.search.QueryTermVector,10,1,0,4,37,9,1.0
apache.lucene.search.DisjunctionMaxQuery,14,0,0,6,38,11,2.0
apache.lucene.search.CachingWrapperFilter,5,0,1,2,16,5,1.0
apache.lucene.search.ReqOptSumScorer,6,0,0,3,15,6,0.0
apache.lucene.search.WildcardTermEnum,6,0,0,4,20,5,0.0
apache.lucene.search.TopFieldDocs,1,0,0,3,2,0,1.0
apache.lucene.search.IndexSearcher,15,0,0,19,34,14,2.0
apache.lucene.search.MultiSearcherThread,6,2,0,11,12,6,0.0
apache.lucene.search.Hit,8,1,0,3,19,6,2.0
apache.lucene.search.RemoteSearchable,13,4,0,14,31,13,0.0
apache.lucene.search.HitDoc,1,1,0,1,2,0,0.0
apache.lucene.search.PhrasePositions,5,1,0,1,12,0,0.0
apache.lucene.search.FilteredQuery,9,0,0,8,26,8,2.0
apache.lucene.search.HitIterator,5,1,0,2,10,4,2.0
apache.lucene.search.TopDocCollector,5,0,1,5,13,4,2.0
apache.lucene.search.FieldCacheImpl,14,1,0,22,29,12,4.0
apache.lucene.search.TermQuery,8,0,0,6,22,6,1.0
apache.lucene.search.BooleanQuery,27,0,0,11,64,22,3.0
apache.lucene.search.ConstantScoreRangeQuery,10,0,0,5,24,10,1.0
apache.lucene.search.MultiSearcher,16,0,1,21,53,14,0.0
apache.lucene.search.spans.SpanTermQuery,9,0,0,7,27,9,0.0
apache.lucene.search.spans.SpanScorer,7,0,0,5,25,5,1.0
apache.lucene.search.spans.SpanNotQuery,13,0,0,6,31,11,0.0
apache.lucene.search.spans.SpanQuery,5,0,5,6,7,4,0.0
apache.lucene.search.spans.SpanNearQuery,12,0,0,8,47,12,0.0
apache.lucene.search.spans.SpanFirstQuery,13,0,0,6,30,11,0.0
apache.lucene.search.spans.SpanOrQuery,11,0,0,6,42,10,0.0
apache.lucene.search.spans.SpanWeight,7,1,0,12,46,7,0.0
apache.lucene.store.MMapDirectory,2,0,0,5,10,2,1.0
apache.lucene.store.RAMDirectory,17,0,0,10,42,15,2.0
apache.lucene.store.BufferedIndexOutput,10,0,0,1,12,8,0.0
apache.lucene.store.BufferedIndexInput,15,0,0,1,30,9,3.0
apache.lucene.store.Lock,6,1,4,1,17,5,2.0
apache.lucene.store.RAMFile,8,1,0,1,12,0,2.0
apache.lucene.store.Directory,18,1,2,4,33,18,4.0
apache.lucene.store.RAMInputStream,8,0,0,2,13,7,3.0
apache.lucene.store.FSDirectory,28,0,1,10,89,23,11.0
apache.lucene.store.IndexOutput,15,1,2,0,18,15,2.0
apache.lucene.store.IndexInput,15,1,2,0,18,15,1.0
apache.lucene.store.RAMOutputStream,13,0,0,2,25,10,4.0
apache.lucene.util.SmallFloat,7,1,0,0,10,7,1.0
apache.lucene.util.Parameter,6,1,0,0,18,1,0.0
apache.lucene.util.PriorityQueue,12,1,0,0,13,8,1.0
apache.lucene.util.BitVector,14,1,0,3,28,8,0.0
apache.lucene.util.Constants,2,1,0,0,5,0,0.0
apache.lucene.util.StringHelper,2,1,0,0,5,1,0.0
apache.lucene.util.ToStringUtils,2,1,0,0,7,2,0.0
