filename,wmc,dit,noc,cbo,rfc,npm,bug
apache.velocity.VelocityContext,10,0,0,2,20,10,1.0
apache.velocity.Template,4,0,0,13,25,4,2.0
apache.velocity.anakia.AnakiaElement,12,0,0,6,27,11,1.0
apache.velocity.anakia.OutputWrapper,2,0,0,2,7,2,1.0
apache.velocity.anakia.XPathTool,4,1,0,5,10,4,1.0
apache.velocity.anakia.Escape,2,1,0,0,8,2,1.0
apache.velocity.anakia.TreeWalker,3,1,0,2,11,2,1.0
apache.velocity.anakia.NodeList,37,1,0,14,92,34,1.0
apache.velocity.anakia.AnakiaJDOMFactory,5,0,0,4,10,5,1.0
apache.velocity.anakia.AnakiaTask,13,0,0,24,76,10,1.0
apache.velocity.anakia.XPathCache,3,1,0,1,8,0,1.0
apache.velocity.app.VelocityEngine,24,1,0,13,62,24,3.0
apache.velocity.app.Velocity,25,1,0,15,64,25,2.0
apache.velocity.app.FieldMethodizer,7,1,0,0,20,6,1.0
apache.velocity.app.event.EventCartridge,7,1,0,6,12,7,2.0
apache.velocity.app.tools.VelocityFormatter,18,1,0,3,37,18,1.0
apache.velocity.context.InternalContextAdapterImpl,18,1,0,8,35,18,2.0
apache.velocity.context.VMContext,19,1,0,10,46,19,3.0
apache.velocity.context.AbstractContext,13,0,0,4,17,13,1.0
apache.velocity.context.InternalContextBase,11,1,1,5,21,10,2.0
apache.velocity.convert.WebMacro,10,1,0,3,40,4,1.0
apache.velocity.exception.MethodInvocationException,5,0,0,1,6,5,2.0
apache.velocity.exception.ParseErrorException,1,0,0,1,2,1,3.0
apache.velocity.exception.VelocityException,1,3,3,0,2,1,2.0
apache.velocity.exception.ResourceNotFoundException,1,0,0,1,2,1,1.0
apache.velocity.io.VelocityWriter,20,2,0,0,30,14,1.0
apache.velocity.runtime.RuntimeInstance,45,1,0,24,112,35,3.0
apache.velocity.runtime.Runtime,30,1,0,10,60,30,1.0
apache.velocity.runtime.RuntimeSingleton,37,1,0,14,72,35,1.0
apache.velocity.runtime.VelocimacroFactory,17,1,0,10,47,6,2.0
apache.velocity.runtime.VelocimacroManager,14,1,0,3,26,7,1.0
apache.velocity.runtime.compiler.Compiler,2,1,0,28,41,2,0.0
apache.velocity.runtime.configuration.Configuration,53,3,0,3,139,50,0.0
apache.velocity.runtime.directive.VMProxyArg,11,1,0,12,41,10,2.0
apache.velocity.runtime.directive.Literal,5,0,0,4,10,5,2.0
apache.velocity.runtime.directive.MacroParseException,1,0,0,1,2,1,1.0
apache.velocity.runtime.directive.Parse,4,0,0,12,25,4,1.0
apache.velocity.runtime.directive.Include,7,0,0,10,28,5,2.0
apache.velocity.runtime.directive.VelocimacroProxy,15,0,0,13,42,12,4.0
apache.velocity.runtime.directive.ParseDirectiveException,3,3,0,0,12,2,0.0
apache.velocity.runtime.directive.Macro,9,0,0,10,34,6,2.0
apache.velocity.runtime.directive.Foreach,5,0,0,11,27,5,4.0
apache.velocity.runtime.directive.InputBase,2,0,2,4,6,1,1.0
apache.velocity.runtime.directive.Directive,8,1,5,7,9,8,2.0
apache.velocity.runtime.exception.NodeException,1,3,0,1,9,1,0.0
apache.velocity.runtime.exception.ReferenceException,1,3,0,1,9,1,2.0
apache.velocity.runtime.log.VelocityFormatter,2,0,0,1,5,1,1.0
apache.velocity.runtime.log.LogManager,2,1,0,4,22,2,1.0
apache.velocity.runtime.log.PrimordialLogSystem,4,1,0,2,14,4,1.0
apache.velocity.runtime.log.NullLogSystem,3,1,0,2,4,3,1.0
apache.velocity.runtime.log.SimpleLog4JLogSystem,6,1,0,8,32,4,1.0
apache.velocity.runtime.log.Log4JLogSystem,10,1,0,12,50,4,1.0
apache.velocity.runtime.log.AvalonLogSystem,4,1,0,9,24,4,1.0
apache.velocity.runtime.parser.JJTParserState,12,1,0,1,25,0,0.0
apache.velocity.runtime.parser.Token,3,1,0,0,4,3,0.0
apache.velocity.runtime.parser.VelocityCharStream,24,1,0,1,36,21,1.0
apache.velocity.runtime.parser.ParseException,5,3,0,1,18,4,0.0
apache.velocity.runtime.parser.ParserTokenManager,94,1,0,4,126,10,0.0
apache.velocity.runtime.parser.Parser,148,1,0,55,236,48,0.0
apache.velocity.runtime.parser.TokenMgrError,6,3,0,0,19,4,0.0
apache.velocity.runtime.resource.Resource,17,1,1,4,20,17,1.0
apache.velocity.runtime.resource.ContentResource,2,0,0,5,17,2,1.0
apache.velocity.runtime.resource.ResourceManagerImpl,8,1,0,12,66,5,2.0
apache.velocity.runtime.resource.ResourceCacheImpl,6,1,0,4,19,6,1.0
apache.velocity.runtime.resource.ResourceFactory,2,1,0,3,5,2,1.0
apache.velocity.runtime.visitor.VMReferenceMungeVisitor,2,0,0,4,8,2,1.0
apache.velocity.runtime.visitor.NodeViewMode,37,0,0,38,46,35,1.0
apache.velocity.runtime.visitor.BaseVisitor,38,1,2,37,40,38,1.0
apache.velocity.servlet.VelocityServlet,18,0,0,11,63,6,1.0
apache.velocity.test.ClasspathResourceTest,3,0,0,8,23,3,0.0
apache.velocity.test.TexenClasspathTestCase,4,0,0,3,8,3,0.0
apache.velocity.test.BaseTestCase,6,0,17,5,26,1,0.0
apache.velocity.test.CommonsExtPropTestCase,6,0,0,4,51,3,0.0
apache.velocity.test.ParserTestCase,6,0,0,8,18,5,0.0
