filename,WMC,DIT,NOC,CBO, RFC,NPM,bug
apache.velocity.VelocityContext,10,0,0,2,20,10,0.0
apache.velocity.Template,4,0,0,14,25,4,4.0
apache.velocity.anakia.AnakiaElement,12,0,0,7,30,11,0.0
apache.velocity.anakia.OutputWrapper,3,0,0,3,8,3,0.0
apache.velocity.anakia.XPathTool,4,1,0,5,10,4,0.0
apache.velocity.anakia.Escape,3,1,0,0,10,2,0.0
apache.velocity.anakia.TreeWalker,3,1,0,2,11,2,0.0
apache.velocity.anakia.NodeList,37,1,0,13,92,34,0.0
apache.velocity.anakia.AnakiaJDOMFactory,5,0,0,4,10,5,0.0
apache.velocity.anakia.AnakiaTask,15,0,0,22,89,11,0.0
apache.velocity.anakia.XPathCache,3,1,0,1,8,0,0.0
apache.velocity.app.VelocityEngine,28,1,0,15,68,28,3.0
apache.velocity.app.Velocity,25,1,0,17,65,25,2.0
apache.velocity.app.FieldMethodizer,7,1,0,1,26,6,1.0
apache.velocity.app.event.EventHandlerUtil,12,1,0,15,35,9,2.0
apache.velocity.app.event.EventCartridge,15,1,0,10,27,15,2.0
apache.velocity.app.tools.VelocityFormatter,18,1,0,3,36,18,0.0
apache.velocity.context.InternalContextAdapterImpl,21,1,0,8,40,21,4.0
apache.velocity.context.VMContext,23,1,0,8,52,22,5.0
apache.velocity.context.AbstractContext,13,0,0,4,17,13,1.0
apache.velocity.context.InternalContextBase,13,1,1,5,23,12,2.0
apache.velocity.convert.WebMacro,10,1,0,3,40,4,0.0
apache.velocity.exception.ParseErrorException,9,0,0,5,19,9,1.0
apache.velocity.exception.TemplateInitException,5,0,0,3,7,5,1.0
apache.velocity.exception.MethodInvocationException,8,0,0,3,15,8,2.0
apache.velocity.exception.VelocityException,4,4,4,1,7,4,1.0
apache.velocity.exception.ResourceNotFoundException,3,0,0,1,6,3,1.0
apache.velocity.io.VelocityWriter,19,2,0,0,29,14,0.0
apache.velocity.io.UnicodeInputStream,18,2,0,3,36,13,1.0
apache.velocity.runtime.ParserPoolImpl,4,1,0,5,17,4,2.0
apache.velocity.runtime.RuntimeInstance,49,1,0,30,132,38,8.0
apache.velocity.runtime.Runtime,30,1,0,10,60,30,2.0
apache.velocity.runtime.RuntimeSingleton,39,1,0,15,76,38,3.0
apache.velocity.runtime.VelocimacroFactory,13,1,0,13,51,6,7.0
apache.velocity.runtime.VelocimacroManager,14,1,0,4,26,7,5.0
apache.velocity.runtime.directive.VMProxyArg,11,1,0,11,40,10,2.0
apache.velocity.runtime.directive.Literal,5,0,0,5,10,5,0.0
