filename,WMC,DIT,NOC,CBO, RFC,NPM,bug
apache.xalan.Version,9,1,0,1,15,9,0.0
apache.xalan.client.XSLTProcessorApplet,29,5,0,2,73,21,0.0
apache.xalan.extensions.ExtensionsTable,6,1,0,6,21,6,1.0
apache.xalan.extensions.ExtensionHandlerGeneral,7,0,0,15,50,5,1.0
apache.xalan.extensions.ExtensionNamespaceSupport,3,1,0,1,12,3,0.0
apache.xalan.extensions.XSLProcessorContext,7,1,0,19,49,7,0.0
apache.xalan.extensions.ExtensionNamespacesManager,9,1,0,2,29,8,0.0
apache.xalan.extensions.ExtensionHandler,8,1,3,4,17,5,1.0
apache.xalan.extensions.ExtensionHandlerJavaPackage,6,0,0,10,44,5,2.0
apache.xalan.extensions.MethodResolver,13,1,0,9,70,6,1.0
apache.xalan.extensions.ExtensionHandlerExsltFunction,8,0,0,14,27,6,1.0
apache.xalan.extensions.ExtensionHandlerJava,3,0,2,1,7,2,0.0
apache.xalan.extensions.ExtensionHandlerJavaClass,6,0,0,9,37,5,2.0
apache.xalan.extensions.ExpressionVisitor,2,0,0,6,6,2,0.0
apache.xalan.lib.NodeInfo,9,1,0,3,20,9,0.0
apache.xalan.lib.ExsltDatetime,43,1,0,4,74,36,3.0
apache.xalan.lib.Extensions,12,1,0,13,62,9,1.0
apache.xalan.lib.ExsltMath,5,1,0,2,18,5,2.0
apache.xalan.lib.ExsltCommon,3,1,0,6,6,3,0.0
apache.xalan.lib.ExsltSets,7,1,0,4,19,7,0.0
apache.xalan.lib.PipeDocument,3,1,0,11,46,3,0.0
apache.xalan.lib.Redirect,7,1,0,11,45,4,0.0
apache.xalan.lib.sql.XConnection,34,1,0,12,124,28,0.0
apache.xalan.lib.sql.SQLErrorDocument,4,0,0,4,12,2,0.0
apache.xalan.lib.sql.QueryParameter,5,1,0,0,6,5,0.0
apache.xalan.lib.sql.PooledConnection,5,1,0,0,9,5,0.0
apache.xalan.lib.sql.ConnectionPoolManager,6,1,0,2,16,5,0.0
apache.xalan.lib.sql.SQLDocument,10,0,0,7,53,5,2.0
apache.xalan.lib.sql.DefaultConnectionPool,19,1,0,3,44,16,3.0
apache.xalan.lib.sql.ObjectArray,7,1,0,1,19,6,0.0
apache.xalan.lib.sql.DTMDocument,95,0,2,13,191,66,2.0
apache.xalan.processor.ProcessorLRE,4,0,0,17,75,3,1.0
apache.xalan.processor.ProcessorGlobalParamDecl,3,0,0,5,10,1,0.0
apache.xalan.processor.ProcessorTemplate,2,0,0,5,8,0,0.0
apache.xalan.processor.WhitespaceInfoPaths,4,0,0,3,6,3,0.0
