address,PIM,WMC,WAC,NMI,NMO,DIT,NOC,CBO,RFC,bug
org.apache.tools.ant.taskdefs.condition.And,9.0,2.0,0.0,12.0,0.0,3.0,0.0,5.0,7.0,1.0
org.apache.tools.ant.taskdefs.Ant,19.0,13.0,7.0,17.0,4.0,4.0,0.0,20.0,81.0,3.0
org.apache.tools.ant.AntClassLoader,20.0,39.0,22.0,0.0,0.0,2.0,0.0,31.0,120.0,0.0
org.apache.tools.zip.AntStructure,17.0,20.0,7.0,0.0,0.0,2.0,0.0,13.0,53.0,1.0
org.apache.tools.ant.taskdefs.AsiExtraField,26.0,18.0,9.0,20.0,1.0,4.0,0.0,16.0,56.0,0.0
org.apache.tools.ant.Available,8.0,11.0,6.0,0.0,0.0,2.0,0.0,5.0,15.0,0.0
org.apache.tools.ant.BuildEvent,7.0,14.0,2.0,0.0,0.0,2.0,0.0,8.0,29.0,0.0
org.apache.tools.ant.BuildException,7.0,7.0,0.0,0.0,0.0,,,,,0.0
org.apache.tools.ant.BuildListener,11.0,4.0,0.0,7.0,0.0,,,,,0.0
org.apache.tools.ant.taskdefs.BuildLogger,17.0,6.0,5.0,20.0,1.0,4.0,0.0,12.0,30.0,0.0
org.apache.tools.ant.taskdefs.CVSPass,16.0,8.0,4.0,17.0,4.0,4.0,0.0,6.0,29.0,0.0
org.apache.tools.ant.taskdefs.CallTarget,40.0,16.0,3.0,48.0,6.0,6.0,0.0,17.0,56.0,1.0
org.apache.tools.ant.types.Chmod,15.0,19.0,2.0,0.0,0.0,2.0,0.0,12.0,55.0,1.0
org.apache.tools.ant.types.Commandline,23.0,26.0,7.0,0.0,0.0,2.0,0.0,15.0,69.0,0.0
org.apache.tools.ant.taskdefs.compilers.CommandlineJava,1.0,3.0,0.0,0.0,0.0,2.0,0.0,19.0,21.0,1.0
org.apache.tools.ant.taskdefs.condition.CompileTask,8.0,13.0,2.0,0.0,0.0,2.0,4.0,5.0,18.0,0.0
org.apache.tools.ant.taskdefs.CompilerAdapter,11.0,4.0,2.0,12.0,0.0,3.0,0.0,6.0,12.0,0.0
org.apache.tools.ant.CompilerAdapterFactory,0.0,0.0,0.0,0.0,0.0,,,,,1.0
org.apache.tools.ant.taskdefs.Condition,26.0,20.0,15.0,20.0,1.0,4.0,1.0,23.0,78.0,1.0
org.apache.tools.ant.taskdefs.ConditionBase,31.0,8.0,6.0,33.0,1.0,5.0,0.0,14.0,36.0,1.0
org.apache.tools.ant.util.ConditionTask,3.0,5.0,3.0,0.0,0.0,2.0,0.0,16.0,39.0,1.0
org.apache.tools.ant.types.Constants,8.0,10.0,3.0,4.0,0.0,3.0,7.0,9.0,27.0,0.0
org.apache.tools.ant.taskdefs.compilers.Copy,3.0,11.0,21.0,0.0,0.0,2.0,8.0,23.0,90.0,2.0
org.apache.tools.ant.Copydir,11.0,14.0,7.0,0.0,0.0,2.0,1.0,13.0,35.0,0.0
org.apache.tools.ant.taskdefs.rmic.Copyfile,5.0,17.0,3.0,0.0,0.0,2.0,3.0,19.0,70.0,0.0
org.apache.tools.ant.taskdefs.Cvs,23.0,14.0,6.0,20.0,1.0,4.0,2.0,16.0,45.0,1.0
org.apache.tools.ant.taskdefs.DOMElementWriter,25.0,19.0,8.0,25.0,9.0,5.0,0.0,14.0,54.0,0.0
org.apache.tools.ant.taskdefs.DataType,15.0,4.0,1.0,20.0,1.0,4.0,0.0,6.0,18.0,0.0
org.apache.tools.ant.DefaultCompilerAdapter,3.0,7.0,5.0,0.0,0.0,2.0,0.0,7.0,22.0,1.0
org.apache.tools.ant.taskdefs.DefaultLogger,30.0,6.0,4.0,33.0,1.0,5.0,0.0,15.0,34.0,1.0
org.apache.tools.ant.types.DefaultRmicAdapter,9.0,2.0,0.0,13.0,0.0,4.0,0.0,5.0,8.0,0.0
org.apache.tools.ant.Definer,13.0,23.0,11.0,0.0,0.0,2.0,1.0,11.0,61.0,0.0
org.apache.tools.ant.taskdefs.Delete,42.0,7.0,2.0,61.0,3.0,7.0,0.0,11.0,31.0,0.0
org.apache.tools.ant.taskdefs.Deltree,19.0,7.0,4.0,20.0,1.0,4.0,0.0,14.0,22.0,0.0
org.apache.tools.ant.types.DemuxOutputStream,4.0,5.0,1.0,0.0,0.0,2.0,0.0,5.0,13.0,0.0
org.apache.tools.ant.types.DependSet,2.0,3.0,1.0,0.0,0.0,2.0,0.0,6.0,9.0,2.0
org.apache.tools.ant.taskdefs.condition.Description,3.0,4.0,2.0,0.0,0.0,2.0,0.0,5.0,7.0,1.0
org.apache.tools.ant.taskdefs.DesirableFilter,19.0,10.0,7.0,20.0,1.0,4.0,0.0,17.0,43.0,0.0
org.apache.tools.ant.taskdefs.DirectoryScanner,26.0,23.0,13.0,20.0,1.0,4.0,1.0,24.0,77.0,0.0
org.apache.tools.ant.taskdefs.Ear,12.0,21.0,14.0,0.0,0.0,2.0,0.0,33.0,92.0,0.0
org.apache.tools.ant.taskdefs.Echo,5.0,6.0,3.0,0.0,0.0,2.0,0.0,16.0,28.0,0.0
org.apache.tools.ant.taskdefs.EnumeratedAttribute,5.0,5.0,0.0,0.0,0.0,,,,,0.0
org.apache.tools.ant.taskdefs.Environment,6.0,8.0,5.0,0.0,0.0,2.0,0.0,15.0,26.0,0.0
org.apache.tools.ant.Equals,1.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,7.0,1.0
org.apache.tools.ant.taskdefs.Exec,29.0,6.0,3.0,33.0,1.0,5.0,0.0,18.0,49.0,0.0
org.apache.tools.ant.types.ExecTask,11.0,8.0,2.0,12.0,1.0,4.0,0.0,9.0,32.0,3.0
org.apache.tools.ant.util.Execute,3.0,3.0,0.0,0.0,0.0,,,,,1.0
org.apache.tools.ant.taskdefs.ExecuteJava,16.0,4.0,2.0,20.0,1.0,4.0,0.0,13.0,32.0,0.0
org.apache.tools.ant.taskdefs.ExecuteOn,16.0,6.0,2.0,20.0,1.0,4.0,0.0,11.0,26.0,1.0
org.apache.tools.ant.taskdefs.ExecuteStreamHandler,26.0,14.0,12.0,20.0,1.0,4.0,0.0,13.0,33.0,0.0
org.apache.tools.ant.taskdefs.ExecuteWatchdog,19.0,8.0,5.0,20.0,1.0,4.0,0.0,17.0,47.0,0.0
org.apache.tools.ant.util.Exit,3.0,5.0,6.0,0.0,0.0,2.0,0.0,5.0,16.0,2.0
org.apache.tools.ant.util.ExitException,3.0,4.0,0.0,0.0,0.0,2.0,0.0,4.0,5.0,0.0
org.apache.tools.ant.Expand,17.0,23.0,18.0,0.0,0.0,2.0,0.0,50.0,87.0,1.0
