address,PIM,WMC,DIT,NOC,CBO,RFC,bug
apache.tools.ant.taskdefs.condition.And,9.0,2.0,3.0,0.0,5.0,7.0,1.0
apache.tools.ant.taskdefs.Ant,19.0,13.0,4.0,0.0,20.0,81.0,3.0
apache.tools.ant.AntClassLoader,20.0,39.0,2.0,0.0,31.0,120.0,0.0
apache.tools.ant.BuildEvent,7.0,14.0,2.0,0.0,8.0,29.0,0.0
apache.tools.ant.taskdefs.CVSPass,16.0,8.0,4.0,0.0,6.0,29.0,0.0
apache.tools.ant.taskdefs.CallTarget,40.0,16.0,6.0,0.0,17.0,56.0,1.0
apache.tools.ant.types.Commandline,23.0,26.0,2.0,0.0,15.0,69.0,0.0
apache.tools.ant.taskdefs.Cvs,23.0,14.0,4.0,2.0,16.0,45.0,1.0
apache.tools.ant.taskdefs.Delete,42.0,7.0,7.0,0.0,11.0,31.0,0.0
apache.tools.ant.taskdefs.Deltree,19.0,7.0,4.0,0.0,14.0,22.0,0.0
apache.tools.ant.taskdefs.Ear,12.0,21.0,2.0,0.0,33.0,92.0,0.0
apache.tools.ant.taskdefs.Echo,5.0,6.0,2.0,0.0,16.0,28.0,0.0
apache.tools.ant.taskdefs.Exec,29.0,6.0,5.0,0.0,18.0,49.0,0.0
apache.tools.ant.taskdefs.ExecuteJava,16.0,4.0,4.0,0.0,13.0,32.0,0.0
apache.tools.ant.taskdefs.ExecuteOn,16.0,6.0,4.0,0.0,11.0,26.0,1.0
apache.tools.ant.taskdefs.ExecuteStreamHandler,26.0,14.0,4.0,0.0,13.0,33.0,0.0
apache.tools.ant.taskdefs.ExecuteWatchdog,19.0,8.0,4.0,0.0,17.0,47.0,0.0
apache.tools.ant.taskdefs.GenerateKey,3.0,7.0,2.0,0.0,5.0,18.0,1.0
apache.tools.ant.taskdefs.Jikes,30.0,8.0,5.0,0.0,20.0,67.0,0.0
apache.tools.ant.Location,15.0,20.0,3.0,40.0,7.0,33.0,0.0
apache.tools.ant.taskdefs.LogStreamHandler,1.0,3.0,2.0,0.0,5.0,10.0,0.0
apache.tools.ant.taskdefs.Manifest,34.0,1.0,6.0,0.0,2.0,2.0,0.0
apache.tools.ant.taskdefs.MatchingTask,17.0,5.0,4.0,0.0,15.0,43.0,0.0
apache.tools.ant.taskdefs.Move,44.0,9.0,7.0,0.0,11.0,33.0,1.0
