filename,npm,wmc,dit,noc,cbo,rfc,bug
apache.tools.ant.NoBannerLogger,8.0,4.0,3.0,0.0,8.0,16.0,0.0
apache.tools.ant.PathTokenizer,2.0,3.0,2.0,0.0,9.0,17.0,0.0
apache.tools.ant.AntTypeDefinition,15.0,20.0,2.0,0.0,16.0,54.0,0.0
apache.tools.ant.DefaultLogger,11.0,16.0,2.0,3.0,17.0,42.0,1.0
apache.tools.ant.IntrospectionHelper,22.0,33.0,2.0,0.0,50.0,111.0,3.0
apache.tools.ant.Main,4.0,23.0,2.0,0.0,39.0,133.0,0.0
apache.tools.ant.ProjectComponent,4.0,5.0,2.0,11.0,5.0,9.0,1.0
apache.tools.ant.TaskAdapter,22.0,7.0,4.0,0.0,17.0,28.0,0.0
apache.tools.ant.BuildEvent,8.0,11.0,2.0,0.0,5.0,15.0,0.0
apache.tools.ant.DirectoryScanner,27.0,53.0,2.0,1.0,27.0,143.0,2.0
apache.tools.ant.DemuxOutputStream,4.0,10.0,2.0,0.0,9.0,37.0,0.0
apache.tools.ant.PropertyHelper,18.0,20.0,2.0,0.0,9.0,58.0,1.0
apache.tools.ant.DemuxInputStream,2.0,3.0,2.0,0.0,4.0,5.0,0.0
apache.tools.ant.MagicNames,0.0,1.0,2.0,0.0,2.0,2.0,0.0
apache.tools.ant.AntClassLoader,26.0,49.0,2.0,1.0,35.0,150.0,10.0
apache.tools.ant.Task,19.0,30.0,3.0,59.0,11.0,67.0,1.0
apache.tools.ant.Location,3.0,8.0,2.0,0.0,7.0,21.0,0.0
apache.tools.ant.Project,86.0,100.0,2.0,0.0,50.0,272.0,5.0
apache.tools.ant.Diagnostics,5.0,17.0,2.0,0.0,24.0,71.0,1.0
apache.tools.ant.ComponentHelper,23.0,34.0,2.0,0.0,38.0,149.0,2.0
apache.tools.ant.BuildException,8.0,15.0,2.0,0.0,8.0,31.0,0.0
apache.tools.ant.ExitException,1.0,3.0,2.0,0.0,3.0,8.0,0.0
apache.tools.ant.RuntimeConfigurable,18.0,21.0,2.0,0.0,26.0,71.0,1.0
apache.tools.ant.XmlLogger,11.0,16.0,2.0,0.0,36.0,77.0,0.0
apache.tools.ant.UnknownElement,27.0,28.0,4.0,0.0,25.0,102.0,4.0
apache.tools.ant.Target,18.0,23.0,2.0,0.0,19.0,63.0,2.0
apache.tools.ant.ProjectHelper,16.0,18.0,2.0,2.0,26.0,73.0,1.0
apache.tools.ant.filters.BaseParamFilterReader,4.0,4.0,3.0,11.0,3.0,7.0,0.0
apache.tools.ant.filters.StripLineComments,7.0,8.0,4.0,0.0,9.0,31.0,0.0
apache.tools.ant.filters.StripJavaComments,5.0,4.0,3.0,0.0,6.0,9.0,0.0
apache.tools.ant.filters.HeadFilter,8.0,10.0,4.0,0.0,10.0,32.0,0.0
apache.tools.ant.filters.LineContainsRegExp,7.0,8.0,4.0,0.0,10.0,34.0,0.0
apache.tools.ant.filters.StripLineBreaks,7.0,7.0,4.0,0.0,9.0,21.0,0.0
apache.tools.ant.filters.PrefixLines,7.0,7.0,4.0,0.0,8.0,27.0,0.0
apache.tools.ant.filters.TokenFilter,20.0,19.0,3.0,0.0,23.0,43.0,0.0
apache.tools.ant.filters.ClassConstants,5.0,5.0,3.0,0.0,16.0,23.0,1.0
apache.tools.ant.filters.StringInputStream,7.0,9.0,2.0,0.0,9.0,24.0,0.0
apache.tools.ant.filters.ExpandProperties,5.0,4.0,3.0,0.0,6.0,15.0,0.0
apache.tools.ant.filters.ReplaceTokens,9.0,13.0,4.0,0.0,13.0,49.0,1.0
apache.tools.ant.filters.BaseFilterReader,3.0,10.0,2.0,5.0,9.0,21.0,0.0
apache.tools.ant.filters.EscapeUnicode,6.0,5.0,4.0,0.0,10.0,21.0,0.0
apache.tools.ant.filters.ConcatFilter,10.0,9.0,4.0,0.0,13.0,34.0,0.0
apache.tools.ant.filters.TabsToSpaces,7.0,7.0,4.0,0.0,10.0,22.0,0.0
apache.tools.ant.filters.LineContains,7.0,8.0,4.0,0.0,9.0,31.0,0.0
apache.tools.ant.filters.TailFilter,8.0,10.0,4.0,0.0,11.0,37.0,0.0
apache.tools.ant.filters.util.JavaClassHelper,1.0,3.0,2.0,0.0,12.0,19.0,0.0
apache.tools.ant.filters.util.ChainReaderHelper,7.0,10.0,2.0,0.0,23.0,41.0,0.0
apache.tools.ant.helper.ProjectHelperImpl,15.0,14.0,3.0,0.0,31.0,65.0,1.0
apache.tools.ant.helper.AntXMLContext,25.0,26.0,2.0,0.0,13.0,47.0,1.0
apache.tools.ant.helper.ProjectHelper2,17.0,9.0,3.0,0.0,32.0,74.0,1.0
apache.tools.ant.input.InputRequest,4.0,5.0,2.0,1.0,3.0,7.0,0.0
apache.tools.ant.input.PropertyFileInputHandler,1.0,3.0,2.0,0.0,11.0,20.0,0.0
apache.tools.ant.input.MultipleChoiceInputRequest,4.0,3.0,3.0,0.0,4.0,8.0,0.0
apache.tools.ant.input.DefaultInputHandler,1.0,4.0,2.0,0.0,15.0,24.0,0.0
apache.tools.ant.listener.AnsiColorLogger,11.0,3.0,3.0,0.0,11.0,19.0,0.0
apache.tools.ant.listener.MailLogger,10.0,7.0,3.0,0.0,27.0,74.0,0.0
apache.tools.ant.loader.AntClassLoader2,26.0,7.0,3.0,0.0,26.0,58.0,1.0
apache.tools.ant.taskdefs.ExecuteWatchdog,6.0,9.0,2.0,0.0,12.0,25.0,0.0
apache.tools.ant.taskdefs.Mkdir,19.0,4.0,4.0,0.0,7.0,18.0,0.0
apache.tools.ant.taskdefs.SubAnt,35.0,23.0,4.0,0.0,20.0,93.0,0.0
apache.tools.ant.taskdefs.GenerateKey,30.0,14.0,4.0,0.0,14.0,34.0,0.0
apache.tools.ant.taskdefs.Javadoc,94.0,85.0,4.0,0.0,46.0,244.0,6.0
apache.tools.ant.taskdefs.LoadFile,23.0,7.0,4.0,0.0,15.0,38.0,0.0
apache.tools.ant.taskdefs.Basename,21.0,5.0,4.0,0.0,7.0,15.0,0.0
apache.tools.ant.taskdefs.War,85.0,10.0,7.0,0.0,12.0,33.0,0.0
apache.tools.ant.taskdefs.DefBase,31.0,12.0,5.0,1.0,7.0,27.0,0.0
apache.tools.ant.taskdefs.Copy,40.0,31.0,4.0,1.0,26.0,102.0,4.0
apache.tools.ant.taskdefs.FixCRLF,64.0,18.0,5.0,0.0,25.0,90.0,1.0
apache.tools.ant.taskdefs.ProcessDestroyer,4.0,8.0,2.0,0.0,22.0,36.0,0.0
apache.tools.ant.taskdefs.AbstractCvsTask,48.0,41.0,4.0,2.0,25.0,122.0,0.0
apache.tools.ant.taskdefs.CVSPass,21.0,6.0,4.0,0.0,13.0,31.0,0.0
apache.tools.ant.taskdefs.PreSetDef,24.0,4.0,5.0,0.0,11.0,19.0,0.0
