address,PIM,WMC,WAC,NMI,NMO,DIT,NOC,CBO,RFC,bug
org.apache.camel.component.cxf.interceptors.AbstractInvokerInterceptor,1.0,6.0,3.0,0.0,0.0,2.0,2.0,19.0,29.0,0.0
org.apache.camel.component.cxf.invoker.AbstractInvokingContext,3.0,9.0,2.0,0.0,0.0,2.0,2.0,16.0,35.0,0.0
org.apache.camel.component.cxf.interceptors.AbstractMessageInInterceptor,1.0,10.0,1.0,0.0,0.0,2.0,2.0,27.0,53.0,0.0
org.apache.camel.component.cxf.interceptors.AbstractMessageOutInterceptor,0.0,4.0,0.0,0.0,0.0,2.0,2.0,12.0,24.0,0.0
org.apache.camel.component.cxf.phase.AbstractPhaseManagerImpl,2.0,5.0,2.0,0.0,0.0,2.0,3.0,3.0,8.0,0.0
org.apache.camel.bam.ActivityBuilder,10.0,11.0,4.0,0.0,0.0,2.0,0.0,13.0,26.0,0.0
org.apache.camel.bam.model.ActivityDefinition,5.0,7.0,2.0,1.0,2.0,3.0,0.0,3.0,15.0,0.0
org.apache.camel.bam.ActivityLifecycle,2.0,4.0,3.0,0.0,0.0,2.0,0.0,4.0,8.0,0.0
org.apache.camel.bam.processor.ActivityMonitorEngine,9.0,12.0,8.0,11.0,2.0,3.0,0.0,16.0,35.0,0.0
org.apache.camel.bam.rules.ActivityRules,15.0,13.0,7.0,11.0,2.0,3.0,0.0,11.0,27.0,0.0
org.apache.camel.bam.model.ActivityState,21.0,23.0,6.0,6.0,3.0,4.0,0.0,11.0,55.0,0.0
org.apache.camel.processor.aggregate.AggregationCollection,4.0,5.0,3.0,0.0,0.0,2.0,0.0,8.0,15.0,4.0
org.apache.camel.processor.aggregate.AggregationStrategy,1.0,1.0,0.0,0.0,0.0,,,,,0.0
org.apache.camel.processor.Aggregator,15.0,3.0,0.0,26.0,1.0,4.0,0.0,4.0,11.0,2.0
org.apache.camel.model.AggregatorType,94.0,14.0,3.0,97.0,1.0,4.0,0.0,11.0,34.0,5.0
org.apache.camel.AlreadyStoppedException,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0
org.apache.camel.component.bean.AmbiguousMethodCallException,2.0,2.0,1.0,1.0,0.0,4.0,0.0,3.0,7.0,1.0
