address,PIM,WMC,WAC,NMI,NMO,DIT,NOC,CBO,RFC,bug
org.apache.camel.impl.converter.AnnotationTypeConverterLoader,1.0,7.0,4.0,0.0,0.0,2.0,0.0,31.0,66.0,0.0
org.apache.camel.impl.converter.ArrayTypeConverter,1.0,2.0,0.0,0.0,0.0,2.0,0.0,11.0,19.0,0.0
org.apache.camel.component.mock.AssertionClause,6.0,9.0,1.0,0.0,0.0,2.0,2.0,11.0,25.0,0.0
org.apache.camel.impl.BinaryPredicateSupport,5.0,9.0,2.0,0.0,0.0,2.0,7.0,8.0,22.0,0.0
org.apache.camel.builder.Builder,8.0,9.0,0.0,0.0,0.0,2.0,0.0,4.0,17.0,0.0
org.apache.camel.builder.BuilderSupport,24.0,27.0,3.0,0.0,0.0,2.0,3.0,12.0,53.0,0.0
org.apache.camel.converter.jaxp.BytesSource,4.0,6.0,1.0,0.0,0.0,2.0,0.0,6.0,15.0,0.0
org.apache.camel.impl.CachingInjector,1.0,3.0,3.0,0.0,0.0,2.0,0.0,4.0,7.0,0.0
org.apache.camel.CamelException,0.0,4.0,0.0,0.0,0.0,2.0,1.0,2.0,8.0,0.0
org.apache.camel.CamelTemplate,23.0,25.0,5.0,5.0,2.0,3.0,0.0,16.0,57.0,0.0
org.apache.camel.builder.ChoiceBuilder,66.0,6.0,3.0,69.0,1.0,4.0,0.0,8.0,16.0,0.0
org.apache.camel.processor.ChoiceProcessor,9.0,7.0,2.0,5.0,2.0,3.0,0.0,12.0,25.0,0.0
org.apache.camel.converter.CollectionConverter,5.0,6.0,0.0,0.0,0.0,2.0,0.0,7.0,13.0,0.0
org.apache.camel.util.CollectionHelper,1.0,2.0,0.0,0.0,0.0,2.0,0.0,5.0,7.0,0.0
org.apache.camel.processor.CompositeProcessor,8.0,6.0,1.0,5.0,2.0,3.0,0.0,9.0,17.0,0.0
org.apache.camel.builder.ConstantProcessorBuilder,1.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0
org.apache.camel.processor.DeadLetterChannel,14.0,16.0,7.0,5.0,2.0,3.0,0.0,20.0,46.0,0.0
org.apache.camel.builder.DeadLetterChannelBuilder,25.0,28.0,6.0,0.0,0.0,2.0,0.0,13.0,57.0,0.0
org.apache.camel.impl.DefaultCamelContext,29.0,32.0,9.0,5.0,2.0,3.0,0.0,36.0,86.0,1.0
org.apache.camel.impl.DefaultComponent,10.0,11.0,3.0,5.0,2.0,3.0,6.0,12.0,25.0,0.0
org.apache.camel.impl.DefaultComponentResolver,1.0,3.0,1.0,0.0,0.0,2.0,0.0,12.0,15.0,0.0
org.apache.camel.impl.DefaultConsumer,10.0,9.0,3.0,5.0,2.0,3.0,5.0,9.0,20.0,0.0
org.apache.camel.impl.DefaultEndpoint,13.0,15.0,4.0,0.0,0.0,2.0,8.0,16.0,39.0,0.0
org.apache.camel.impl.DefaultExchange,21.0,28.0,8.0,0.0,0.0,2.0,3.0,12.0,66.0,1.0
org.apache.camel.impl.DefaultExchangeConverter,1.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0
org.apache.camel.impl.DefaultMessage,15.0,10.0,1.0,11.0,1.0,3.0,2.0,8.0,29.0,0.0
org.apache.camel.builder.xml.DefaultNamespaceContext,5.0,8.0,2.0,0.0,0.0,2.0,0.0,15.0,39.0,0.0
