address,PIM,WMC,DIT,NOC,CBO,RFC,bug
apache.camel.component.cxf.interceptors.AbstractInvokerInterceptor,1.0,6.0,2.0,2.0,19.0,29.0,0.0
apache.camel.component.cxf.invoker.AbstractInvokingContext,3.0,9.0,2.0,2.0,16.0,35.0,0.0
apache.camel.component.cxf.interceptors.AbstractMessageInInterceptor,1.0,10.0,2.0,2.0,27.0,53.0,0.0
apache.camel.component.cxf.interceptors.AbstractMessageOutInterceptor,0.0,4.0,2.0,2.0,12.0,24.0,0.0
apache.camel.component.cxf.phase.AbstractPhaseManagerImpl,2.0,5.0,2.0,3.0,3.0,8.0,0.0
apache.camel.bam.ActivityBuilder,10.0,11.0,2.0,0.0,13.0,26.0,0.0
apache.camel.bam.model.ActivityDefinition,5.0,7.0,3.0,0.0,3.0,15.0,0.0
apache.camel.bam.ActivityLifecycle,2.0,4.0,2.0,0.0,4.0,8.0,0.0
apache.camel.bam.processor.ActivityMonitorEngine,9.0,12.0,3.0,0.0,16.0,35.0,0.0
apache.camel.bam.rules.ActivityRules,15.0,13.0,3.0,0.0,11.0,27.0,0.0
apache.camel.bam.model.ActivityState,21.0,23.0,4.0,0.0,11.0,55.0,0.0
apache.camel.processor.aggregate.AggregationCollection,4.0,5.0,2.0,0.0,8.0,15.0,4.0
apache.camel.processor.Aggregator,15.0,3.0,4.0,0.0,4.0,11.0,2.0
apache.camel.AlreadyStoppedException,0.0,1.0,3.0,0.0,2.0,2.0,1.0
apache.camel.component.bean.AmbiguousMethodCallException,2.0,2.0,4.0,0.0,3.0,7.0,1.0
apache.camel.impl.converter.AnnotationTypeConverterLoader,1.0,8.0,2.0,1.0,32.0,69.0,5.0
apache.camel.spring.spi.ApplicationContextRegistry,2.0,3.0,2.0,0.0,6.0,7.0,0.0
apache.camel.impl.converter.ArrayTypeConverter,1.0,2.0,2.0,0.0,11.0,19.0,1.0
apache.camel.model.dataformat.ArtixDSContentType,2.0,4.0,2.0,0.0,4.0,8.0,0.0
apache.camel.model.dataformat.ArtixDSDataFormat,9.0,13.0,3.0,0.0,5.0,21.0,0.0
apache.camel.component.mock.AssertionClause,6.0,9.0,2.0,0.0,11.0,25.0,0.0
apache.camel.component.cxf.AsyncProcessorDecorator,2.0,4.0,2.0,0.0,11.0,12.0,0.0
apache.camel.util.AsyncProcessorHelper,1.0,2.0,2.0,0.0,6.0,7.0,1.0
apache.camel.impl.converter.AsyncProcessorTypeConverter,2.0,3.0,2.0,0.0,8.0,7.0,2.0
apache.camel.bam.processor.BamProcessorSupport,5.0,15.0,2.0,1.0,18.0,36.0,0.0
apache.camel.processor.BatchProcessor,16.0,17.0,3.0,2.0,20.0,48.0,4.0
apache.camel.model.config.BatchResequencerConfig,5.0,7.0,2.0,0.0,4.0,14.0,0.0
apache.camel.component.bean.BeanComponent,16.0,10.0,4.0,0.0,11.0,30.0,3.0
apache.camel.spring.handler.BeanDefinitionParser,0.0,5.0,2.0,1.0,4.0,10.0,0.0
apache.camel.component.bean.BeanExchange,30.0,4.0,3.0,0.0,4.0,11.0,1.0
apache.camel.component.bean.BeanInfo,4.0,13.0,2.0,0.0,37.0,85.0,9.0
apache.camel.spring.spi.BeanInjector,1.0,2.0,2.0,0.0,3.0,6.0,0.0
apache.camel.component.bean.BeanInvocation,4.0,5.0,2.0,0.0,8.0,14.0,1.0
apache.camel.component.bean.BeanProcessor,13.0,13.0,3.0,0.0,25.0,50.0,9.0
apache.camel.impl.BinaryPredicateSupport,5.0,9.0,2.0,0.0,8.0,22.0,0.0
apache.camel.builder.Builder,10.0,11.0,2.0,0.0,4.0,23.0,0.0
apache.camel.builder.BuilderSupport,27.0,30.0,2.0,1.0,14.0,61.0,2.0
apache.camel.converter.jaxp.BytesSource,4.0,6.0,2.0,0.0,6.0,15.0,1.0
apache.camel.impl.CachingInjector,1.0,3.0,2.0,0.0,4.0,7.0,1.0
apache.camel.spring.CamelBeanPostProcessor,5.0,18.0,2.0,0.0,33.0,71.0,0.0
apache.camel.component.cxf.transport.CamelConduit,3.0,13.0,2.0,0.0,18.0,32.0,0.0
apache.camel.component.cxf.transport.CamelConstants,0.0,1.0,2.0,0.0,2.0,2.0,0.0
apache.camel.spring.CamelContextFactoryBean,24.0,27.0,3.0,0.0,31.0,70.0,0.0
apache.camel.util.CamelContextHelper,4.0,5.0,2.0,0.0,10.0,20.0,3.0
apache.camel.component.cxf.transport.CamelDestination,4.0,14.0,2.0,0.0,25.0,45.0,0.0
apache.camel.component.event.CamelEvent,2.0,3.0,2.0,0.0,3.0,6.0,0.0
apache.camel.CamelException,0.0,4.0,2.0,3.0,2.0,8.0,1.0
apache.camel.CamelExchangeException,1.0,2.0,3.0,6.0,3.0,7.0,1.0
apache.camel.util.jndi.CamelInitialContextFactory,1.0,2.0,2.0,0.0,6.0,7.0,0.0
apache.camel.component.bean.CamelInvocationHandler,1.0,2.0,2.0,0.0,11.0,12.0,0.0
apache.camel.component.cxf.CamelInvoker,4.0,6.0,2.0,0.0,35.0,56.0,0.0
apache.camel.spring.handler.CamelNamespaceHandler,2.0,9.0,2.0,0.0,23.0,33.0,0.0
apache.camel.management.CamelNamingStrategy,9.0,15.0,2.0,0.0,16.0,48.0,10.0
apache.camel.spring.remoting.CamelProxyFactoryBean,10.0,11.0,2.0,0.0,9.0,24.0,0.0
apache.camel.spring.CamelProxyFactoryType,2.0,1.0,3.0,0.0,2.0,2.0,0.0
apache.camel.spring.remoting.CamelServiceExporter,10.0,11.0,2.0,0.0,14.0,22.0,0.0
apache.camel.spring.CamelServiceExporterType,2.0,1.0,3.0,0.0,2.0,2.0,0.0
apache.camel.CamelTemplate,42.0,45.0,3.0,0.0,17.0,89.0,2.0
apache.camel.spring.CamelTemplateFactoryBean,8.0,9.0,2.0,0.0,10.0,18.0,0.0
apache.camel.component.cxf.transport.CamelTransportBase,5.0,7.0,2.0,0.0,7.0,14.0,0.0
apache.camel.component.cxf.transport.CamelTransportFactory,8.0,10.0,2.0,0.0,11.0,18.0,0.0
apache.camel.processor.CatchProcessor,12.0,4.0,4.0,0.0,6.0,14.0,1.0
apache.camel.processor.ChoiceProcessor,10.0,7.0,3.0,0.0,12.0,25.0,2.0
apache.camel.converter.CollectionConverter,9.0,10.0,2.0,0.0,11.0,22.0,2.0
apache.camel.util.CollectionHelper,1.0,2.0,2.0,0.0,5.0,7.0,1.0
apache.camel.util.CollectionStringBuffer,4.0,6.0,2.0,0.0,3.0,12.0,0.0
apache.camel.processor.CompositeProcessor,9.0,6.0,3.0,0.0,9.0,17.0,0.0
apache.camel.builder.ConstantProcessorBuilder,1.0,2.0,2.0,0.0,3.0,3.0,1.0
apache.camel.component.jms.ConsumerType,2.0,4.0,2.0,0.0,4.0,8.0,0.0
apache.camel.management.Counter,3.0,4.0,2.0,1.0,4.0,9.0,0.0
apache.camel.component.cxf.CxfBinding,5.0,7.0,2.0,0.0,11.0,24.0,0.0
