filename,npm,wmc,dit,noc,cbo,rfc,bug
apache.camel.RuntimeTransformException,0.0,3.0,3.0,0.0,2.0,6.0,0.0
apache.camel.NoTypeConversionAvailableException,3.0,4.0,3.0,0.0,5.0,11.0,1.0
apache.camel.CamelException,0.0,4.0,2.0,3.0,2.0,8.0,1.0
apache.camel.NoSuchLanguageException,1.0,2.0,3.0,0.0,3.0,6.0,0.0
apache.camel.RuntimeCamelException,0.0,4.0,2.0,17.0,2.0,8.0,1.0
apache.camel.ExpectedBodyTypeException,2.0,3.0,3.0,0.0,5.0,10.0,0.0
apache.camel.FailedToCreateProducerException,1.0,2.0,3.0,0.0,3.0,7.0,1.0
apache.camel.ValidationException,1.0,2.0,4.0,2.0,2.0,4.0,0.0
apache.camel.RuntimeExchangeException,1.0,3.0,3.0,1.0,4.0,10.0,1.0
apache.camel.InvalidPayloadException,2.0,3.0,4.0,0.0,7.0,13.0,1.0
apache.camel.AlreadyStoppedException,0.0,1.0,3.0,0.0,2.0,2.0,1.0
apache.camel.NoSuchEndpointException,1.0,2.0,3.0,0.0,3.0,6.0,1.0
apache.camel.Route,8.0,11.0,2.0,1.0,6.0,20.0,2.0
apache.camel.InvalidHeaderTypeException,1.0,4.0,3.0,0.0,6.0,14.0,1.0
apache.camel.CamelTemplate,43.0,2.0,4.0,0.0,2.0,4.0,2.0
apache.camel.ResolveEndpointFailedException,1.0,3.0,3.0,0.0,3.0,9.0,0.0
apache.camel.InvalidTypeException,3.0,3.0,4.0,0.0,5.0,10.0,1.0
apache.camel.NoSuchPropertyException,3.0,5.0,4.0,0.0,6.0,15.0,1.0
apache.camel.CamelExchangeException,1.0,4.0,3.0,8.0,3.0,11.0,1.0
apache.camel.RuntimeExpressionException,0.0,3.0,3.0,2.0,2.0,6.0,0.0
apache.camel.builder.ProcessorBuilder,12.0,13.0,2.0,0.0,14.0,26.0,1.0
apache.camel.builder.LoggingErrorHandlerBuilder,8.0,9.0,3.0,0.0,6.0,18.0,0.0
apache.camel.builder.Builder,10.0,11.0,2.0,0.0,4.0,23.0,0.0
apache.camel.builder.ErrorHandlerBuilderSupport,2.0,4.0,2.0,5.0,8.0,11.0,1.0
apache.camel.builder.ExpressionClause,58.0,44.0,3.0,0.0,8.0,80.0,5.0
apache.camel.builder.DeadLetterChannelBuilder,31.0,32.0,3.0,0.0,13.0,66.0,1.0
apache.camel.builder.ConstantProcessorBuilder,1.0,2.0,2.0,0.0,3.0,3.0,1.0
apache.camel.builder.PredicateBuilder,16.0,17.0,2.0,0.0,18.0,37.0,0.0
apache.camel.builder.BinaryPredicateSupport,5.0,9.0,2.0,0.0,8.0,22.0,0.0
apache.camel.builder.BuilderSupport,28.0,31.0,2.0,1.0,15.0,65.0,2.0
apache.camel.builder.ExpressionBuilder,29.0,30.0,2.0,0.0,33.0,64.0,3.0
apache.camel.builder.NoErrorHandlerBuilder,4.0,3.0,3.0,0.0,2.0,4.0,1.0
apache.camel.builder.RouteBuilder,40.0,24.0,3.0,5.0,15.0,63.0,3.0
apache.camel.builder.PredicateSupport,2.0,4.0,2.0,0.0,6.0,14.0,0.0
apache.camel.builder.NoRouteBuilder,40.0,4.0,4.0,0.0,3.0,6.0,0.0
apache.camel.builder.ValueBuilder,23.0,26.0,2.0,0.0,6.0,52.0,0.0
apache.camel.builder.xml.DomResultHandler,2.0,3.0,2.0,0.0,5.0,7.0,0.0
apache.camel.builder.xml.StringResultHandlerFactory,1.0,2.0,2.0,0.0,4.0,4.0,1.0
apache.camel.builder.xml.XPathLanguage,4.0,6.0,2.0,0.0,4.0,10.0,1.0
apache.camel.builder.xml.StringResultHandler,2.0,3.0,2.0,0.0,6.0,8.0,0.0
apache.camel.builder.xml.XPathBuilder,41.0,49.0,2.0,0.0,37.0,114.0,2.0
apache.camel.builder.xml.XsltBuilder,25.0,30.0,2.0,0.0,32.0,87.0,3.0
apache.camel.builder.xml.StreamResultHandler,2.0,3.0,2.0,0.0,6.0,8.0,0.0
apache.camel.builder.xml.DomResultHandlerFactory,1.0,2.0,2.0,0.0,4.0,4.0,2.0
apache.camel.builder.xml.DefaultNamespaceContext,5.0,8.0,2.0,0.0,13.0,29.0,0.0
apache.camel.builder.xml.MessageVariableResolver,4.0,6.0,2.0,0.0,14.0,27.0,2.0
apache.camel.builder.xml.InvalidXPathExpression,1.0,2.0,4.0,0.0,3.0,7.0,0.0
apache.camel.builder.xml.Namespaces,9.0,11.0,2.0,0.0,12.0,35.0,2.0
apache.camel.builder.xml.StreamResultHandlerFactory,1.0,2.0,2.0,0.0,4.0,4.0,2.0
apache.camel.component.bean.BeanComponent,24.0,9.0,4.0,0.0,10.0,30.0,3.0
apache.camel.component.bean.XPathAnnotationExpressionFactory,0.0,2.0,3.0,0.0,5.0,9.0,2.0
apache.camel.component.bean.BeanProcessor,13.0,15.0,3.0,0.0,22.0,55.0,9.0
apache.camel.component.bean.BeanInvocation,8.0,10.0,2.0,0.0,20.0,30.0,1.0
apache.camel.component.bean.CamelInvocationHandler,1.0,2.0,2.0,0.0,11.0,12.0,0.0
apache.camel.component.bean.DefaultParameterMappingStrategy,3.0,4.0,2.0,0.0,9.0,12.0,1.0
apache.camel.component.bean.DefaultAnnotationExpressionFactory,1.0,3.0,2.0,2.0,11.0,17.0,2.0
apache.camel.component.bean.BeanExchange,31.0,5.0,3.0,0.0,4.0,11.0,1.0
apache.camel.component.bean.NoBeanAvailableException,1.0,2.0,3.0,0.0,3.0,6.0,1.0
apache.camel.component.bean.MethodInfo,12.0,17.0,2.0,0.0,14.0,34.0,2.0
apache.camel.component.bean.AmbiguousMethodCallException,2.0,2.0,4.0,0.0,3.0,7.0,1.0
apache.camel.component.bean.BeanInfo,5.0,17.0,2.0,0.0,40.0,102.0,9.0
apache.camel.component.bean.ParameterInfo,5.0,6.0,2.0,0.0,2.0,7.0,2.0
apache.camel.component.bean.ProxyHelper,4.0,5.0,2.0,0.0,8.0,13.0,0.0
apache.camel.component.direct.DirectEndpoint,26.0,11.0,3.0,0.0,7.0,17.0,1.0
apache.camel.component.direct.DirectComponent,20.0,2.0,4.0,0.0,4.0,5.0,0.0
apache.camel.component.file.FileExchange,31.0,5.0,3.0,0.0,3.0,11.0,0.0
apache.camel.component.file.FileProducer,12.0,7.0,4.0,0.0,18.0,51.0,4.0
apache.camel.component.file.FileMessage,24.0,8.0,4.0,0.0,5.0,19.0,1.0
apache.camel.component.file.FileComponent,20.0,3.0,4.0,0.0,5.0,8.0,2.0
apache.camel.component.file.FileEndpoint,51.0,43.0,4.0,0.0,24.0,92.0,8.0
apache.camel.component.file.FileConsumer,31.0,22.0,5.0,0.0,18.0,75.0,6.0
apache.camel.component.file.strategy.FileProcessStrategySupport,6.0,10.0,2.0,3.0,16.0,32.0,1.0
apache.camel.component.file.strategy.RenameFileProcessStrategy,7.0,8.0,3.0,0.0,9.0,28.0,1.0
apache.camel.component.file.strategy.NoOpFileProcessStrategy,6.0,2.0,3.0,0.0,2.0,3.0,1.0
apache.camel.component.file.strategy.DeleteFileProcessStrategy,5.0,4.0,3.0,0.0,7.0,16.0,1.0
apache.camel.component.file.strategy.DefaultFileRenamer,5.0,9.0,2.0,0.0,7.0,21.0,0.0
apache.camel.component.jmx.JMXComponent,22.0,5.0,4.0,0.0,4.0,11.0,1.0
apache.camel.component.jmx.JMXEndpoint,34.0,21.0,3.0,0.0,13.0,51.0,2.0
apache.camel.component.jmx.JMXConsumer,13.0,2.0,4.0,0.0,6.0,7.0,2.0
apache.camel.component.jmx.JMXExchange,30.0,1.0,3.0,0.0,3.0,4.0,1.0
apache.camel.component.jmx.JMXMessage,23.0,6.0,4.0,0.0,4.0,16.0,1.0
apache.camel.component.log.LogComponent,20.0,3.0,4.0,0.0,12.0,18.0,2.0
