address,PIM,WMC,WAC,NMI,NMO,DIT,NOC,CBO,RFC,bug
bsh.ASCII_UCodeESC_CharStream,17.0,27.0,17.0,0.0,0.0,2.0,0.0,10.0,52.0,0.0
org.gjt.sp.jedit.options.Abbrev,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0
org.gjt.sp.jedit.gui.AbbrevEditor,4.0,5.0,2.0,0.0,0.0,2.0,0.0,12.0,26.0,0.0
org.gjt.sp.jedit.Abbrevs,9.0,18.0,7.0,0.0,0.0,2.0,0.0,34.0,101.0,0.0
org.gjt.sp.jedit.options.AbbrevsModel,8.0,10.0,1.0,0.0,0.0,2.0,0.0,10.0,31.0,0.0
org.gjt.sp.jedit.options.AbbrevsOptionPane,4.0,7.0,5.0,7.0,2.0,3.0,0.0,27.0,58.0,1.0
org.gjt.sp.jedit.gui.AboutDialog,0.0,3.0,1.0,0.0,2.0,3.0,0.0,19.0,33.0,2.0
org.gjt.sp.jedit.AbstractOptionPane,4.0,10.0,4.0,0.0,0.0,2.0,15.0,11.0,29.0,1.0
org.gjt.sp.jedit.ActionListHandler,6.0,11.0,8.0,6.0,7.0,3.0,0.0,14.0,34.0,2.0
org.gjt.sp.jedit.gui.AddAbbrevDialog,0.0,6.0,6.0,0.0,0.0,2.0,0.0,18.0,35.0,0.0
org.gjt.sp.jedit.search.AllBufferSet,6.0,5.0,2.0,5.0,1.0,3.0,0.0,14.0,24.0,0.0
org.gjt.sp.jedit.Autosave,3.0,4.0,1.0,0.0,0.0,2.0,0.0,6.0,12.0,0.0
bsh.BSHAllocationExpression,17.0,8.0,0.0,17.0,1.0,3.0,0.0,23.0,43.0,0.0
bsh.BSHAmbiguousName,20.0,7.0,1.0,16.0,2.0,3.0,0.0,8.0,18.0,0.0
bsh.BSHArguments,19.0,2.0,0.0,18.0,0.0,3.0,0.0,4.0,6.0,0.0
bsh.BSHArrayDimensions,19.0,4.0,3.0,17.0,1.0,3.0,0.0,11.0,22.0,0.0
bsh.BSHArrayInitializer,18.0,4.0,0.0,17.0,1.0,3.0,0.0,12.0,25.0,0.0
bsh.BSHAssignment,17.0,3.0,1.0,17.0,1.0,3.0,0.0,14.0,19.0,0.0
