address,PIM,WMC,DIT,NOC,CBO,RFC,bug
bsh.ASCII_UCodeESC_CharStream,17.0,27.0,2.0,0.0,10.0,52.0,0.0
bsh.BSHAllocationExpression,17.0,8.0,3.0,0.0,23.0,43.0,0.0
bsh.BSHAmbiguousName,20.0,7.0,3.0,0.0,8.0,18.0,0.0
bsh.BSHArguments,19.0,2.0,3.0,0.0,4.0,6.0,0.0
bsh.BSHArrayDimensions,19.0,4.0,3.0,0.0,11.0,22.0,0.0
bsh.BSHArrayInitializer,18.0,4.0,3.0,0.0,12.0,25.0,0.0
bsh.BSHAssignment,17.0,3.0,3.0,0.0,14.0,19.0,0.0
bsh.BSHBinaryExpression,17.0,4.0,3.0,0.0,15.0,23.0,0.0
bsh.BSHBlock,18.0,3.0,3.0,0.0,7.0,11.0,0.0
bsh.BSHCastExpression,21.0,6.0,3.0,0.0,25.0,49.0,0.0
bsh.BSHForStatement,17.0,2.0,3.0,0.0,9.0,10.0,0.0
bsh.BSHFormalParameter,17.0,3.0,3.0,0.0,5.0,7.0,0.0
bsh.BSHFormalParameters,17.0,2.0,3.0,0.0,7.0,6.0,0.0
bsh.BSHIfStatement,18.0,3.0,3.0,0.0,6.0,11.0,0.0
bsh.BSHImportDeclaration,17.0,2.0,3.0,0.0,8.0,9.0,0.0
bsh.BSHLHSPrimaryExpression,19.0,2.0,3.0,0.0,6.0,9.0,0.0
bsh.BSHLHSPrimarySuffix,19.0,5.0,3.0,0.0,18.0,30.0,0.0
bsh.BSHLiteral,18.0,5.0,3.0,0.0,9.0,21.0,0.0
bsh.BSHMethodDeclaration,16.0,3.0,3.0,0.0,11.0,14.0,0.0
bsh.BSHMethodInvocation,17.0,2.0,3.0,0.0,13.0,17.0,0.0
bsh.BSHPrimaryExpression,17.0,2.0,3.0,0.0,5.0,8.0,0.0
bsh.BSHPrimarySuffix,19.0,5.0,3.0,0.0,22.0,38.0,0.0
bsh.BSHPrimitiveType,19.0,2.0,3.0,0.0,2.0,3.0,0.0
bsh.BSHReturnStatement,17.0,2.0,3.0,0.0,6.0,7.0,0.0
bsh.BSHReturnType,19.0,2.0,3.0,0.0,5.0,5.0,0.0
bsh.BSHStatementExpressionList,17.0,2.0,3.0,0.0,4.0,6.0,0.0
bsh.BSHSwitchLabel,17.0,2.0,3.0,0.0,3.0,5.0,0.0
bsh.BSHSwitchStatement,17.0,2.0,3.0,0.0,8.0,9.0,0.0
bsh.BSHTernaryExpression,17.0,2.0,3.0,0.0,4.0,6.0,0.0
bsh.BSHThrowStatement,17.0,2.0,3.0,0.0,5.0,7.0,0.0
bsh.BSHTryStatement,17.0,2.0,3.0,0.0,13.0,22.0,0.0
bsh.BSHType,23.0,6.0,3.0,0.0,10.0,14.0,0.0
bsh.BSHTypedVariableDeclaration,17.0,3.0,3.0,0.0,13.0,14.0,0.0
bsh.BSHUnaryExpression,17.0,5.0,3.0,0.0,20.0,36.0,0.0
bsh.BSHVariableDeclarator,19.0,2.0,3.0,0.0,6.0,9.0,0.0
bsh.BSHWhileStatement,17.0,2.0,3.0,0.0,7.0,7.0,0.0
bsh.BlockNameSpace,32.0,3.0,3.0,0.0,4.0,11.0,0.0
bsh.BshClassManager,21.0,25.0,2.0,0.0,15.0,43.0,0.0
bsh.BshMethod,3.0,4.0,2.0,0.0,17.0,20.0,0.0
bsh.CallStack,10.0,11.0,2.0,0.0,6.0,29.0,0.0
bsh.Capabilities,5.0,7.0,2.0,0.0,6.0,13.0,0.0
gnu.regexp.CharIndexedCharArray,3.0,4.0,2.0,0.0,4.0,5.0,0.0
gnu.regexp.CharIndexedInputStream,3.0,5.0,2.0,0.0,5.0,14.0,0.0
gnu.regexp.CharIndexedReader,3.0,5.0,2.0,0.0,5.0,14.0,0.0
gnu.regexp.CharIndexedString,3.0,4.0,2.0,0.0,5.0,7.0,0.0
gnu.regexp.CharIndexedStringBuffer,3.0,4.0,2.0,0.0,5.0,7.0,0.0
gnu.regexp.CharUnit,0.0,1.0,2.0,0.0,3.0,2.0,0.0
bsh.ClassPathException,7.0,1.0,3.0,0.0,2.0,2.0,0.0
bsh.CommandLineReader,3.0,4.0,2.0,0.0,8.0,10.0,0.0
bsh.EvalError,7.0,11.0,2.0,2.0,5.0,22.0,0.0
gnu.regexp.IntPair,0.0,1.0,2.0,0.0,3.0,2.0,0.0
bsh.Interpreter,36.0,51.0,2.0,0.0,40.0,159.0,0.0
bsh.InterpreterError,0.0,1.0,2.0,0.0,2.0,2.0,0.0
bsh.JJTParserState,0.0,12.0,2.0,0.0,6.0,28.0,0.0
bsh.JThis,89.0,87.0,3.0,0.0,45.0,101.0,0.0
bsh.LHS,3.0,8.0,2.0,0.0,21.0,31.0,0.0
bsh.Name,8.0,19.0,2.0,0.0,28.0,85.0,0.0
bsh.NameSpace,33.0,51.0,2.0,1.0,41.0,159.0,0.0
bsh.ParseException,2.0,6.0,2.0,0.0,8.0,21.0,0.0
bsh.Parser,79.0,399.0,2.0,0.0,65.0,872.0,0.0
bsh.ParserTokenManager,4.0,50.0,2.0,0.0,9.0,111.0,0.0
bsh.Primitive,11.0,45.0,2.0,0.0,23.0,111.0,0.0
gnu.regexp.RE,22.0,45.0,3.0,0.0,38.0,132.0,0.0
gnu.regexp.REException,3.0,4.0,2.0,0.0,7.0,13.0,0.0
gnu.regexp.REFilterInputStream,4.0,5.0,2.0,0.0,6.0,20.0,0.0
gnu.regexp.REFilterReader,4.0,5.0,2.0,0.0,6.0,20.0,0.0
gnu.regexp.REMatch,11.0,15.0,2.0,0.0,11.0,30.0,0.0
gnu.regexp.REMatchEnumeration,5.0,6.0,2.0,0.0,8.0,14.0,0.0
gnu.regexp.RESyntax,6.0,9.0,2.0,0.0,7.0,22.0,0.0
gnu.regexp.REToken,0.0,8.0,2.0,13.0,3.0,12.0,0.0
gnu.regexp.RETokenAny,0.0,4.0,3.0,0.0,5.0,8.0,0.0
gnu.regexp.RETokenBackRef,0.0,3.0,3.0,0.0,5.0,8.0,0.0
gnu.regexp.RETokenChar,0.0,5.0,3.0,0.0,7.0,12.0,0.0
gnu.regexp.RETokenEnd,0.0,3.0,3.0,0.0,6.0,9.0,0.0
gnu.regexp.RETokenEndSub,0.0,3.0,3.0,0.0,3.0,5.0,0.0
gnu.regexp.RETokenLookAhead,0.0,2.0,3.0,0.0,5.0,8.0,0.0
