address,PIM,NMO,DIT,NOC,CBO,RFC,bug
bsh.ASCII_UCodeESC_CharStream,17.0,0.0,2.0,0.0,10.0,52.0,0.0
gjt.sp.jedit.options.Abbrev,0.0,0.0,2.0,0.0,2.0,3.0,0.0
gjt.sp.jedit.gui.AbbrevEditor,7.0,0.0,2.0,0.0,15.0,31.0,0.0
gjt.sp.jedit.Abbrevs,9.0,0.0,2.0,0.0,33.0,101.0,2.0
gjt.sp.jedit.options.AbbrevsModel,7.0,0.0,2.0,0.0,10.0,34.0,0.0
gjt.sp.jedit.options.AbbrevsOptionPane,7.0,2.0,3.0,0.0,34.0,79.0,0.0
gjt.sp.jedit.gui.AboutDialog,0.0,2.0,3.0,0.0,18.0,27.0,0.0
gjt.sp.jedit.AbstractOptionPane,7.0,0.0,2.0,19.0,13.0,29.0,0.0
gjt.sp.jedit.ActionListHandler,6.0,7.0,3.0,0.0,12.0,31.0,0.0
gjt.sp.jedit.ActionSet,10.0,0.0,2.0,0.0,6.0,27.0,3.0
gjt.sp.jedit.gui.AddAbbrevDialog,0.0,0.0,2.0,0.0,18.0,32.0,0.0
gjt.sp.jedit.search.AllBufferSet,5.0,2.0,3.0,0.0,15.0,25.0,0.0
gjt.sp.jedit.options.AppearanceOptionPane,7.0,2.0,3.0,0.0,16.0,35.0,1.0
gjt.sp.jedit.Autosave,3.0,0.0,2.0,0.0,6.0,14.0,1.0
bsh.BSHAllocationExpression,17.0,1.0,3.0,0.0,23.0,44.0,0.0
bsh.BSHAmbiguousName,20.0,2.0,3.0,0.0,8.0,18.0,0.0
bsh.BSHArguments,19.0,0.0,3.0,0.0,4.0,6.0,0.0
bsh.BSHArrayDimensions,19.0,1.0,3.0,0.0,11.0,23.0,0.0
bsh.BSHArrayInitializer,18.0,1.0,3.0,0.0,12.0,26.0,0.0
bsh.BSHAssignment,17.0,1.0,3.0,0.0,14.0,19.0,0.0
bsh.BSHBinaryExpression,17.0,1.0,3.0,0.0,15.0,23.0,0.0
bsh.BSHBlock,18.0,1.0,3.0,0.0,7.0,11.0,0.0
bsh.BSHCastExpression,21.0,1.0,3.0,0.0,25.0,50.0,0.0
bsh.BSHForStatement,17.0,1.0,3.0,0.0,9.0,10.0,0.0
bsh.BSHFormalParameter,17.0,1.0,3.0,0.0,5.0,7.0,0.0
bsh.BSHFormalParameters,17.0,1.0,3.0,0.0,7.0,6.0,0.0
bsh.BSHIfStatement,18.0,1.0,3.0,0.0,6.0,11.0,0.0
bsh.BSHImportDeclaration,17.0,1.0,3.0,0.0,8.0,9.0,0.0
bsh.BSHLHSPrimaryExpression,19.0,0.0,3.0,0.0,6.0,9.0,0.0
bsh.BSHLHSPrimarySuffix,19.0,0.0,3.0,0.0,15.0,27.0,0.0
bsh.BSHLiteral,18.0,1.0,3.0,0.0,9.0,21.0,0.0
bsh.BSHMethodDeclaration,16.0,2.0,3.0,0.0,11.0,15.0,0.0
bsh.BSHMethodInvocation,17.0,1.0,3.0,0.0,13.0,19.0,0.0
bsh.BSHPrimaryExpression,17.0,1.0,3.0,0.0,5.0,8.0,0.0
bsh.BSHPrimarySuffix,19.0,0.0,3.0,0.0,24.0,42.0,0.0
bsh.BSHPrimitiveType,19.0,0.0,3.0,0.0,2.0,3.0,0.0
bsh.BSHReturnStatement,17.0,1.0,3.0,0.0,6.0,7.0,0.0
bsh.BSHReturnType,19.0,0.0,3.0,0.0,5.0,5.0,0.0
bsh.BSHStatementExpressionList,17.0,1.0,3.0,0.0,4.0,6.0,0.0
bsh.BSHSwitchLabel,17.0,1.0,3.0,0.0,3.0,5.0,0.0
bsh.BSHSwitchStatement,17.0,1.0,3.0,0.0,8.0,9.0,0.0
bsh.BSHTernaryExpression,17.0,1.0,3.0,0.0,4.0,6.0,0.0
bsh.BSHThrowStatement,17.0,1.0,3.0,0.0,5.0,7.0,0.0
bsh.BSHTryStatement,17.0,1.0,3.0,0.0,13.0,22.0,0.0
bsh.BSHType,23.0,0.0,3.0,0.0,10.0,14.0,0.0
bsh.BSHTypedVariableDeclaration,17.0,1.0,3.0,0.0,13.0,14.0,0.0
bsh.BSHUnaryExpression,17.0,1.0,3.0,0.0,20.0,36.0,0.0
bsh.BSHVariableDeclarator,19.0,0.0,3.0,0.0,6.0,9.0,0.0
bsh.BSHWhileStatement,17.0,1.0,3.0,0.0,7.0,7.0,0.0
gjt.sp.jedit.BeanShell,16.0,0.0,2.0,0.0,40.0,103.0,2.0
gjt.sp.jedit.BeanShellAction,5.0,6.0,3.0,0.0,10.0,19.0,0.0
gjt.sp.jedit.gui.BeanShellErrorDialog,0.0,2.0,3.0,0.0,22.0,33.0,0.0
bsh.BlockNameSpace,32.0,5.0,3.0,0.0,4.0,19.0,0.0
gjt.sp.jedit.search.BoyerMooreSearchMatcher,3.0,0.0,2.0,0.0,9.0,24.0,1.0
gjt.sp.jedit.options.BrowserColorsModel,7.0,0.0,2.0,0.0,15.0,37.0,0.0
gjt.sp.jedit.options.BrowserColorsOptionPane,7.0,2.0,3.0,0.0,26.0,46.0,0.0
gjt.sp.jedit.browser.BrowserCommandsMenu,1.0,0.0,2.0,0.0,15.0,35.0,2.0
gjt.sp.jedit.browser.BrowserIORequest,5.0,1.0,3.0,0.0,13.0,32.0,0.0
gjt.sp.jedit.options.BrowserOptionPane,7.0,2.0,3.0,0.0,7.0,17.0,1.0
gjt.sp.jedit.browser.BrowserView,10.0,0.0,2.0,0.0,40.0,127.0,4.0
bsh.BshClassManager,22.0,0.0,2.0,0.0,16.0,46.0,0.0
bsh.BshMethod,3.0,0.0,2.0,0.0,17.0,21.0,0.0
gjt.sp.jedit.Buffer,116.0,0.0,2.0,0.0,69.0,404.0,18.0
gjt.sp.jedit.buffer.BufferChangeAdapter,4.0,0.0,2.0,0.0,3.0,6.0,0.0
gjt.sp.jedit.BufferHistory,5.0,0.0,2.0,0.0,30.0,66.0,1.0
gjt.sp.jedit.io.BufferIORequest,5.0,1.0,3.0,0.0,37.0,112.0,0.0
gjt.sp.jedit.search.BufferListSet,5.0,0.0,2.0,2.0,6.0,13.0,0.0
gjt.sp.jedit.gui.BufferOptions,0.0,2.0,3.0,0.0,37.0,81.0,1.0
gjt.sp.jedit.print.BufferPrintable,1.0,0.0,2.0,0.0,26.0,49.0,3.0
gjt.sp.jedit.print.BufferPrinter,2.0,0.0,2.0,0.0,15.0,23.0,0.0
gjt.sp.jedit.gui.BufferSwitcher,1.0,0.0,2.0,0.0,7.0,16.0,0.0
gjt.sp.jedit.msg.BufferUpdate,4.0,0.0,2.0,0.0,6.0,14.0,0.0
bsh.CallStack,10.0,0.0,2.0,0.0,6.0,29.0,0.0
bsh.Capabilities,5.0,0.0,2.0,0.0,6.0,13.0,0.0
gnu.regexp.CharIndexedCharArray,3.0,0.0,2.0,0.0,4.0,5.0,0.0
gnu.regexp.CharIndexedInputStream,3.0,0.0,2.0,0.0,6.0,14.0,0.0
gnu.regexp.CharIndexedReader,3.0,0.0,2.0,0.0,6.0,14.0,0.0
gjt.sp.jedit.search.CharIndexedSegment,3.0,0.0,2.0,0.0,5.0,5.0,0.0
gnu.regexp.CharIndexedString,3.0,0.0,2.0,0.0,5.0,7.0,0.0
gnu.regexp.CharIndexedStringBuffer,3.0,0.0,2.0,0.0,5.0,7.0,0.0
gnu.regexp.CharUnit,0.0,0.0,2.0,0.0,3.0,2.0,0.0
gjt.sp.jedit.gui.CheckBoxListModel,7.0,0.0,2.0,0.0,11.0,26.0,0.0
gjt.sp.jedit.textarea.ChunkCache,5.0,0.0,2.0,0.0,24.0,76.0,9.0
bsh.ClassPathException,9.0,0.0,3.0,0.0,2.0,2.0,0.0
