filename,npm,wmc,dit,noc,cbo,rfc,bug
apache.log4j.BasicConfigurator,9.0,14.0,2.0,2.0,19.0,45.0,1.0
apache.log4j.DefaultCategoryFactory,1.0,2.0,2.0,0.0,4.0,4.0,0.0
apache.log4j.AppenderSkeleton,17.0,19.0,2.0,8.0,11.0,33.0,0.0
apache.log4j.AsyncAppender,19.0,12.0,3.0,0.0,13.0,39.0,5.0
apache.log4j.NDC,9.0,12.0,2.0,0.0,10.0,42.0,1.0
apache.log4j.Category,42.0,49.0,2.0,1.0,30.0,108.0,9.0
apache.log4j.SimpleLayout,3.0,6.0,3.0,0.0,6.0,12.0,0.0
apache.log4j.CategoryKey,2.0,4.0,2.0,0.0,7.0,12.0,0.0
apache.log4j.Layout,8.0,10.0,2.0,5.0,5.0,13.0,0.0
apache.log4j.TTCCLayout,9.0,8.0,4.0,0.0,8.0,25.0,0.0
apache.log4j.PropertyConfigurator,17.0,19.0,3.0,0.0,29.0,95.0,2.0
apache.log4j.ProvisionNode,0.0,1.0,2.0,0.0,2.0,3.0,0.0
apache.log4j.Hierarchy,8.0,12.0,2.0,0.0,15.0,47.0,2.0
apache.log4j.Dispatcher,1.0,2.0,2.0,0.0,6.0,11.0,0.0
apache.log4j.HTMLLayout,0.0,10.0,3.0,0.0,11.0,34.0,2.0
apache.log4j.Priority,8.0,10.0,2.0,0.0,3.0,15.0,1.0
apache.log4j.FileAppender,14.0,20.0,3.0,2.0,17.0,56.0,1.0
apache.log4j.PatternLayout,4.0,9.0,3.0,0.0,6.0,21.0,1.0
apache.log4j.RollingFileAppender,16.0,13.0,4.0,1.0,12.0,43.0,1.0
apache.log4j.gui.TextPaneAppender,15.0,23.0,3.0,0.0,32.0,85.0,0.0
apache.log4j.helpers.OnlyOnceErrorHandler,5.0,6.0,2.0,0.0,4.0,9.0,1.0
apache.log4j.helpers.BoundedFIFO,7.0,8.0,2.0,0.0,5.0,14.0,0.0
apache.log4j.helpers.TracerPrintWriter,4.0,5.0,2.0,1.0,6.0,10.0,0.0
apache.log4j.helpers.PatternConverter,2.0,6.0,2.0,0.0,5.0,12.0,0.0
apache.log4j.helpers.SyslogWriter,4.0,5.0,2.0,0.0,12.0,19.0,0.0
