address,PIM,WMC,WAC,NMI,NMO,DIT,NOC,CBO,RFC,bug
org.apache.log4j.helpers.AbsoluteTimeDateFormat,2.0,4.0,3.0,0.0,0.0,2.0,2.0,4.0,12.0,0.0
org.apache.log4j.helpers.AppenderAttachableImpl,7.0,8.0,1.0,0.0,0.0,2.0,0.0,6.0,22.0,0.0
org.apache.log4j.AppenderSkeleton,17.0,19.0,8.0,0.0,0.0,2.0,8.0,11.0,33.0,4.0
org.apache.log4j.AsyncAppender,19.0,12.0,6.0,13.0,5.0,3.0,0.0,13.0,39.0,5.0
org.apache.log4j.BasicConfigurator,9.0,14.0,3.0,0.0,0.0,2.0,2.0,19.0,45.0,2.0
org.apache.log4j.helpers.BoundedFIFO,7.0,8.0,5.0,0.0,0.0,2.0,0.0,5.0,14.0,0.0
org.apache.log4j.Category,42.0,49.0,19.0,0.0,0.0,2.0,1.0,30.0,108.0,9.0
org.apache.log4j.CategoryKey,2.0,4.0,3.0,0.0,0.0,2.0,0.0,7.0,12.0,0.0
org.apache.log4j.helpers.CountingQuietWriter,4.0,4.0,1.0,2.0,1.0,3.0,0.0,7.0,8.0,0.0
org.apache.log4j.helpers.CyclicBuffer,6.0,7.0,5.0,0.0,0.0,2.0,0.0,5.0,13.0,0.0
org.apache.log4j.helpers.DateLayout,9.0,8.0,9.0,6.0,3.0,3.0,1.0,14.0,26.0,1.0
org.apache.log4j.helpers.DateTimeDateFormat,0.0,4.0,1.0,0.0,2.0,3.0,0.0,6.0,16.0,0.0
org.apache.log4j.DefaultCategoryFactory,1.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0
org.apache.log4j.net.DefaultEvaluator,1.0,2.0,0.0,0.0,0.0,2.0,0.0,5.0,4.0,0.0
org.apache.log4j.or.DefaultRenderer,1.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,0.0
org.apache.log4j.Dispatcher,1.0,2.0,2.0,0.0,0.0,2.0,0.0,6.0,11.0,0.0
org.apache.log4j.FileAppender,14.0,20.0,9.0,11.0,7.0,3.0,2.0,17.0,56.0,3.0
org.apache.log4j.helpers.FileWatchdog,2.0,5.0,6.0,0.0,0.0,2.0,2.0,6.0,19.0,0.0
org.apache.log4j.spi.Filter,4.0,5.0,4.0,0.0,0.0,2.0,3.0,3.0,6.0,0.0
org.apache.log4j.helpers.FormattingInfo,0.0,3.0,3.0,0.0,0.0,2.0,0.0,4.0,10.0,0.0
org.apache.log4j.HTMLLayout,0.0,10.0,5.0,1.0,8.0,3.0,0.0,11.0,34.0,2.0
org.apache.log4j.Hierarchy,8.0,12.0,4.0,0.0,0.0,2.0,0.0,15.0,47.0,3.0
org.apache.log4j.helpers.ISO8601DateFormat,0.0,4.0,0.0,0.0,2.0,3.0,0.0,5.0,12.0,0.0
org.apache.log4j.net.JMSAppender,12.0,12.0,7.0,12.0,6.0,3.0,0.0,20.0,41.0,2.0
org.apache.log4j.net.JMSSink,1.0,5.0,2.0,0.0,0.0,2.0,0.0,27.0,34.0,3.0
org.apache.log4j.Layout,8.0,10.0,2.0,0.0,0.0,2.0,5.0,5.0,13.0,0.0
org.apache.log4j.helpers.Loader,3.0,4.0,0.0,0.0,0.0,2.0,0.0,9.0,15.0,1.0
org.apache.log4j.spi.LocationInfo,4.0,7.0,10.0,0.0,0.0,2.0,0.0,11.0,23.0,0.0
org.apache.log4j.helpers.LogLog,7.0,9.0,5.0,0.0,0.0,2.0,0.0,8.0,18.0,0.0
org.apache.log4j.spi.LoggingEvent,5.0,9.0,13.0,0.0,0.0,2.0,0.0,16.0,30.0,4.0
org.apache.log4j.or.MessageRenderer,1.0,2.0,0.0,0.0,0.0,2.0,0.0,7.0,22.0,0.0
org.apache.log4j.NDC,9.0,12.0,3.0,0.0,0.0,2.0,0.0,10.0,42.0,2.0
org.apache.log4j.nt.NTEventLogAppender,14.0,16.0,6.0,14.0,4.0,3.0,0.0,11.0,33.0,1.0
org.apache.log4j.helpers.NullEnumeration,3.0,5.0,1.0,0.0,0.0,2.0,0.0,4.0,8.0,0.0
org.apache.log4j.helpers.OnlyOnceErrorHandler,5.0,6.0,3.0,0.0,0.0,2.0,0.0,4.0,9.0,0.0
org.apache.log4j.helpers.OptionConverter,10.0,13.0,6.0,0.0,0.0,2.0,0.0,20.0,59.0,3.0
org.apache.log4j.helpers.PatternConverter,2.0,6.0,5.0,0.0,0.0,2.0,0.0,5.0,12.0,0.0
org.apache.log4j.PatternLayout,4.0,9.0,8.0,4.0,5.0,3.0,0.0,6.0,21.0,1.0
org.apache.log4j.helpers.PatternParser,1.0,8.0,26.0,0.0,0.0,2.0,0.0,28.0,48.0,0.0
org.apache.log4j.Priority,8.0,10.0,13.0,0.0,0.0,2.0,0.0,3.0,15.0,5.0
org.apache.log4j.PropertyConfigurator,17.0,19.0,12.0,12.0,1.0,3.0,0.0,29.0,95.0,6.0
org.apache.log4j.ProvisionNode,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0
org.apache.log4j.helpers.QuietWriter,3.0,4.0,1.0,0.0,0.0,2.0,2.0,7.0,13.0,0.0
org.apache.log4j.helpers.RelativeTimeDateFormat,2.0,3.0,1.0,0.0,0.0,2.0,0.0,5.0,7.0,0.0
org.apache.log4j.or.RendererMap,6.0,9.0,2.0,0.0,0.0,2.0,0.0,6.0,21.0,0.0
org.apache.log4j.RollingFileAppender,16.0,13.0,4.0,21.0,5.0,4.0,1.0,12.0,43.0,1.0
org.apache.log4j.spi.RootCategory,40.0,5.0,0.0,46.0,2.0,3.0,0.0,4.0,9.0,0.0
org.apache.log4j.net.SMTPAppender,12.0,16.0,18.0,12.0,6.0,3.0,0.0,31.0,73.0,3.0
org.apache.log4j.SimpleLayout,3.0,6.0,1.0,4.0,5.0,3.0,0.0,6.0,12.0,0.0
org.apache.log4j.net.SimpleSocketServer,1.0,6.0,3.0,0.0,0.0,2.0,0.0,18.0,34.0,1.0
org.apache.log4j.net.SocketAppender,13.0,18.0,13.0,12.0,6.0,3.0,0.0,15.0,54.0,1.0
org.apache.log4j.net.SocketNode,1.0,4.0,5.0,0.0,0.0,2.0,0.0,17.0,25.0,3.0
org.apache.log4j.net.SocketServer,1.0,8.0,9.0,0.0,0.0,2.0,0.0,26.0,56.0,1.0
org.apache.log4j.net.SyslogAppender,14.0,15.0,31.0,12.0,6.0,3.0,0.0,15.0,44.0,1.0
org.apache.log4j.helpers.SyslogQuietWriter,4.0,4.0,2.0,2.0,1.0,3.0,0.0,3.0,10.0,0.0
org.apache.log4j.helpers.SyslogWriter,4.0,5.0,4.0,0.0,0.0,2.0,0.0,12.0,19.0,0.0
org.apache.log4j.or.ThreadGroupRenderer,1.0,2.0,0.0,0.0,0.0,2.0,0.0,7.0,16.0,0.0
