address,PIM,WMC,WAC,NMI,NMO,DIT,NOC,CBO,RFC,bug
org.apache.lucene.analysis.Analyzer,2.0,3.0,0.0,0.0,0.0,2.0,6.0,2.0,4.0,0.0
org.apache.lucene.util.BitVector,6.0,9.0,4.0,0.0,0.0,2.0,0.0,6.0,20.0,2.0
org.apache.lucene.search.BooleanClause,9.0,10.0,2.0,0.0,0.0,2.0,0.0,6.0,18.0,1.0
org.apache.lucene.search.BooleanQuery,18.0,22.0,5.0,6.0,6.0,3.0,0.0,16.0,64.0,4.0
org.apache.lucene.search.BooleanScorer,2.0,11.0,9.0,1.0,7.0,3.0,0.0,13.0,31.0,1.0
org.apache.lucene.search.BooleanScorer2,2.0,20.0,7.0,1.0,7.0,3.0,0.0,19.0,62.0,4.0
org.apache.lucene.store.BufferedIndexInput,8.0,9.0,5.0,8.0,5.0,3.0,2.0,4.0,19.0,3.0
org.apache.lucene.store.BufferedIndexOutput,6.0,9.0,4.0,6.0,7.0,3.0,2.0,4.0,13.0,2.0
org.apache.lucene.search.CachingWrapperFilter,3.0,5.0,2.0,0.0,1.0,3.0,0.0,8.0,16.0,3.0
org.apache.lucene.analysis.standard.CharStream,10.0,10.0,0.0,0.0,0.0,,,,,0.0
org.apache.lucene.queryParser.CharStream,10.0,10.0,0.0,0.0,0.0,,,,,0.0
org.apache.lucene.analysis.CharTokenizer,0.0,4.0,7.0,1.0,1.0,4.0,2.0,6.0,10.0,0.0
org.apache.lucene.index.CompoundFileReader,2.0,14.0,4.0,0.0,11.0,3.0,0.0,13.0,38.0,1.0
org.apache.lucene.index.CompoundFileWriter,4.0,6.0,5.0,0.0,0.0,2.0,0.0,16.0,40.0,1.0
org.apache.lucene.search.ConjunctionScorer,2.0,12.0,4.0,3.0,5.0,3.0,0.0,10.0,38.0,1.0
org.apache.lucene.search.ConstantScoreQuery,10.0,7.0,1.0,8.0,4.0,3.0,0.0,8.0,18.0,1.0
org.apache.lucene.search.ConstantScoreRangeQuery,16.0,10.0,5.0,10.0,2.0,3.0,0.0,8.0,25.0,0.0
org.apache.lucene.util.Constants,0.0,2.0,8.0,0.0,0.0,2.0,0.0,4.0,5.0,0.0
org.apache.lucene.document.DateField,6.0,8.0,1.0,0.0,0.0,2.0,0.0,8.0,27.0,0.0
org.apache.lucene.document.DateTools,6.0,8.0,1.0,0.0,0.0,2.0,0.0,11.0,32.0,0.0
org.apache.lucene.search.DefaultSimilarity,8.0,7.0,0.0,9.0,6.0,3.0,0.0,3.0,10.0,0.0
org.apache.lucene.store.Directory,11.0,12.0,0.0,0.0,0.0,2.0,3.0,3.0,13.0,6.0
org.apache.lucene.search.DisjunctionMaxQuery,12.0,14.0,2.0,7.0,5.0,3.0,0.0,8.0,40.0,1.0
org.apache.lucene.search.DisjunctionMaxScorer,3.0,11.0,4.0,3.0,5.0,3.0,0.0,6.0,29.0,2.0
org.apache.lucene.search.DisjunctionSumScorer,3.0,10.0,7.0,3.0,5.0,3.0,0.0,9.0,37.0,1.0
org.apache.lucene.document.Document,13.0,14.0,2.0,0.0,0.0,2.0,0.0,14.0,35.0,1.0
org.apache.lucene.index.DocumentWriter,0.0,10.0,13.0,0.0,0.0,2.0,0.0,29.0,93.0,6.0
org.apache.lucene.search.ExactPhraseScorer,3.0,2.0,0.0,11.0,1.0,4.0,0.0,5.0,8.0,1.0
org.apache.lucene.search.Explanation,8.0,11.0,3.0,0.0,0.0,2.0,0.0,6.0,24.0,2.0
org.apache.lucene.store.FSDirectory,7.0,26.0,11.0,0.0,11.0,3.0,1.0,25.0,85.0,14.0
org.apache.lucene.store.FSIndexInput,6.0,8.0,3.0,10.0,5.0,4.0,0.0,5.0,20.0,0.0
org.apache.lucene.store.FSIndexOutput,6.0,6.0,1.0,10.0,4.0,4.0,0.0,4.0,14.0,0.0
org.apache.lucene.analysis.standard.FastCharStream,12.0,14.0,6.0,0.0,0.0,2.0,0.0,9.0,27.0,0.0
org.apache.lucene.queryParser.FastCharStream,12.0,14.0,6.0,0.0,0.0,2.0,0.0,9.0,27.0,0.0
org.apache.lucene.document.Field,17.0,23.0,12.0,0.0,0.0,2.0,0.0,12.0,37.0,1.0
org.apache.lucene.search.FieldCache,8.0,9.0,2.0,0.0,0.0,,,,,0.0
org.apache.lucene.search.FieldCacheImpl,8.0,14.0,3.0,0.0,0.0,2.0,0.0,30.0,60.0,2.0
org.apache.lucene.search.FieldDoc,0.0,2.0,1.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0
org.apache.lucene.search.FieldDocSortedHitQueue,7.0,5.0,2.0,8.0,1.0,3.0,0.0,11.0,22.0,0.0
org.apache.lucene.index.FieldInfo,0.0,1.0,7.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0
org.apache.lucene.index.FieldInfos,15.0,19.0,7.0,0.0,0.0,2.0,0.0,17.0,60.0,1.0
org.apache.lucene.search.FieldSortedHitQueue,8.0,16.0,4.0,7.0,2.0,3.0,0.0,28.0,64.0,2.0
org.apache.lucene.index.FieldsReader,0.0,5.0,4.0,0.0,0.0,2.0,0.0,17.0,37.0,9.0
org.apache.lucene.index.FieldsWriter,0.0,4.0,6.0,0.0,0.0,2.0,0.0,13.0,39.0,2.0
org.apache.lucene.search.Filter,1.0,2.0,0.0,0.0,0.0,2.0,3.0,4.0,3.0,0.0
org.apache.lucene.index.FilterIndexReader,25.0,24.0,1.0,30.0,23.0,3.0,0.0,7.0,49.0,4.0
org.apache.lucene.search.FilteredQuery,12.0,9.0,2.0,8.0,4.0,3.0,0.0,7.0,26.0,4.0
org.apache.lucene.search.FilteredTermEnum,2.0,9.0,2.0,1.0,4.0,3.0,2.0,3.0,17.0,0.0
org.apache.lucene.search.FuzzyQuery,12.0,10.0,4.0,11.0,5.0,4.0,0.0,17.0,44.0,1.0
org.apache.lucene.search.FuzzyTermEnum,1.0,14.0,11.0,5.0,4.0,4.0,0.0,9.0,37.0,0.0
org.apache.lucene.search.Hit,6.0,8.0,4.0,0.0,0.0,2.0,0.0,7.0,21.0,1.0
org.apache.lucene.search.HitCollector,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0
org.apache.lucene.search.HitDoc,0.0,1.0,5.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0
org.apache.lucene.search.HitIterator,4.0,5.0,2.0,0.0,0.0,2.0,0.0,7.0,10.0,0.0
org.apache.lucene.search.HitQueue,7.0,2.0,0.0,8.0,1.0,3.0,0.0,3.0,4.0,0.0
org.apache.lucene.search.Hits,5.0,11.0,10.0,0.0,0.0,2.0,0.0,12.0,32.0,1.0
org.apache.lucene.analysis.ISOLatin1AccentFilter,1.0,3.0,0.0,1.0,1.0,4.0,0.0,7.0,17.0,1.0
org.apache.lucene.index.IndexFileNameFilter,1.0,2.0,0.0,0.0,0.0,2.0,0.0,6.0,9.0,0.0
org.apache.lucene.index.IndexFileNames,0.0,2.0,5.0,0.0,0.0,2.0,0.0,3.0,3.0,2.0
org.apache.lucene.store.IndexInput,13.0,14.0,1.0,0.0,0.0,2.0,1.0,6.0,21.0,0.0
org.apache.lucene.index.IndexModifier,19.0,26.0,10.0,0.0,0.0,2.0,0.0,8.0,60.0,2.0
org.apache.lucene.store.IndexOutput,13.0,14.0,0.0,0.0,0.0,2.0,1.0,4.0,21.0,1.0
org.apache.lucene.index.IndexReader,43.0,57.0,7.0,0.0,0.0,2.0,4.0,23.0,127.0,11.0
org.apache.lucene.search.IndexSearcher,13.0,14.0,2.0,13.0,9.0,3.0,0.0,13.0,34.0,2.0
org.apache.lucene.index.IndexWriter,29.0,48.0,25.0,0.0,0.0,2.0,0.0,28.0,133.0,22.0
org.apache.lucene.analysis.KeywordAnalyzer,1.0,2.0,0.0,1.0,1.0,3.0,0.0,3.0,4.0,0.0
org.apache.lucene.analysis.KeywordTokenizer,0.0,3.0,3.0,1.0,1.0,4.0,0.0,7.0,11.0,0.0
org.apache.lucene.analysis.LengthFilter,0.0,2.0,2.0,1.0,1.0,4.0,0.0,6.0,6.0,0.0
org.apache.lucene.analysis.LetterTokenizer,0.0,2.0,0.0,3.0,1.0,5.0,1.0,3.0,4.0,0.0
org.apache.lucene.store.Lock,4.0,6.0,1.0,0.0,0.0,2.0,0.0,7.0,15.0,2.0
org.apache.lucene.analysis.LowerCaseFilter,0.0,2.0,0.0,1.0,1.0,4.0,0.0,6.0,5.0,0.0
org.apache.lucene.analysis.LowerCaseTokenizer,0.0,2.0,0.0,3.0,1.0,6.0,0.0,3.0,4.0,0.0
org.apache.lucene.LucenePackage,1.0,3.0,1.0,0.0,0.0,2.0,0.0,5.0,9.0,0.0
org.apache.lucene.store.MMapDirectory,7.0,2.0,1.0,21.0,1.0,4.0,0.0,8.0,10.0,0.0
org.apache.lucene.search.MatchAllDocsQuery,11.0,6.0,0.0,9.0,3.0,3.0,0.0,7.0,14.0,1.0
org.apache.lucene.queryParser.MultiFieldQueryParser,32.0,10.0,1.0,33.0,6.0,3.0,0.0,10.0,28.0,1.0
org.apache.lucene.search.MultiPhraseQuery,17.0,17.0,4.0,8.0,4.0,3.0,0.0,21.0,57.0,1.0
org.apache.lucene.index.MultiReader,27.0,26.0,7.0,32.0,21.0,3.0,0.0,13.0,61.0,9.0
org.apache.lucene.search.MultiSearcher,15.0,15.0,3.0,12.0,10.0,3.0,1.0,18.0,53.0,3.0
org.apache.lucene.search.MultiSearcherThread,4.0,6.0,10.0,0.0,0.0,2.0,0.0,9.0,12.0,0.0
org.apache.lucene.index.MultiTermDocs,8.0,11.0,7.0,0.0,0.0,2.0,1.0,6.0,25.0,0.0
org.apache.lucene.index.MultiTermEnum,1.0,5.0,3.0,1.0,4.0,3.0,0.0,7.0,21.0,0.0
org.apache.lucene.index.MultiTermPositions,9.0,3.0,0.0,8.0,1.0,3.0,0.0,5.0,6.0,0.0
org.apache.lucene.search.MultiTermQuery,12.0,7.0,1.0,10.0,2.0,3.0,2.0,13.0,28.0,0.0
org.apache.lucene.index.MultipleTermPositions,9.0,10.0,4.0,0.0,0.0,2.0,0.0,11.0,34.0,2.0
org.apache.lucene.search.spans.NearSpans,6.0,22.0,11.0,0.0,0.0,2.0,0.0,12.0,67.0,1.0
org.apache.lucene.search.NonMatchingScorer,2.0,6.0,0.0,3.0,5.0,3.0,0.0,5.0,10.0,0.0
org.apache.lucene.document.NumberTools,2.0,4.0,6.0,0.0,0.0,2.0,0.0,7.0,18.0,0.0
org.apache.lucene.search.ParallelMultiSearcher,15.0,6.0,2.0,21.0,5.0,4.0,0.0,14.0,33.0,0.0
org.apache.lucene.index.ParallelReader,27.0,27.0,6.0,30.0,23.0,3.0,0.0,26.0,81.0,6.0
org.apache.lucene.util.Parameter,1.0,6.0,2.0,0.0,0.0,2.0,0.0,9.0,19.0,0.0
org.apache.lucene.analysis.standard.ParseException,1.0,5.0,5.0,0.0,0.0,2.0,0.0,7.0,19.0,0.0
org.apache.lucene.queryParser.ParseException,1.0,5.0,5.0,0.0,0.0,2.0,0.0,7.0,19.0,0.0
org.apache.lucene.analysis.PerFieldAnalyzerWrapper,3.0,4.0,2.0,1.0,1.0,3.0,0.0,5.0,13.0,1.0
org.apache.lucene.search.PhrasePositions,0.0,5.0,6.0,0.0,0.0,2.0,0.0,4.0,13.0,1.0
org.apache.lucene.search.PhraseQuery,17.0,15.0,4.0,9.0,3.0,3.0,0.0,15.0,44.0,0.0
org.apache.lucene.search.PhraseQueue,7.0,2.0,0.0,8.0,1.0,3.0,0.0,3.0,4.0,1.0
org.apache.lucene.search.PhraseScorer,3.0,13.0,9.0,3.0,5.0,3.0,2.0,9.0,42.0,1.0
org.apache.lucene.analysis.PorterStemFilter,0.0,2.0,1.0,1.0,1.0,4.0,0.0,6.0,6.0,0.0
org.apache.lucene.analysis.PorterStemmer,12.0,27.0,8.0,0.0,0.0,2.0,0.0,10.0,65.0,0.0
org.apache.lucene.index.Posting,0.0,1.0,4.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0
org.apache.lucene.search.PrefixQuery,12.0,6.0,1.0,10.0,2.0,3.0,0.0,14.0,28.0,0.0
org.apache.lucene.util.PriorityQueue,7.0,12.0,3.0,0.0,0.0,2.0,5.0,2.0,19.0,0.0
org.apache.lucene.search.Query,11.0,13.0,1.0,0.0,0.0,2.0,13.0,17.0,42.0,0.0
org.apache.lucene.search.QueryFilter,3.0,5.0,2.0,0.0,1.0,3.0,0.0,10.0,20.0,2.0
org.apache.lucene.queryParser.QueryParser,29.0,52.0,37.0,0.0,0.0,2.0,1.0,48.0,158.0,7.0
org.apache.lucene.queryParser.QueryParserConstants,0.0,1.0,36.0,0.0,0.0,,,,,1.0
org.apache.lucene.queryParser.QueryParserTokenManager,5.0,36.0,19.0,0.0,0.0,2.0,0.0,10.0,80.0,4.0
org.apache.lucene.search.QueryTermVector,7.0,10.0,2.0,0.0,0.0,2.0,0.0,18.0,39.0,0.0
org.apache.lucene.store.RAMDirectory,0.0,16.0,1.0,0.0,11.0,3.0,0.0,16.0,43.0,12.0
org.apache.lucene.store.RAMFile,0.0,1.0,3.0,0.0,0.0,2.0,0.0,4.0,4.0,1.0
org.apache.lucene.store.RAMInputStream,6.0,5.0,3.0,11.0,4.0,4.0,0.0,7.0,8.0,2.0
org.apache.lucene.store.RAMOutputStream,8.0,8.0,2.0,10.0,4.0,4.0,0.0,9.0,23.0,4.0
