address,PIM,WMC,DIT,NOC,CBO,RFC,bug
apache.lucene.analysis.Analyzer,2.0,3.0,2.0,6.0,2.0,4.0,0.0
apache.lucene.util.BitVector,6.0,9.0,2.0,0.0,6.0,20.0,2.0
apache.lucene.search.BooleanClause,9.0,10.0,2.0,0.0,6.0,18.0,1.0
apache.lucene.search.BooleanQuery,18.0,22.0,3.0,0.0,16.0,64.0,4.0
apache.lucene.search.BooleanScorer,2.0,11.0,3.0,0.0,13.0,31.0,1.0
apache.lucene.search.BooleanScorer2,2.0,20.0,3.0,0.0,19.0,62.0,4.0
apache.lucene.store.BufferedIndexInput,8.0,9.0,3.0,2.0,4.0,19.0,3.0
apache.lucene.store.BufferedIndexOutput,6.0,9.0,3.0,2.0,4.0,13.0,2.0
apache.lucene.search.CachingWrapperFilter,3.0,5.0,3.0,0.0,8.0,16.0,3.0
apache.lucene.analysis.CharTokenizer,0.0,4.0,4.0,2.0,6.0,10.0,0.0
apache.lucene.index.CompoundFileReader,2.0,14.0,3.0,0.0,13.0,38.0,1.0
apache.lucene.index.CompoundFileWriter,4.0,6.0,2.0,0.0,16.0,40.0,1.0
apache.lucene.search.ConjunctionScorer,2.0,12.0,3.0,0.0,10.0,38.0,1.0
apache.lucene.search.ConstantScoreQuery,10.0,7.0,3.0,0.0,8.0,18.0,1.0
apache.lucene.search.ConstantScoreRangeQuery,16.0,10.0,3.0,0.0,8.0,25.0,0.0
apache.lucene.util.Constants,0.0,2.0,2.0,0.0,4.0,5.0,0.0
apache.lucene.document.DateField,6.0,8.0,2.0,0.0,8.0,27.0,0.0
apache.lucene.document.DateTools,6.0,8.0,2.0,0.0,11.0,32.0,0.0
apache.lucene.search.DefaultSimilarity,8.0,7.0,3.0,0.0,3.0,10.0,0.0
apache.lucene.store.Directory,11.0,12.0,2.0,3.0,3.0,13.0,6.0
apache.lucene.search.DisjunctionMaxQuery,12.0,14.0,3.0,0.0,8.0,40.0,1.0
apache.lucene.search.DisjunctionMaxScorer,3.0,11.0,3.0,0.0,6.0,29.0,2.0
apache.lucene.search.DisjunctionSumScorer,3.0,10.0,3.0,0.0,9.0,37.0,1.0
apache.lucene.document.Document,13.0,14.0,2.0,0.0,14.0,35.0,1.0
apache.lucene.index.DocumentWriter,0.0,10.0,2.0,0.0,29.0,93.0,6.0
apache.lucene.search.ExactPhraseScorer,3.0,2.0,4.0,0.0,5.0,8.0,1.0
apache.lucene.search.Explanation,8.0,11.0,2.0,0.0,6.0,24.0,2.0
apache.lucene.store.FSDirectory,7.0,26.0,3.0,1.0,25.0,85.0,14.0
apache.lucene.store.FSIndexInput,6.0,8.0,4.0,0.0,5.0,20.0,0.0
apache.lucene.store.FSIndexOutput,6.0,6.0,4.0,0.0,4.0,14.0,0.0
