address,PIM,WMC,WAC,NMI,NMO,DIT,NOC,CBO,RFC,bug
org.apache.velocity.runtime.parser.node.ASTAddNode,25.0,4.0,0.0,25.0,2.0,3.0,0.0,9.0,21.0,1.0
org.apache.velocity.runtime.parser.node.ASTAndNode,24.0,5.0,0.0,24.0,3.0,3.0,0.0,9.0,20.0,1.0
org.apache.velocity.runtime.parser.node.ASTAssignment,26.0,3.0,0.0,26.0,1.0,3.0,0.0,3.0,6.0,1.0
org.apache.velocity.runtime.parser.node.ASTBlock,25.0,4.0,0.0,25.0,2.0,3.0,0.0,8.0,10.0,1.0
org.apache.velocity.runtime.parser.node.ASTComment,24.0,6.0,2.0,24.0,3.0,3.0,0.0,11.0,14.0,2.0
org.apache.velocity.runtime.parser.node.ASTDirective,26.0,7.0,3.0,24.0,3.0,3.0,0.0,15.0,25.0,3.0
org.apache.velocity.runtime.parser.node.ASTDivNode,25.0,4.0,0.0,25.0,2.0,3.0,0.0,9.0,22.0,1.0
org.apache.velocity.runtime.parser.node.ASTEQNode,24.0,5.0,0.0,24.0,3.0,3.0,0.0,10.0,24.0,1.0
org.apache.velocity.runtime.parser.node.ASTElseIfStatement,24.0,5.0,0.0,24.0,3.0,3.0,0.0,8.0,11.0,1.0
org.apache.velocity.runtime.parser.node.ASTElseStatement,25.0,4.0,0.0,25.0,2.0,3.0,0.0,3.0,7.0,1.0
org.apache.velocity.runtime.parser.node.ASTEscape,24.0,5.0,2.0,24.0,3.0,3.0,0.0,7.0,10.0,2.0
org.apache.velocity.runtime.parser.node.ASTEscapedDirective,25.0,4.0,0.0,25.0,2.0,3.0,0.0,6.0,9.0,1.0
org.apache.velocity.runtime.parser.node.ASTExpression,24.0,5.0,0.0,24.0,3.0,3.0,0.0,5.0,11.0,1.0
org.apache.velocity.runtime.parser.node.ASTFalse,24.0,6.0,1.0,24.0,3.0,3.0,0.0,4.0,9.0,1.0
