address,PIM,WMC,DIT,NOC,CBO,RFC,bug
apache.velocity.context.AbstractContext,21.0,13.0,3.0,1.0,5.0,22.0,1.0
apache.velocity.anakia.AnakiaElement,7.0,12.0,2.0,0.0,6.0,27.0,1.0
apache.velocity.anakia.AnakiaJDOMFactory,4.0,5.0,2.0,0.0,3.0,10.0,1.0
apache.velocity.anakia.AnakiaTask,9.0,13.0,2.0,0.0,37.0,79.0,1.0
apache.velocity.test.AnakiaTestCase,2.0,3.0,3.0,0.0,6.0,9.0,0.0
apache.velocity.runtime.log.AvalonLogSystem,3.0,4.0,2.0,0.0,16.0,26.0,1.0
apache.velocity.test.BaseTestCase,0.0,6.0,2.0,17.0,11.0,28.0,0.0
apache.velocity.runtime.visitor.BaseVisitor,37.0,38.0,2.0,2.0,4.0,40.0,1.0
apache.velocity.test.provider.BoolObj,2.0,3.0,2.0,0.0,2.0,4.0,0.0
apache.velocity.test.provider.Child,0.0,2.0,3.0,0.0,2.0,3.0,0.0
apache.velocity.util.introspection.ClassMap,2.0,12.0,2.0,0.0,22.0,46.0,2.0
apache.velocity.test.ClassloaderChangeTest,4.0,6.0,2.0,0.0,16.0,27.0,0.0
apache.velocity.test.ClasspathResourceTest,2.0,3.0,3.0,0.0,15.0,24.0,0.0
apache.velocity.test.CommonsExtPropTestCase,2.0,6.0,3.0,0.0,22.0,55.0,0.0
apache.velocity.runtime.compiler.Compiler,1.0,2.0,2.0,0.0,26.0,41.0,0.0
apache.velocity.runtime.configuration.Configuration,47.0,53.0,2.0,0.0,31.0,163.0,0.0
apache.velocity.test.ConfigurationTestCase,2.0,6.0,3.0,0.0,22.0,55.0,0.0
apache.velocity.runtime.resource.ContentResource,15.0,2.0,3.0,0.0,11.0,17.0,1.0
apache.velocity.test.ContextSafetyTestCase,2.0,3.0,3.0,0.0,19.0,27.0,0.0
apache.velocity.runtime.directive.Directive,7.0,8.0,2.0,5.0,9.0,9.0,2.0
apache.velocity.test.EncodingTestCase,2.0,3.0,3.0,0.0,15.0,23.0,0.0
apache.velocity.anakia.Escape,1.0,2.0,2.0,0.0,4.0,8.0,1.0
apache.velocity.app.event.EventCartridge,6.0,7.0,2.0,0.0,7.0,12.0,2.0
apache.velocity.test.EventHandlingTestCase,8.0,10.0,2.0,0.0,19.0,32.0,0.0
apache.velocity.test.ExternalLoggerTest,4.0,5.0,2.0,0.0,10.0,19.0,0.0
apache.velocity.app.FieldMethodizer,3.0,7.0,2.0,0.0,9.0,23.0,1.0
apache.velocity.texen.util.FileUtil,3.0,4.0,2.0,0.0,6.0,12.0,1.0
apache.velocity.runtime.directive.Foreach,3.0,5.0,3.0,0.0,19.0,27.0,4.0
apache.velocity.texen.Generator,15.0,25.0,2.0,0.0,31.0,87.0,1.0
apache.velocity.runtime.directive.Include,3.0,7.0,4.0,0.0,16.0,31.0,2.0
