address,PIM,WMC,WAC,NMI,NMO,DIT,NOC,CBO,RFC,bug
org.apache.velocity.runtime.parser.node.ASTAddNode,26.0,4.0,0.0,26.0,2.0,3.0,0.0,13.0,22.0,1.0
org.apache.velocity.runtime.parser.node.ASTAndNode,25.0,5.0,0.0,25.0,3.0,3.0,0.0,9.0,20.0,0.0
org.apache.velocity.runtime.parser.node.ASTAssignment,27.0,3.0,0.0,27.0,1.0,3.0,0.0,3.0,6.0,0.0
org.apache.velocity.runtime.parser.node.ASTBlock,26.0,4.0,0.0,26.0,2.0,3.0,0.0,8.0,10.0,0.0
org.apache.velocity.runtime.parser.node.ASTComment,25.0,6.0,2.0,25.0,3.0,3.0,0.0,11.0,15.0,0.0
org.apache.velocity.runtime.parser.node.ASTDirective,26.0,8.0,3.0,24.0,4.0,3.0,0.0,21.0,43.0,6.0
org.apache.velocity.runtime.parser.node.ASTDivNode,26.0,4.0,0.0,26.0,2.0,3.0,0.0,11.0,21.0,1.0
org.apache.velocity.runtime.parser.node.ASTEQNode,25.0,5.0,0.0,25.0,3.0,3.0,0.0,15.0,27.0,2.0
org.apache.velocity.runtime.parser.node.ASTElseIfStatement,25.0,5.0,0.0,25.0,3.0,3.0,0.0,8.0,11.0,0.0
org.apache.velocity.runtime.parser.node.ASTElseStatement,26.0,4.0,0.0,26.0,2.0,3.0,0.0,3.0,7.0,0.0
org.apache.velocity.runtime.parser.node.ASTEscape,25.0,5.0,2.0,25.0,3.0,3.0,0.0,7.0,11.0,0.0
org.apache.velocity.runtime.parser.node.ASTEscapedDirective,26.0,4.0,0.0,26.0,2.0,3.0,0.0,7.0,10.0,0.0
org.apache.velocity.runtime.parser.node.ASTExpression,25.0,5.0,0.0,25.0,3.0,3.0,0.0,5.0,11.0,0.0
org.apache.velocity.runtime.parser.node.ASTFalse,25.0,6.0,1.0,25.0,3.0,3.0,0.0,4.0,9.0,0.0
org.apache.velocity.runtime.parser.node.ASTFloatingPointLiteral,25.0,5.0,1.0,25.0,3.0,3.0,0.0,8.0,12.0,1.0
org.apache.velocity.runtime.parser.node.ASTGENode,25.0,5.0,0.0,25.0,3.0,3.0,0.0,12.0,22.0,1.0
org.apache.velocity.runtime.parser.node.ASTGTNode,25.0,5.0,0.0,25.0,3.0,3.0,0.0,12.0,22.0,1.0
org.apache.velocity.runtime.parser.node.ASTIdentifier,25.0,5.0,2.0,25.0,3.0,3.0,0.0,21.0,33.0,3.0
org.apache.velocity.runtime.parser.node.ASTIfStatement,27.0,5.0,0.0,26.0,2.0,3.0,0.0,8.0,12.0,0.0
org.apache.velocity.runtime.parser.node.ASTIncludeStatement,27.0,3.0,0.0,27.0,1.0,3.0,0.0,3.0,6.0,0.0
org.apache.velocity.runtime.parser.node.ASTIntegerLiteral,25.0,5.0,1.0,25.0,3.0,3.0,0.0,9.0,13.0,1.0
org.apache.velocity.runtime.parser.node.ASTIntegerRange,26.0,4.0,0.0,26.0,2.0,3.0,0.0,12.0,22.0,1.0
org.apache.velocity.runtime.parser.node.ASTLENode,25.0,5.0,0.0,25.0,3.0,3.0,0.0,12.0,22.0,1.0
org.apache.velocity.runtime.parser.node.ASTLTNode,25.0,5.0,0.0,25.0,3.0,3.0,0.0,12.0,22.0,1.0
org.apache.velocity.runtime.parser.node.ASTMap,26.0,4.0,0.0,26.0,2.0,3.0,0.0,6.0,12.0,1.0
org.apache.velocity.runtime.parser.node.ASTMethod,26.0,6.0,3.0,25.0,3.0,3.0,0.0,25.0,37.0,5.0
org.apache.velocity.runtime.parser.node.ASTModNode,26.0,4.0,0.0,26.0,2.0,3.0,0.0,11.0,21.0,1.0
org.apache.velocity.runtime.parser.node.ASTMulNode,26.0,4.0,0.0,26.0,2.0,3.0,0.0,11.0,20.0,1.0
org.apache.velocity.runtime.parser.node.ASTNENode,25.0,5.0,0.0,25.0,3.0,3.0,0.0,15.0,27.0,2.0
org.apache.velocity.runtime.parser.node.ASTNotNode,25.0,5.0,0.0,25.0,3.0,3.0,0.0,6.0,10.0,0.0
org.apache.velocity.runtime.parser.node.ASTObjectArray,26.0,4.0,0.0,26.0,2.0,3.0,0.0,7.0,12.0,1.0
org.apache.velocity.runtime.parser.node.ASTOrNode,25.0,5.0,0.0,25.0,3.0,3.0,0.0,6.0,12.0,0.0
org.apache.velocity.runtime.parser.node.ASTParameters,27.0,3.0,0.0,27.0,1.0,3.0,0.0,3.0,6.0,0.0
org.apache.velocity.runtime.parser.node.ASTReference,25.0,14.0,16.0,21.0,7.0,3.0,0.0,26.0,70.0,8.0
org.apache.velocity.runtime.parser.node.ASTSetDirective,25.0,7.0,5.0,25.0,3.0,3.0,0.0,17.0,37.0,5.0
org.apache.velocity.runtime.parser.node.ASTStop,26.0,4.0,0.0,26.0,2.0,3.0,0.0,8.0,8.0,1.0
org.apache.velocity.runtime.parser.node.ASTStringLiteral,25.0,5.0,5.0,25.0,3.0,3.0,0.0,19.0,30.0,7.0
org.apache.velocity.runtime.parser.node.ASTSubtractNode,26.0,4.0,0.0,26.0,2.0,3.0,0.0,11.0,20.0,1.0
org.apache.velocity.runtime.parser.node.ASTText,25.0,5.0,1.0,25.0,3.0,3.0,0.0,9.0,13.0,0.0
org.apache.velocity.runtime.parser.node.ASTTrue,25.0,6.0,1.0,25.0,3.0,3.0,0.0,4.0,9.0,0.0
