address,PIM,WMC,WAC,NMI,NMO,DIT,NOC,CBO,RFC,bug
org.apache.xalan.templates.AVT,13.0,14.0,5.0,0.0,0.0,2.0,0.0,18.0,44.0,0.0
org.apache.xalan.templates.AVTPart,6.0,7.0,0.0,0.0,0.0,2.0,2.0,5.0,8.0,0.0
org.apache.xalan.templates.AVTPartSimple,2.0,5.0,1.0,2.0,4.0,3.0,0.0,3.0,7.0,0.0
org.apache.xalan.templates.AVTPartXPath,1.0,7.0,1.0,1.0,5.0,3.0,0.0,8.0,20.0,0.0
org.apache.xalan.templates.AbsPathChecker,11.0,4.0,1.0,10.0,2.0,3.0,0.0,5.0,6.0,0.0
org.apache.xpath.operations.And,30.0,3.0,0.0,35.0,2.0,4.0,0.0,6.0,7.0,0.0
org.apache.xpath.Arg,11.0,15.0,5.0,0.0,0.0,2.0,0.0,4.0,21.0,0.0
org.apache.xml.utils.AttList,12.0,13.0,3.0,0.0,0.0,2.0,0.0,8.0,27.0,0.0
org.apache.xpath.axes.AttributeIterator,41.0,3.0,0.0,46.0,2.0,5.0,0.0,5.0,6.0,0.0
org.apache.xpath.axes.AxesWalker,22.0,27.0,8.0,0.0,0.0,2.0,2.0,18.0,64.0,1.0
org.apache.xpath.axes.BasicTestIterator,43.0,7.0,0.0,45.0,2.0,3.0,2.0,11.0,24.0,0.0
org.apache.xpath.operations.Bool,28.0,3.0,0.0,34.0,2.0,4.0,0.0,6.0,7.0,0.0
org.apache.xml.utils.BoolStack,10.0,13.0,3.0,0.0,0.0,2.0,0.0,5.0,18.0,0.0
org.apache.xpath.CachedXPathAPI,10.0,12.0,1.0,0.0,0.0,2.0,0.0,10.0,27.0,0.0
org.apache.xalan.serialize.CharInfo,2.0,6.0,10.0,0.0,0.0,2.0,0.0,20.0,41.0,0.0
org.apache.xml.utils.CharKey,3.0,5.0,1.0,0.0,0.0,2.0,0.0,2.0,6.0,0.0
org.apache.xpath.axes.ChildIterator,42.0,4.0,0.0,44.0,3.0,3.0,0.0,6.0,9.0,0.0
org.apache.xpath.axes.ChildTestIterator,41.0,6.0,1.0,44.0,4.0,4.0,5.0,7.0,13.0,1.0
org.apache.xml.dtm.ref.ChunkedIntArray,0.0,9.0,7.0,0.0,0.0,2.0,0.0,9.0,23.0,0.0
org.apache.xalan.transformer.ClonerToResultTree,1.0,2.0,2.0,0.0,0.0,2.0,0.0,8.0,24.0,0.0
org.apache.xpath.objects.Comparator,0.0,3.0,0.0,0.0,0.0,2.0,6.0,2.0,4.0,0.0
org.apache.xpath.compiler.Compiler,30.0,45.0,5.0,19.0,1.0,3.0,0.0,49.0,149.0,1.0
org.apache.xalan.lib.sql.ConnectionPoolManager,4.0,6.0,2.0,0.0,0.0,2.0,0.0,6.0,18.0,0.0
org.apache.xalan.templates.Constants,0.0,1.0,349.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0
org.apache.xml.utils.Context2,0.0,12.0,10.0,0.0,0.0,2.0,0.0,6.0,28.0,0.0
org.apache.xpath.patterns.ContextMatchStepPattern,24.0,3.0,0.0,26.0,1.0,3.0,0.0,8.0,17.0,0.0
org.apache.xml.dtm.ref.CoroutineManager,5.0,6.0,6.0,0.0,0.0,2.0,0.0,7.0,18.0,0.0
org.apache.xalan.transformer.Counter,0.0,3.0,6.0,0.0,0.0,2.0,0.0,6.0,8.0,0.0
org.apache.xalan.transformer.CountersTable,1.0,5.0,2.0,0.0,0.0,2.0,0.0,8.0,26.0,0.0
org.apache.xml.dtm.ref.CustomStringPool,1.0,4.0,2.0,1.0,3.0,3.0,0.0,7.0,15.0,0.0
org.apache.xml.dtm.ref.dom2dtm.DOM2DTM,45.0,38.0,11.0,68.0,28.0,5.0,0.0,30.0,127.0,1.0
org.apache.xml.dtm.ref.dom2dtm.DOM2DTMdefaultNamespaceDeclarationNode,31.0,32.0,6.0,0.0,0.0,2.0,0.0,6.0,38.0,0.0
org.apache.xpath.DOM2Helper,22.0,11.0,1.0,18.0,5.0,3.0,0.0,13.0,30.0,0.0
org.apache.xml.utils.DOMBuilder,25.0,30.0,5.0,0.0,0.0,2.0,0.0,15.0,66.0,0.0
org.apache.xpath.DOMHelper,22.0,26.0,9.0,0.0,0.0,2.0,1.0,25.0,92.0,0.0
org.apache.xml.dtm.ref.DTMAxisIteratorBase,13.0,16.0,6.0,0.0,0.0,2.0,0.0,5.0,24.0,0.0
org.apache.xml.dtm.DTMAxisTraverser,4.0,5.0,0.0,0.0,0.0,2.0,0.0,2.0,8.0,0.0
org.apache.xml.dtm.DTMConfigurationException,10.0,6.0,0.0,10.0,0.0,3.0,0.0,2.0,11.0,0.0
org.apache.xml.dtm.DTMDOMException,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0
org.apache.xml.dtm.ref.DTMDefaultBase,71.0,97.0,25.0,0.0,0.0,2.0,1.0,23.0,167.0,0.0
org.apache.xml.dtm.ref.DTMDefaultBaseIterators,68.0,3.0,0.0,94.0,2.0,4.0,3.0,35.0,31.0,0.0
