filename,npm,wmc,dit,noc,cbo,rfc,bug
apache.xalan.extensions.ExtensionsTable,5.0,6.0,2.0,0.0,11.0,22.0,1.0
apache.xalan.extensions.ExtensionHandlerGeneral,1.0,7.0,3.0,0.0,30.0,52.0,2.0
apache.xalan.extensions.ExtensionNamespaceSupport,2.0,3.0,2.0,0.0,7.0,12.0,0.0
apache.xalan.extensions.XSLProcessorContext,6.0,7.0,2.0,0.0,29.0,49.0,0.0
apache.xalan.extensions.ExtensionNamespacesManager,7.0,9.0,2.0,0.0,8.0,33.0,1.0
apache.xalan.extensions.ExtensionHandler,5.0,8.0,2.0,3.0,13.0,18.0,1.0
apache.xalan.extensions.ExtensionHandlerJavaPackage,3.0,6.0,4.0,0.0,23.0,45.0,1.0
apache.xalan.extensions.MethodResolver,5.0,13.0,2.0,0.0,31.0,78.0,0.0
apache.xalan.extensions.ExtensionHandlerExsltFunction,2.0,8.0,3.0,0.0,17.0,29.0,1.0
apache.xalan.extensions.ExtensionHandlerJava,7.0,3.0,3.0,2.0,3.0,7.0,1.0
apache.xalan.extensions.ExtensionHandlerJavaClass,3.0,6.0,4.0,0.0,21.0,38.0,1.0
apache.xalan.extensions.ExpressionVisitor,11.0,2.0,3.0,0.0,5.0,6.0,2.0
apache.xalan.lib.NodeInfo,8.0,9.0,2.0,0.0,7.0,20.0,0.0
apache.xalan.lib.ExsltDatetime,35.0,43.0,2.0,0.0,15.0,82.0,2.0
apache.xalan.lib.Extensions,9.0,12.0,2.0,0.0,32.0,65.0,1.0
apache.xalan.lib.ExsltMath,4.0,5.0,2.0,0.0,6.0,20.0,1.0
apache.xalan.lib.ExsltCommon,2.0,3.0,2.0,0.0,8.0,6.0,2.0
apache.xalan.lib.ExsltSets,6.0,7.0,2.0,0.0,6.0,19.0,1.0
apache.xalan.lib.PipeDocument,2.0,3.0,2.0,0.0,34.0,47.0,1.0
apache.xalan.lib.Redirect,3.0,7.0,2.0,0.0,22.0,48.0,0.0
apache.xalan.lib.sql.XConnection,22.0,34.0,2.0,0.0,39.0,137.0,1.0
apache.xalan.lib.sql.SQLErrorDocument,8.0,4.0,6.0,0.0,7.0,14.0,0.0
apache.xalan.lib.sql.QueryParameter,4.0,5.0,2.0,0.0,2.0,6.0,1.0
apache.xalan.lib.sql.PooledConnection,4.0,5.0,2.0,0.0,7.0,9.0,1.0
apache.xalan.lib.sql.ConnectionPoolManager,4.0,6.0,2.0,0.0,6.0,18.0,1.0
apache.xalan.lib.sql.SQLDocument,8.0,10.0,6.0,0.0,17.0,57.0,0.0
apache.xalan.lib.sql.DefaultConnectionPool,15.0,19.0,2.0,0.0,20.0,50.0,1.0
apache.xalan.lib.sql.ObjectArray,4.0,7.0,2.0,0.0,8.0,23.0,1.0
apache.xalan.lib.sql.DTMDocument,8.0,95.0,5.0,2.0,25.0,212.0,1.0
apache.xalan.processor.ProcessorLRE,123.0,4.0,6.0,0.0,31.0,76.0,1.0
apache.xalan.processor.ProcessorTemplate,123.0,2.0,6.0,0.0,7.0,8.0,0.0
apache.xalan.processor.StylesheetPIHandler,5.0,6.0,2.0,0.0,14.0,26.0,1.0
apache.xalan.processor.ProcessorUnknown,123.0,3.0,6.0,0.0,3.0,4.0,2.0
apache.xalan.processor.ProcessorOutputElem,130.0,14.0,5.0,0.0,13.0,40.0,0.0
apache.xalan.processor.ProcessorCharacters,122.0,5.0,5.0,0.0,10.0,32.0,0.0
apache.xalan.processor.XSLTElementDef,0.0,37.0,2.0,1.0,10.0,75.0,0.0
apache.xalan.processor.ProcessorKey,124.0,3.0,5.0,0.0,15.0,35.0,0.0
apache.xalan.processor.ProcessorAttributeSet,123.0,3.0,5.0,0.0,8.0,19.0,0.0
apache.xalan.processor.TransformerFactoryImpl,18.0,24.0,2.0,0.0,55.0,109.0,0.0
apache.xalan.processor.ProcessorStripSpace,124.0,2.0,6.0,0.0,11.0,14.0,0.0
apache.xalan.processor.StopParseException,0.0,1.0,2.0,0.0,2.0,2.0,1.0
apache.xalan.processor.ProcessorGlobalVariableDecl,123.0,3.0,6.0,0.0,7.0,10.0,0.0
apache.xalan.processor.StylesheetHandler,32.0,71.0,2.0,0.0,43.0,177.0,0.0
apache.xalan.processor.XSLTSchema,2.0,6.0,3.0,0.0,29.0,49.0,1.0
apache.xalan.processor.ProcessorDecimalFormat,124.0,2.0,5.0,0.0,7.0,9.0,2.0
apache.xalan.processor.ProcessorStylesheetElement,123.0,3.0,5.0,0.0,11.0,29.0,0.0
apache.xalan.processor.ProcessorNamespaceAlias,124.0,2.0,5.0,0.0,8.0,17.0,0.0
apache.xalan.processor.ProcessorText,123.0,3.0,6.0,0.0,7.0,10.0,0.0
apache.xalan.processor.ProcessorGlobalParamDecl,123.0,3.0,6.0,0.0,7.0,10.0,0.0
apache.xalan.processor.WhitespaceInfoPaths,116.0,4.0,6.0,0.0,3.0,6.0,0.0
apache.xalan.processor.ProcessorInclude,126.0,7.0,5.0,1.0,27.0,52.0,0.0
apache.xalan.processor.ProcessorImport,126.0,3.0,6.0,0.0,2.0,4.0,0.0
apache.xalan.processor.ProcessorExsltFuncResult,123.0,2.0,6.0,0.0,9.0,8.0,1.0
apache.xalan.processor.ProcessorPreserveSpace,124.0,2.0,5.0,1.0,10.0,14.0,0.0
apache.xalan.processor.ProcessorStylesheetDoc,125.0,1.0,5.0,0.0,2.0,2.0,1.0
apache.xalan.processor.ProcessorExsltFunction,124.0,6.0,6.0,0.0,19.0,29.0,2.0
apache.xalan.processor.XSLTElementProcessor,125.0,15.0,4.0,11.0,13.0,50.0,1.0
apache.xalan.processor.ProcessorTemplateElem,123.0,4.0,5.0,8.0,10.0,24.0,1.0
apache.xalan.processor.XSLProcessorVersion,1.0,3.0,2.0,0.0,5.0,9.0,1.0
apache.xalan.processor.XSLTAttributeDef,1.0,43.0,2.0,0.0,34.0,126.0,2.0
apache.xalan.res.XSLTErrorResources,5.0,8.0,2.0,0.0,10.0,22.0,2.0
apache.xalan.res.XSLMessages,12.0,15.0,2.0,0.0,12.0,36.0,1.0
apache.xalan.serialize.SerializerFactory,1.0,3.0,2.0,0.0,11.0,14.0,0.0
apache.xalan.templates.ElemAttributeSet,119.0,8.0,5.0,0.0,10.0,25.0,2.0
apache.xalan.templates.ElemCallTemplate,124.0,13.0,5.0,1.0,17.0,52.0,1.0
apache.xalan.templates.ElemWithParam,117.0,11.0,4.0,0.0,15.0,33.0,2.0
apache.xalan.templates.ElemIf,114.0,8.0,4.0,0.0,11.0,27.0,1.0
apache.xalan.templates.FuncFormatNumb,30.0,5.0,7.0,0.0,24.0,38.0,2.0
apache.xalan.templates.ElemEmpty,115.0,1.0,4.0,0.0,2.0,2.0,1.0
apache.xalan.templates.XSLTVisitor,12.0,9.0,3.0,1.0,2.0,10.0,0.0
apache.xalan.templates.ElemTemplateElement,115.0,84.0,3.0,29.0,31.0,161.0,4.0
apache.xalan.templates.ElemForEach,119.0,18.0,4.0,1.0,19.0,88.0,2.0
apache.xalan.templates.ElemElement,120.0,13.0,5.0,1.0,18.0,53.0,3.0
apache.xalan.templates.ElemMessage,115.0,6.0,4.0,0.0,8.0,17.0,1.0
apache.xalan.templates.AVT,13.0,14.0,2.0,0.0,18.0,44.0,1.0
apache.xalan.templates.VarNameCollector,13.0,5.0,3.0,0.0,4.0,12.0,0.0
apache.xalan.templates.AbsPathChecker,11.0,4.0,3.0,0.0,5.0,6.0,0.0
apache.xalan.templates.XMLNSDecl,3.0,4.0,2.0,0.0,3.0,5.0,0.0
apache.xalan.templates.TemplateSubPatternAssociation,12.0,15.0,2.0,0.0,12.0,26.0,0.0
apache.xalan.templates.ElemOtherwise,114.0,3.0,4.0,0.0,2.0,4.0,1.0
apache.xalan.templates.WhiteSpaceInfo,114.0,4.0,5.0,1.0,3.0,8.0,0.0
apache.xalan.templates.ElemTextLiteral,118.0,11.0,4.0,0.0,8.0,20.0,1.0
apache.xalan.templates.ElemNumber,131.0,42.0,4.0,0.0,43.0,150.0,1.0
apache.xalan.templates.ElemCopyOf,113.0,9.0,4.0,0.0,20.0,46.0,1.0
