address,PIM,WMC,WAC,NMI,NMO,DIT,NOC,CBO,RFC,bug
org.apache.xerces.readers.AbstractCharReader,5.0,33.0,10.0,6.0,21.0,3.0,2.0,18.0,86.0,1.0
org.apache.xerces.validators.datatype.AbstractDatatypeValidator,4.0,5.0,1.0,0.0,0.0,2.0,14.0,6.0,6.0,0.0
org.w3c.dom.Attr,30.0,5.0,0.0,25.0,0.0,,,,,2.0
org.apache.xerces.dom.AttrImpl,24.0,16.0,2.0,61.0,7.0,4.0,2.0,14.0,50.0,1.0
org.apache.xerces.dom.AttrNSImpl,20.0,6.0,3.0,71.0,4.0,5.0,1.0,8.0,18.0,1.0
org.xml.sax.AttributeList,6.0,6.0,0.0,0.0,0.0,,,,,0.0
org.xml.sax.helpers.AttributeListImpl,10.0,12.0,3.0,0.0,0.0,2.0,0.0,6.0,29.0,0.0
org.apache.xerces.dom.AttributeMap,4.0,10.0,0.0,16.0,5.0,3.0,0.0,11.0,45.0,2.0
org.xml.sax.Attributes,12.0,12.0,0.0,0.0,0.0,,,,,0.0
org.xml.sax.helpers.AttributesImpl,22.0,26.0,2.0,0.0,0.0,2.0,0.0,7.0,44.0,0.0
org.apache.xerces.utils.regex.BMPattern,3.0,8.0,3.0,0.0,0.0,2.0,0.0,5.0,18.0,0.0
org.apache.xerces.utils.Base64,5.0,7.0,12.0,0.0,0.0,2.0,0.0,3.0,11.0,0.0
org.apache.xml.serialize.BaseMarkupSerializer,41.0,60.0,15.0,0.0,0.0,2.0,3.0,35.0,154.0,0.0
org.apache.xerces.validators.datatype.BinaryDatatypeValidator,0.0,7.0,8.0,0.0,4.0,3.0,0.0,17.0,29.0,0.0
org.apache.xerces.validators.datatype.BooleanDatatypeValidator,0.0,10.0,7.0,0.0,4.0,3.0,0.0,14.0,33.0,0.0
org.w3c.dom.CDATASection,34.0,0.0,0.0,34.0,0.0,,,,,2.0
org.apache.xerces.dom.CDATASectionImpl,35.0,3.0,1.0,72.0,2.0,6.0,1.0,3.0,4.0,0.0
org.apache.xerces.validators.common.CMAny,0.0,9.0,3.0,5.0,3.0,3.0,0.0,7.0,19.0,0.0
org.apache.xerces.validators.common.CMBinOp,0.0,6.0,2.0,5.0,3.0,3.0,0.0,4.0,14.0,0.0
org.apache.xerces.validators.common.CMException,1.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0
org.apache.xerces.validators.common.CMLeaf,0.0,9.0,2.0,5.0,3.0,3.0,0.0,8.0,23.0,0.0
org.apache.xerces.validators.common.CMNode,0.0,9.0,5.0,0.0,0.0,2.0,4.0,4.0,13.0,0.0
org.apache.xerces.validators.common.CMStateSet,1.0,10.0,5.0,0.0,0.0,2.0,0.0,4.0,18.0,0.0
org.apache.xerces.validators.common.CMUniOp,0.0,5.0,1.0,5.0,3.0,3.0,0.0,4.0,11.0,0.0
org.apache.xerces.utils.CharDataChunk,13.0,20.0,11.0,0.0,0.0,2.0,0.0,15.0,48.0,0.0
org.apache.xerces.readers.CharReader,5.0,4.0,7.0,29.0,1.0,4.0,0.0,6.0,12.0,0.0
org.w3c.dom.CharacterData,33.0,8.0,0.0,25.0,0.0,,,,,2.0
org.apache.xerces.dom.CharacterDataImpl,34.0,14.0,3.0,58.0,4.0,4.0,3.0,14.0,45.0,2.0
org.apache.xerces.dom.ChildAndParentNode,19.0,25.0,6.0,47.0,15.0,4.0,3.0,18.0,72.0,2.0
org.apache.xerces.dom.ChildNode,31.0,8.0,3.0,56.0,6.0,3.0,2.0,2.0,14.0,0.0
org.apache.xerces.utils.ChunkyByteArray,6.0,8.0,8.0,0.0,0.0,2.0,0.0,7.0,14.0,0.0
