"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous fixes","Number of previous modifications","Number of committers","Number of developer commits","Number of bugs"
"L116","Antlr4ErrorLog.java","antlr4-maven-plugin/src/main/java/org/antlr/mojo/antlr4/Antlr4ErrorLog.java","L115","6","0","52","1","19","3","1843","0"
"L117","Antlr4Mojo.java","antlr4-maven-plugin/src/main/java/org/antlr/mojo/antlr4/Antlr4Mojo.java","L115","40","0","276","2","58","3","1843","0"
"L496","Tool.java","tool/src/org/antlr/v4/Tool.java","L495","115","0","663","6","195","2","1843","0"
"L9719","AnalysisPipeline.java","tool/src/org/antlr/v4/analysis/AnalysisPipeline.java","L9718","12","0","73","0","50","2","1300","0"
"L9720","LeftRecursionDetector.java","tool/src/org/antlr/v4/analysis/LeftRecursionDetector.java","L9718","14","0","82","0","22","2","1843","0"
"L9721","LeftRecursiveRuleAltInfo.java","tool/src/org/antlr/v4/analysis/LeftRecursiveRuleAltInfo.java","L9718","1","0","28","0","11","2","1843","0"
"L9722","LeftRecursiveRuleAnalyzer.java","tool/src/org/antlr/v4/analysis/LeftRecursiveRuleAnalyzer.java","L9718","56","0","318","0","43","2","1843","1"
"L9723","LeftRecursiveRuleTransformer.java","tool/src/org/antlr/v4/analysis/LeftRecursiveRuleTransformer.java","L9718","17","0","167","2","47","2","1843","2"
"L10200","ATNFactory.java","tool/src/org/antlr/v4/automata/ATNFactory.java","L10199","1","0","50","0","25","2","1843","0"
"L10201","ATNOptimizer.java","tool/src/org/antlr/v4/automata/ATNOptimizer.java","L10199","22","0","110","0","14","2","1843","0"
"L10202","ATNPrinter.java","tool/src/org/antlr/v4/automata/ATNPrinter.java","L10199","24","0","98","0","24","2","1843","0"
"L10203","ATNVisitor.java","tool/src/org/antlr/v4/automata/ATNVisitor.java","L10199","3","0","22","0","10","2","1843","0"
"L10204","LexerATNFactory.java","tool/src/org/antlr/v4/automata/LexerATNFactory.java","L10199","59","0","374","2","53","2","1843","0"
"L10205","ParserATNFactory.java","tool/src/org/antlr/v4/automata/ParserATNFactory.java","L10199","67","0","532","0","97","2","1843","0"
"L10206","TailEpsilonRemover.java","tool/src/org/antlr/v4/automata/TailEpsilonRemover.java","L10199","11","0","39","0","13","2","1843","0"
"L10705","ActionTranslator.java","tool/src/org/antlr/v4/codegen/ActionTranslator.java","L10704","30","0","266","0","58","3","1843","0"
"L10706","BlankOutputModelFactory.java","tool/src/org/antlr/v4/codegen/BlankOutputModelFactory.java","L10704","1","0","67","0","22","2","1843","0"
"L10707","CodeGenerator.java","tool/src/org/antlr/v4/codegen/CodeGenerator.java","L10704","16","0","198","0","94","2","1843","0"
"L10708","CodeGeneratorExtension.java","tool/src/org/antlr/v4/codegen/CodeGeneratorExtension.java","L10704","1","0","37","0","23","1","1843","0"
"L10709","CodeGenPipeline.java","tool/src/org/antlr/v4/codegen/CodeGenPipeline.java","L10704","18","0","84","0","51","3","1843","0"
"L10710","DefaultOutputModelFactory.java","tool/src/org/antlr/v4/codegen/DefaultOutputModelFactory.java","L10704","4","0","63","0","34","2","1843","0"
"L10711","JavaTarget.java","tool/src/org/antlr/v4/codegen/JavaTarget.java","L10704","4","0","68","1","18","2","1843","0"
"L10712","LexerFactory.java","tool/src/org/antlr/v4/codegen/LexerFactory.java","L10704","1","0","4","0","19","1","1843","0"
"L10713","OutputModelController.java","tool/src/org/antlr/v4/codegen/OutputModelController.java","L10704","44","0","372","1","75","2","1843","0"
"L10714","OutputModelFactory.java","tool/src/org/antlr/v4/codegen/OutputModelFactory.java","L10704","1","0","58","0","47","2","1843","0"
"L10715","OutputModelWalker.java","tool/src/org/antlr/v4/codegen/OutputModelWalker.java","L10704","18","0","97","0","28","2","1843","0"
"L10716","ParserFactory.java","tool/src/org/antlr/v4/codegen/ParserFactory.java","L10704","40","0","290","0","79","2","1843","0"
"L10717","Target.java","tool/src/org/antlr/v4/codegen/Target.java","L10704","54","0","318","1","96","3","1843","0"
"L10718","Wildcard.java","tool/src/org/antlr/v4/codegen/Wildcard.java","L10704","1","0","8","0","4","1","1843","0"
"L13486","CharSupport.java","tool/src/org/antlr/v4/misc/CharSupport.java","L13485","23","0","90","0","10","1","1843","0"
"L13487","FrequencySet.java","tool/src/org/antlr/v4/misc/FrequencySet.java","L13485","3","0","19","0","9","2","1843","0"
"L13488","Graph.java","tool/src/org/antlr/v4/misc/Graph.java","L13485","11","0","58","0","14","2","1843","0"
"L13489","MutableInt.java","tool/src/org/antlr/v4/misc/MutableInt.java","L13485","2","0","20","0","14","2","1300","0"
"L13490","OrderedHashMap.java","tool/src/org/antlr/v4/misc/OrderedHashMap.java","L13485","2","0","31","0","8","2","1300","0"
"L13491","Utils.java","tool/src/org/antlr/v4/misc/Utils.java","L13485","18","0","94","0","40","2","1843","0"
"L13746","ActionSplitterListener.java","tool/src/org/antlr/v4/parse/ActionSplitterListener.java","L13745","1","0","10","0","16","2","1300","0"
"L13747","GrammarASTAdaptor.java","tool/src/org/antlr/v4/parse/GrammarASTAdaptor.java","L13745","4","0","43","0","22","2","1843","0"
"L13748","GrammarToken.java","tool/src/org/antlr/v4/parse/GrammarToken.java","L13745","6","0","56","0","2","2","1300","0"
"L13749","ResyncToEndOfRuleBlock.java","tool/src/org/antlr/v4/parse/ResyncToEndOfRuleBlock.java","L13745","1","0","3","0","5","1","1843","0"
"L13750","ScopeParser.java","tool/src/org/antlr/v4/parse/ScopeParser.java","L13745","59","0","205","0","25","2","1843","0"
"L13751","TokenVocabParser.java","tool/src/org/antlr/v4/parse/TokenVocabParser.java","L13745","12","0","122","1","28","2","1843","0"
"L13752","ToolANTLRLexer.java","tool/src/org/antlr/v4/parse/ToolANTLRLexer.java","L13745","1","0","22","0","4","2","1300","0"
"L13753","ToolANTLRParser.java","tool/src/org/antlr/v4/parse/ToolANTLRParser.java","L13745","4","0","43","0","16","2","1300","0"
"L13754","v3TreeGrammarException.java","tool/src/org/antlr/v4/parse/v3TreeGrammarException.java","L13745","1","0","9","0","3","1","1843","0"
"L13755","v4ParserException.java","tool/src/org/antlr/v4/parse/v4ParserException.java","L13745","1","0","11","0","10","2","1843","0"
"L13990","ActionSniffer.java","tool/src/org/antlr/v4/semantics/ActionSniffer.java","L13989","3","0","65","0","15","2","1300","0"
"L13991","AttributeChecks.java","tool/src/org/antlr/v4/semantics/AttributeChecks.java","L13989","35","0","195","0","51","2","1300","0"
"L13992","BasicSemanticChecks.java","tool/src/org/antlr/v4/semantics/BasicSemanticChecks.java","L13989","84","0","466","4","108","3","1843","0"
"L13993","BlankActionSplitterListener.java","tool/src/org/antlr/v4/semantics/BlankActionSplitterListener.java","L13989","1","0","33","0","14","2","1300","0"
"L13994","RuleCollector.java","tool/src/org/antlr/v4/semantics/RuleCollector.java","L13989","8","0","91","1","20","2","1843","0"
"L13995","SemanticPipeline.java","tool/src/org/antlr/v4/semantics/SemanticPipeline.java","L13989","40","0","165","0","75","2","1843","2"
"L13996","SymbolChecks.java","tool/src/org/antlr/v4/semantics/SymbolChecks.java","L13989","45","0","219","3","58","2","1843","0"
"L13997","SymbolCollector.java","tool/src/org/antlr/v4/semantics/SymbolCollector.java","L13989","5","0","142","1","31","2","1843","0"
"L13998","UseDefAnalyzer.java","tool/src/org/antlr/v4/semantics/UseDefAnalyzer.java","L13989","7","0","75","0","22","2","1300","0"
"L15205","Alternative.java","tool/src/org/antlr/v4/tool/Alternative.java","L15204","22","0","87","1","35","2","1843","0"
"L15206","ANTLRMessage.java","tool/src/org/antlr/v4/tool/ANTLRMessage.java","L15204","6","0","74","0","13","2","1843","0"
"L15207","ANTLRToolListener.java","tool/src/org/antlr/v4/tool/ANTLRToolListener.java","L15204","1","0","6","0","5","1","1843","0"
"L15208","Attribute.java","tool/src/org/antlr/v4/tool/Attribute.java","L15204","2","0","23","0","15","2","1300","0"
"L15209","AttributeDict.java","tool/src/org/antlr/v4/tool/AttributeDict.java","L15204","4","0","50","0","24","2","1843","0"
"L15210","AttributeResolver.java","tool/src/org/antlr/v4/tool/AttributeResolver.java","L15204","1","0","10","0","15","1","1843","0"
"L15211","BuildDependencyGenerator.java","tool/src/org/antlr/v4/tool/BuildDependencyGenerator.java","L15204","21","0","143","1","15","3","1843","0"
"L15212","DefaultToolListener.java","tool/src/org/antlr/v4/tool/DefaultToolListener.java","L15204","4","0","32","0","9","2","1300","0"
"L15213","DOTGenerator.java","tool/src/org/antlr/v4/tool/DOTGenerator.java","L15204","65","0","284","0","59","2","1843","0"
"L15214","ErrorManager.java","tool/src/org/antlr/v4/tool/ErrorManager.java","L15204","26","0","224","0","65","2","1843","0"
"L15215","ErrorSeverity.java","tool/src/org/antlr/v4/tool/ErrorSeverity.java","L15204","1","0","13","0","9","1","1843","0"
"L15216","ErrorType.java","tool/src/org/antlr/v4/tool/ErrorType.java","L15204","1","0","126","9","153","2","1843","2"
"L15217","Grammar.java","tool/src/org/antlr/v4/tool/Grammar.java","L15204","136","0","812","4","197","2","1843","0"
"L15218","GrammarSemanticsMessage.java","tool/src/org/antlr/v4/tool/GrammarSemanticsMessage.java","L15204","2","0","16","0","9","1","1843","0"
