,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,MaxNesting,bug
0,File,org.apache.tools.ant.AntClassLoader,3,3,3,1,25,1,14,9,1,0,3,15,15,8,15,0,5,1,9,520,53,236,63,145,231,113,160,65,95,11,11,11,0.98,47,47,49,27,5,2
1,File,org.apache.tools.ant.BuildEvent,1,1,1,1,8,0,3,4,1,0,0,11,11,6,11,0,0,0,11,164,14,53,20,22,97,29,41,20,21,1,1,1,1.83,11,11,11,11,0,0
2,File,org.apache.tools.ant.BuildException,1,1,1,1,7,0,4,3,1,0,0,14,14,2,14,0,0,0,14,193,19,65,19,28,109,27,46,19,27,2,2,2,1.68,16,16,16,14,1,0
3,File,org.apache.tools.ant.BuildListener,0,0,0,0,0,0,0,0,1,0,0,7,7,0,7,0,0,0,7,119,11,11,10,0,97,9,10,10,0,0,0,0,8.82,0,0,0,0,0,0
4,File,org.apache.tools.ant.BuildLogger,0,0,0,0,0,0,0,0,1,0,0,4,4,0,4,0,0,0,4,104,7,8,7,0,89,6,7,7,0,0,0,0,11.13,0,0,0,0,0,0
5,File,org.apache.tools.ant.Constants,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,1,3,2,0,12,1,2,2,0,0,0,0,4.0,0,0,0,0,0,0
6,File,org.apache.tools.ant.DefaultLogger,1,1,1,1,9,0,5,3,1,1,2,12,11,5,12,0,0,1,11,202,31,76,28,39,95,32,52,29,23,6,6,6,1.25,23,23,23,12,4,2
7,File,org.apache.tools.ant.DesirableFilter,6,6,8,6,40,7,18,15,1,0,0,1,1,0,1,0,0,0,1,117,19,24,6,11,74,10,17,6,11,6,6,8,3.08,6,6,8,6,1,0
8,File,org.apache.tools.ant.DirectoryScanner,5,5,6,3,31,1,20,9,1,3,1,22,19,10,22,0,0,8,14,959,105,475,99,312,385,266,390,122,268,28,28,35,0.81,124,124,136,85,5,0
9,File,org.apache.tools.ant.FileScanner,0,0,0,0,0,0,0,0,1,0,0,13,13,0,13,0,0,0,13,155,2,17,16,0,136,15,16,16,0,0,0,0,8.0,0,0,0,0,0,0
10,File,org.apache.tools.ant.IntrospectionHelper,2,2,3,1,17,1,13,1,19,1,1,30,29,6,30,0,3,0,27,521,64,327,73,235,130,120,188,74,114,15,15,28,0.4,69,69,90,47,2,2
11,File,org.apache.tools.ant.Location,1,1,1,1,10,1,5,3,1,0,1,4,4,3,4,0,1,0,3,111,11,30,11,14,70,16,23,11,12,3,3,3,2.33,6,6,6,4,2,0
12,File,org.apache.tools.ant.Main,5,5,6,2,36,3,26,6,1,7,1,13,6,11,13,0,10,2,1,610,69,367,79,284,178,215,283,77,206,28,28,33,0.49,75,75,82,33,3,1
13,File,org.apache.tools.ant.NoBannerLogger,1,1,2,1,7,1,6,0,1,0,0,3,3,1,3,0,0,0,3,89,9,22,6,10,58,8,14,6,8,3,3,5,2.64,5,5,7,3,1,0
14,File,org.apache.tools.ant.PathTokenizer,2,2,3,1,13,1,10,1,1,0,0,3,3,3,3,0,0,0,3,128,10,40,12,21,78,18,26,12,14,4,4,8,1.95,7,7,11,3,2,0
15,File,org.apache.tools.ant.Project,2,2,2,1,17,1,12,4,1,0,16,2,2,11,2,0,0,0,2,176,23,72,43,50,81,52,55,39,16,4,4,4,1.13,5,5,5,2,2,1
16,File,org.apache.tools.ant.ProjectHelper,2,2,2,1,13,1,11,1,8,6,1,40,34,15,40,0,8,2,30,726,104,482,124,293,141,220,338,116,222,12,12,13,0.29,115,115,118,42,3,3
17,File,org.apache.tools.ant.RuntimeConfigurable,1,1,1,1,6,0,4,2,1,0,0,9,9,4,9,2,0,0,7,148,14,50,19,21,84,24,34,19,15,3,3,3,1.68,11,11,11,9,1,2
18,File,org.apache.tools.ant.Target,1,1,1,1,4,0,4,0,1,0,0,16,16,7,16,1,0,0,15,170,21,86,33,40,63,37,56,28,28,5,5,6,0.73,24,24,25,16,4,1
19,File,org.apache.tools.ant.Task,1,1,1,1,7,0,3,4,1,0,0,18,18,7,18,2,0,1,15,224,24,65,27,25,135,25,46,27,19,2,2,2,2.08,20,20,20,18,1,0
20,File,org.apache.tools.ant.TaskAdapter,1,1,1,1,9,0,7,2,1,0,0,3,3,1,3,0,0,0,3,102,9,28,10,14,65,15,21,10,11,3,3,3,2.32,5,5,5,3,2,0
