Unnamed: 0,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,MaxNesting,bug
0,File,org.apache.log4j.Appender,0,0,0,0,0,0,0,0,1,0,0,9,9,0,9,1,0,0,8,110,30,23,22,0,57,13,14,14,0,0,0,0,2.48,0,0,0,0,0,1.0
1,File,org.apache.log4j.AppenderSkeleton,1,1,1,1,10,1,4,4,1,0,1,16,16,7,16,0,0,1,15,288,62,113,54,40,113,42,66,34,32,7,5,7,1.0,25,23,26,20,2,0.0
2,File,org.apache.log4j.AsyncAppender,1,1,1,1,11,0,6,3,2,0,2,14,14,6,14,1,0,0,13,259,45,135,52,59,81,54,85,34,51,7,7,7,0.6,27,27,27,18,3,5.0
3,File,org.apache.log4j.BasicConfigurator,1,1,1,1,14,1,6,6,1,10,2,12,2,2,12,0,0,3,9,291,51,124,52,59,117,44,67,29,38,3,3,3,0.94,18,18,18,12,2,1.0
4,File,org.apache.log4j.Category,1,1,1,1,21,1,5,14,1,0,11,2,2,10,2,0,0,1,1,249,48,92,59,39,109,53,62,44,18,2,2,2,1.18,3,3,3,2,1,9.0
5,File,org.apache.log4j.CategoryKey,1,1,2,1,5,0,5,0,1,0,0,3,3,2,3,1,0,0,2,41,7,24,11,9,10,9,15,7,8,3,3,4,0.42,5,5,6,5,1,0.0
6,File,org.apache.log4j.DefaultCategoryFactory,1,1,1,1,2,0,2,0,1,0,0,2,2,0,2,1,0,0,1,21,5,10,6,1,6,3,6,5,1,1,1,1,0.6,2,2,2,2,0,0.0
7,File,org.apache.log4j.FileAppender,1,1,2,1,14,1,6,6,1,0,3,20,20,6,20,0,0,5,15,463,87,179,67,80,197,72,111,43,68,7,7,7,1.1,38,38,40,22,2,1.0
8,File,org.apache.log4j.HTMLLayout,1,1,1,1,12,1,8,2,2,0,2,12,12,4,12,1,0,0,11,219,51,125,40,74,43,71,93,29,64,5,5,5,0.34,20,20,20,12,1,2.0
9,File,org.apache.log4j.Hierarchy,2,2,2,1,24,3,10,10,1,0,1,11,11,3,11,0,2,0,9,359,71,146,57,79,144,72,100,43,57,6,6,6,0.99,25,25,27,19,2,2.0
