,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,MaxNesting,bug
0,File,org.apache.poi.dev.RecordGenerator,3,3,4,1,37,2,32,2,1,2,0,2,0,0,2,0,1,0,1,141,10,74,28,46,57,39,46,25,21,4,4,6,0.77,6,6,8,2,3,1.0
1,File,org.apache.poi.hpsf.DocumentSummaryInformation,1,1,1,1,9,0,4,4,1,0,0,16,16,0,16,0,0,0,16,271,50,83,22,27,138,25,47,21,26,2,2,2,1.66,21,21,21,16,1,2.0
2,File,org.apache.poi.hpsf.HPSFException,1,1,1,1,8,0,4,3,1,0,0,5,5,1,5,0,0,0,5,131,19,27,8,7,85,9,15,8,7,1,1,1,3.15,5,5,5,5,0,1.0
3,File,org.apache.poi.hpsf.HPSFRuntimeException,1,1,1,1,8,0,4,3,1,0,0,5,5,1,5,0,0,0,5,131,19,27,8,7,85,9,15,8,7,1,1,1,3.15,5,5,5,5,0,1.0
4,File,org.apache.poi.hpsf.MarkUnsupportedException,1,1,1,1,4,0,4,0,1,0,0,4,4,0,4,0,0,0,4,92,7,20,6,4,65,5,10,6,4,1,1,1,3.25,4,4,4,4,0,1.0
5,File,org.apache.poi.hpsf.NoPropertySetStreamException,1,1,1,1,4,0,4,0,1,0,0,4,4,0,4,0,0,0,4,97,7,21,7,4,69,5,10,6,4,1,1,1,3.29,4,4,4,4,0,1.0
6,File,org.apache.poi.hpsf.NoSingleSectionException,1,1,1,1,4,0,4,0,1,0,0,4,4,0,4,0,0,0,4,97,7,20,6,4,70,5,10,6,4,1,1,1,3.5,4,4,4,4,0,1.0
7,File,org.apache.poi.hpsf.Property,2,2,2,1,26,1,14,11,1,0,0,6,6,3,6,0,0,2,4,274,30,94,28,51,150,51,64,28,36,7,5,8,1.6,14,12,15,6,2,4.0
8,File,org.apache.poi.hpsf.PropertySet,1,1,1,1,17,0,7,9,1,2,2,20,18,6,20,0,1,3,16,528,74,165,60,74,291,74,103,48,55,4,4,4,1.76,28,28,28,23,1,3.0
9,File,org.apache.poi.hpsf.PropertySetFactory,3,3,3,3,22,0,12,10,1,1,0,1,0,0,1,0,0,0,1,97,5,17,7,7,75,6,10,5,5,3,3,3,4.41,3,3,3,3,1,2.0
