,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,MaxNesting,bug
0,File,org.apache.velocity.Template,2,2,2,2,52,6,24,21,1,0,0,4,4,2,4,0,0,0,4,282,37,119,33,54,126,51,63,28,35,6,6,6,1.06,11,11,11,8,2,2.0
1,File,org.apache.velocity.VelocityContext,1,1,1,1,11,0,5,6,1,0,0,10,10,1,10,0,0,0,10,178,14,59,18,17,105,20,32,18,14,2,2,2,1.78,12,12,12,10,1,1.0
2,File,org.apache.velocity.anakia.AnakiaElement,1,1,1,1,18,0,4,14,1,0,1,11,11,0,11,0,0,0,11,246,14,53,18,12,179,17,29,18,11,1,1,1,3.38,11,11,11,11,0,1.0
3,File,org.apache.velocity.anakia.AnakiaJDOMFactory,1,1,1,1,3,0,3,0,1,0,0,5,5,0,5,0,0,0,5,55,7,26,10,4,22,8,14,10,4,1,1,1,0.85,5,5,5,5,0,1.0
4,File,org.apache.velocity.anakia.AnakiaTask,3,3,4,1,27,1,19,6,1,0,0,13,13,14,13,0,3,0,10,470,57,290,68,148,123,120,163,68,95,13,13,18,0.42,43,43,55,15,3,1.0
5,File,org.apache.velocity.anakia.Escape,4,3,4,1,25,0,21,4,1,1,0,2,1,0,2,0,0,0,2,80,4,46,8,27,31,22,28,8,20,8,5,8,0.67,9,6,9,2,2,1.0
6,File,org.apache.velocity.anakia.NodeList,1,1,1,1,8,0,6,1,2,0,1,37,37,1,37,0,2,0,35,413,44,263,57,96,106,77,130,54,76,14,14,14,0.4,56,56,56,37,3,1.0
7,File,org.apache.velocity.anakia.OutputWrapper,1,1,1,1,16,0,8,7,1,0,0,2,2,0,2,0,0,0,2,68,6,24,10,6,38,9,13,10,3,2,2,2,1.58,3,3,3,2,1,1.0
8,File,org.apache.velocity.anakia.TreeWalker,1,1,1,1,10,0,6,4,1,0,0,3,3,0,3,0,1,0,2,74,6,26,11,7,42,13,17,12,5,2,2,2,1.62,4,4,4,3,1,1.0
9,File,org.apache.velocity.anakia.XPathCache,1,1,1,1,11,0,8,3,1,1,1,2,1,0,2,1,1,0,0,61,5,25,9,8,31,10,15,9,6,2,2,2,1.24,3,3,3,2,1,1.0
10,File,org.apache.velocity.anakia.XPathTool,1,1,1,1,12,0,4,8,1,0,0,4,4,0,4,0,0,0,4,128,10,25,12,3,93,7,12,9,3,1,1,1,3.72,4,4,4,4,0,1.0
11,File,org.apache.velocity.app.FieldMethodizer,1,1,2,1,14,0,8,5,1,0,0,7,7,2,7,0,1,0,6,172,11,71,20,24,90,22,36,19,17,3,3,4,1.27,13,13,14,9,2,1.0
12,File,org.apache.velocity.app.Velocity,1,1,1,1,20,1,8,10,1,24,0,24,0,0,24,0,0,0,24,586,56,231,79,81,299,82,117,57,60,5,5,9,1.29,33,33,37,27,3,2.0
13,File,org.apache.velocity.app.VelocityEngine,1,1,1,1,21,1,8,11,1,0,0,23,23,1,23,0,0,0,23,582,59,229,80,81,294,82,116,57,59,5,5,9,1.28,32,32,36,26,3,3.0
14,File,org.apache.velocity.app.event.EventCartridge,3,3,3,1,27,2,14,10,1,0,0,6,6,3,6,0,0,0,6,207,24,97,19,44,86,34,53,16,37,5,5,5,0.89,18,18,18,6,1,2.0
15,File,org.apache.velocity.app.event.EventHandler,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28,3,4,2,0,21,1,2,2,0,0,0,0,5.25,0,0,0,0,0,1.0
16,File,org.apache.velocity.app.event.MethodExceptionEventHandler,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,32,1,6,4,0,25,2,3,3,0,0,0,0,4.17,0,0,0,0,0,2.0
17,File,org.apache.velocity.app.event.NullSetEventHandler,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,37,2,5,3,0,30,2,3,3,0,0,0,0,6.0,0,0,0,0,0,2.0
18,File,org.apache.velocity.app.event.ReferenceInsertionEventHandler,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,40,1,5,3,0,34,2,3,3,0,0,0,0,6.8,0,0,0,0,0,2.0
19,File,org.apache.velocity.app.tools.VelocityFormatter,1,1,1,1,14,0,7,7,3,0,0,23,23,4,23,0,0,0,23,456,28,180,60,64,248,61,95,47,48,4,4,4,1.38,31,31,31,23,2,1.0
20,File,org.apache.velocity.context.AbstractContext,1,1,2,1,17,1,7,8,1,0,0,13,13,1,13,0,0,0,13,267,33,74,21,23,160,25,41,20,21,3,3,4,2.16,15,15,16,10,1,1.0
21,File,org.apache.velocity.context.Context,0,0,0,0,0,0,0,0,1,0,0,5,5,0,5,5,0,0,0,74,6,9,7,0,59,6,7,7,0,0,0,0,6.56,0,0,0,0,0,1.0
22,File,org.apache.velocity.context.InternalContextAdapter,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33,3,5,3,0,25,1,2,2,0,0,0,0,5.0,0,0,0,0,0,1.0
23,File,org.apache.velocity.context.InternalContextAdapterImpl,1,1,1,1,6,0,5,0,1,0,0,18,18,3,18,0,0,0,18,226,37,102,26,31,87,30,53,26,27,3,3,3,0.85,22,22,22,18,1,2.0
