filename,wmc,dit,noc,cbo,rfc,npm,bug
apache.tools.ant.NoBannerLogger,4,2,0,4,16,4,0
apache.tools.ant.PathTokenizer,3,1,0,3,17,3,0
apache.tools.ant.AntTypeDefinition,20,1,2,11,45,16,0
apache.tools.ant.DefaultLogger,16,1,3,13,39,12,1
apache.tools.ant.IntrospectionHelper,33,1,0,29,100,22,3
apache.tools.ant.Main,23,1,0,14,113,5,0
apache.tools.ant.ProjectComponent,5,1,19,128,8,5,1
apache.tools.ant.TaskAdapter,7,3,0,6,26,6,0
apache.tools.ant.BuildEvent,11,2,0,12,15,11,0
apache.tools.ant.DirectoryScanner,53,1,1,37,119,28,2
apache.tools.ant.DemuxOutputStream,10,2,0,4,30,5,0
apache.tools.ant.PropertyHelper,20,1,0,3,50,18,1
apache.tools.ant.DemuxInputStream,3,2,0,2,5,3,0
apache.tools.ant.MagicNames,1,1,0,0,2,1,0
apache.tools.ant.AntClassLoader,49,2,1,24,126,31,10
apache.tools.ant.Task,30,2,59,138,52,20,1
apache.tools.ant.Location,8,1,0,80,19,6,0
apache.tools.ant.Project,100,1,0,202,247,87,5
apache.tools.ant.Diagnostics,17,1,0,4,58,5,1
apache.tools.ant.ComponentHelper,34,1,0,21,132,23,2
apache.tools.ant.BuildException,15,4,0,243,27,15,0
apache.tools.ant.ExitException,3,5,0,2,8,3,0
apache.tools.ant.RuntimeConfigurable,21,1,0,19,66,19,1
apache.tools.ant.XmlLogger,16,1,0,13,74,12,0
apache.tools.ant.UnknownElement,28,3,0,26,89,16,4
apache.tools.ant.Target,23,1,0,32,57,19,2
apache.tools.ant.ProjectHelper,18,1,2,23,68,17,1
apache.tools.ant.filters.BaseParamFilterReader,4,4,11,14,7,3,0
apache.tools.ant.filters.StripLineComments,8,5,0,6,26,5,0
apache.tools.ant.filters.StripJavaComments,4,4,0,3,7,4,0
apache.tools.ant.filters.HeadFilter,10,5,0,6,25,6,0
apache.tools.ant.filters.LineContainsRegExp,8,5,0,9,29,5,0
apache.tools.ant.filters.StripLineBreaks,7,5,0,5,17,5,0
apache.tools.ant.filters.PrefixLines,7,5,0,5,22,5,0
apache.tools.ant.filters.TokenFilter,19,4,0,18,40,19,0
apache.tools.ant.filters.ClassConstants,5,4,0,3,20,4,1
apache.tools.ant.filters.StringInputStream,9,2,0,0,23,9,0
apache.tools.ant.filters.ExpandProperties,4,4,0,4,13,4,0
apache.tools.ant.filters.ReplaceTokens,13,5,0,7,39,7,1
apache.tools.ant.filters.BaseFilterReader,10,3,6,20,21,5,0
apache.tools.ant.filters.EscapeUnicode,5,5,0,4,19,4,0
apache.tools.ant.filters.ConcatFilter,9,5,0,5,28,8,0
apache.tools.ant.filters.TabsToSpaces,7,5,0,5,18,5,0
apache.tools.ant.filters.LineContains,8,5,0,6,26,5,0
apache.tools.ant.filters.TailFilter,10,5,0,6,30,6,0
apache.tools.ant.filters.util.JavaClassHelper,3,1,0,5,19,2,0
apache.tools.ant.filters.util.ChainReaderHelper,10,1,0,15,39,8,0
apache.tools.ant.helper.ProjectHelperImpl,14,2,0,18,63,2,1
apache.tools.ant.helper.AntXMLContext,26,1,0,10,47,26,1
apache.tools.ant.helper.ProjectHelper2,9,2,0,17,73,4,1
apache.tools.ant.input.InputRequest,5,1,1,5,7,5,0
apache.tools.ant.input.PropertyFileInputHandler,3,1,0,3,19,2,0
apache.tools.ant.input.MultipleChoiceInputRequest,3,2,0,3,8,3,0
apache.tools.ant.input.DefaultInputHandler,4,1,0,7,22,2,0
apache.tools.ant.listener.AnsiColorLogger,3,2,0,1,18,1,0
apache.tools.ant.listener.MailLogger,7,2,0,10,69,2,0
apache.tools.ant.loader.AntClassLoader2,7,3,0,5,53,1,1
apache.tools.ant.taskdefs.ExecuteWatchdog,9,1,0,8,23,8,0
apache.tools.ant.taskdefs.Mkdir,4,3,0,3,17,3,0
apache.tools.ant.taskdefs.SubAnt,23,3,0,15,88,19,0
apache.tools.ant.taskdefs.GenerateKey,14,3,0,8,34,14,0
apache.tools.ant.taskdefs.Javadoc,85,3,0,35,227,78,6
apache.tools.ant.taskdefs.LoadFile,7,3,0,7,38,7,0
apache.tools.ant.taskdefs.Basename,5,3,0,5,15,5,0
apache.tools.ant.taskdefs.War,10,6,0,10,33,6,0
apache.tools.ant.taskdefs.DefBase,12,4,1,11,27,11,0
apache.tools.ant.taskdefs.Copy,31,3,2,20,97,24,4
apache.tools.ant.taskdefs.FixCRLF,18,4,0,12,84,11,1
apache.tools.ant.taskdefs.ProcessDestroyer,8,1,0,2,33,5,0
apache.tools.ant.taskdefs.AbstractCvsTask,41,3,2,17,105,32,0
apache.tools.ant.taskdefs.CVSPass,6,3,0,3,30,5,0
apache.tools.ant.taskdefs.PreSetDef,4,4,0,11,19,4,0
apache.tools.ant.taskdefs.Move,7,4,0,9,50,1,0
apache.tools.ant.taskdefs.Definer,22,5,1,17,73,14,1
apache.tools.ant.taskdefs.MatchingTask,42,3,11,39,96,40,0
apache.tools.ant.taskdefs.Untar,4,4,0,8,26,3,2
apache.tools.ant.taskdefs.UpToDate,11,3,0,14,39,9,0
apache.tools.ant.taskdefs.Property,35,3,0,14,90,25,0
apache.tools.ant.taskdefs.Sequential,3,3,0,3,10,3,0
apache.tools.ant.taskdefs.BUnzip2,3,4,0,5,25,1,0
apache.tools.ant.taskdefs.ExecTask,36,3,1,19,106,26,0
apache.tools.ant.taskdefs.Available,20,3,0,14,69,16,3
apache.tools.ant.taskdefs.Unpack,10,3,2,7,26,6,0
apache.tools.ant.taskdefs.DependSet,6,4,0,10,33,6,1
apache.tools.ant.taskdefs.Tstamp,6,3,0,6,26,4,0
apache.tools.ant.taskdefs.Delete,41,4,0,28,98,38,3
apache.tools.ant.taskdefs.Touch,8,3,0,10,39,6,1
apache.tools.ant.taskdefs.Cvs,1,4,0,1,2,1,0
apache.tools.ant.taskdefs.XmlProperty,28,3,0,6,80,12,2
apache.tools.ant.taskdefs.TaskOutputStream,3,2,0,1,10,1,0
apache.tools.ant.taskdefs.LogOutputStream,9,2,2,10,18,6,0
apache.tools.ant.taskdefs.Echo,7,3,0,7,23,7,0
apache.tools.ant.taskdefs.Copydir,8,4,0,7,39,7,0
apache.tools.ant.taskdefs.Input,7,3,0,8,25,7,0
apache.tools.ant.taskdefs.Sleep,10,3,0,2,20,9,0
apache.tools.ant.taskdefs.RecorderEntry,16,1,0,6,36,13,2
apache.tools.ant.taskdefs.WaitFor,7,3,0,6,18,7,0
apache.tools.ant.taskdefs.Java,48,3,0,22,151,38,3
apache.tools.ant.taskdefs.BuildNumber,6,3,0,5,35,3,0
apache.tools.ant.taskdefs.Pack,9,3,2,5,24,5,0
apache.tools.ant.taskdefs.SignJar,19,3,0,10,61,16,0
apache.tools.ant.taskdefs.AntStructure,9,3,0,7,61,3,1
apache.tools.ant.taskdefs.GUnzip,3,4,0,4,21,1,0
apache.tools.ant.taskdefs.Jar,23,5,2,15,99,10,3
apache.tools.ant.taskdefs.CallTarget,14,3,0,10,44,14,0
apache.tools.ant.taskdefs.WhichResource,8,3,0,6,28,7,0
apache.tools.ant.taskdefs.XSLTProcess,30,4,0,19,93,23,3
apache.tools.ant.taskdefs.Recorder,9,3,0,9,34,7,1
apache.tools.ant.taskdefs.Typedef,1,6,1,3,2,1,0
apache.tools.ant.taskdefs.LoadProperties,5,3,0,8,41,5,0
apache.tools.ant.taskdefs.MacroInstance,8,3,0,15,77,5,2
apache.tools.ant.taskdefs.Copyfile,6,3,0,5,24,6,0
apache.tools.ant.taskdefs.LogStreamHandler,2,2,0,7,9,2,0
apache.tools.ant.taskdefs.Concat,28,3,0,18,94,18,0
apache.tools.ant.taskdefs.JikesOutputParser,12,1,0,3,22,5,0
apache.tools.ant.taskdefs.BZip2,2,4,0,5,15,1,0
apache.tools.ant.taskdefs.Ant,24,3,0,17,118,17,2
apache.tools.ant.taskdefs.Exec,10,3,0,6,44,7,0
apache.tools.ant.taskdefs.Replace,22,4,0,9,90,16,1
apache.tools.ant.taskdefs.Redirector,21,1,0,13,52,15,3
apache.tools.ant.taskdefs.Checksum,20,4,0,11,91,15,2
apache.tools.ant.taskdefs.SQLExec,20,4,0,13,97,16,2
apache.tools.ant.taskdefs.KeySubst,8,3,0,2,39,8,0
apache.tools.ant.taskdefs.ExecuteOn,23,4,2,22,77,16,0
apache.tools.ant.taskdefs.Antlib,8,3,0,11,45,4,0
apache.tools.ant.taskdefs.Expand,10,3,1,14,61,8,2
apache.tools.ant.taskdefs.Transform,1,5,0,1,2,1,0
apache.tools.ant.taskdefs.ImportTask,6,3,0,8,32,4,1
apache.tools.ant.taskdefs.Rmic,48,4,0,25,109,44,0
apache.tools.ant.taskdefs.DefaultExcludes,6,3,0,3,18,6,0
apache.tools.ant.taskdefs.Sync,15,3,0,8,49,9,3
apache.tools.ant.taskdefs.Tar,12,4,0,17,87,9,1
apache.tools.ant.taskdefs.Dirname,4,3,0,5,10,4,0
apache.tools.ant.taskdefs.ManifestException,1,3,0,6,2,1,0
apache.tools.ant.taskdefs.Chmod,18,5,0,15,58,16,0
apache.tools.ant.taskdefs.PumpStreamHandler,15,1,2,8,23,9,1
apache.tools.ant.taskdefs.TempFile,6,3,0,5,15,6,1
apache.tools.ant.taskdefs.ExecuteJava,11,1,0,11,54,11,2
apache.tools.ant.taskdefs.SendEmail,2,4,0,1,5,2,0
apache.tools.ant.taskdefs.Javac,75,4,0,27,121,68,3
apache.tools.ant.taskdefs.ManifestTask,7,3,0,9,36,7,1
apache.tools.ant.taskdefs.AntlibDefinition,5,3,3,8,12,5,0
apache.tools.ant.taskdefs.Jikes,2,1,0,5,30,0,0
apache.tools.ant.taskdefs.StreamPumper,5,1,0,1,11,5,1
apache.tools.ant.taskdefs.Ear,8,6,0,10,31,4,0
apache.tools.ant.taskdefs.Get,10,3,0,7,57,9,2
apache.tools.ant.taskdefs.JDBCTask,26,3,1,9,56,20,1
apache.tools.ant.taskdefs.Parallel,19,3,0,8,52,9,1
apache.tools.ant.taskdefs.PathConvert,16,3,0,13,48,12,0
apache.tools.ant.taskdefs.Execute,30,1,0,34,111,22,3
apache.tools.ant.taskdefs.Rename,5,3,0,5,19,5,0
