name,wmc,dit,noc,cbo,rfc,npm,bug
apache.tools.ant.taskdefs.rmic.RmicAdapterFactory,3,1,0,10,18,1,0
apache.tools.ant.taskdefs.WaitFor,9,3,0,5,26,7,1
apache.tools.ant.types.resources.selectors.Date,13,1,0,7,28,12,0
apache.tools.ant.util.facade.FacadeTaskHelper,9,1,0,5,19,9,0
apache.tools.ant.types.selectors.DepthSelector,7,5,0,9,25,7,0
apache.tools.ant.taskdefs.LogStreamHandler,3,2,0,19,10,3,0
apache.tools.zip.JarMarker,9,1,0,3,12,8,0
apache.tools.ant.DemuxInputStream,3,2,0,2,5,3,0
apache.tools.ant.types.resources.comparators.FileSystem,3,4,0,5,11,1,1
apache.tools.ant.taskdefs.condition.TypeFound,5,2,0,7,14,4,0
apache.tools.ant.taskdefs.email.Message,11,2,0,7,26,11,0
apache.tools.ant.taskdefs.condition.IsSet,3,2,0,5,7,3,0
apache.tools.ant.types.selectors.BaseExtendSelector,4,4,8,12,5,3,0
apache.tools.ant.util.KeepAliveInputStream,2,3,0,1,3,2,0
apache.tools.ant.taskdefs.CallTarget,15,3,0,9,41,15,0
apache.tools.ant.taskdefs.DefBase,14,4,3,11,29,11,0
apache.tools.zip.ZipOutputStream,27,3,0,8,101,15,1
apache.tools.ant.taskdefs.condition.AntVersion,8,1,0,4,22,6,0
apache.tools.ant.util.LazyFileOutputStream,11,2,0,1,23,10,0
apache.tools.ant.util.LoaderUtils,10,1,0,10,29,8,0
apache.tools.ant.loader.AntClassLoader2,1,3,0,1,2,1,0
apache.tools.ant.taskdefs.rmic.ForkingSunRmic,3,2,1,12,22,2,0
apache.tools.ant.util.StringUtils,9,1,0,32,36,7,0
apache.tools.ant.types.Parameter,7,1,0,24,8,7,0
apache.tools.ant.DirectoryScanner,63,1,2,61,144,31,3
apache.tools.ant.taskdefs.LogOutputStream,6,3,2,20,13,3,0
apache.tools.ant.taskdefs.Apt,17,5,0,9,34,17,1
apache.tools.ant.taskdefs.MacroInstance,12,3,0,15,99,8,2
apache.tools.ant.DemuxOutputStream,10,2,0,3,30,5,0
apache.tools.ant.types.ZipScanner,2,3,0,9,20,1,1
apache.tools.ant.taskdefs.ExecTask,43,3,1,25,120,30,1
