filename,wmc,dit,noc,cbo,rfc,npm,bug
apache.camel.RuntimeTransformException,3,5,0,2,6,3,0
apache.camel.NoTypeConversionAvailableException,3,5,0,1,9,3,1
apache.camel.CamelException,4,3,3,5,8,4,1
apache.camel.NoSuchLanguageException,2,5,0,2,6,2,0
apache.camel.RuntimeCamelException,4,4,15,49,8,4,1
apache.camel.ExpectedBodyTypeException,3,5,0,4,10,3,0
apache.camel.FailedToCreateProducerException,2,5,0,3,7,2,1
apache.camel.ValidationException,1,5,2,6,2,1,0
apache.camel.RuntimeExchangeException,3,5,0,3,10,3,1
apache.camel.InvalidPayloadException,2,5,0,5,10,2,1
apache.camel.AlreadyStoppedException,1,4,0,2,2,1,1
apache.camel.NoSuchEndpointException,2,5,0,8,6,2,1
apache.camel.Route,11,1,3,12,16,10,2
apache.camel.InvalidHeaderTypeException,4,5,0,1,13,3,1
apache.camel.CamelTemplate,45,2,0,21,67,38,2
apache.camel.ResolveEndpointFailedException,2,5,0,2,7,2,0
apache.camel.InvalidTypeException,3,5,0,4,10,3,1
apache.camel.NoSuchPropertyException,5,5,0,5,13,3,1
apache.camel.CamelExchangeException,2,4,6,8,7,2,1
apache.camel.RuntimeExpressionException,3,5,1,4,6,3,0
apache.camel.builder.ProcessorBuilder,12,1,0,14,24,11,1
apache.camel.builder.LoggingErrorHandlerBuilder,9,2,0,9,13,9,0
apache.camel.builder.Builder,11,1,0,5,22,10,0
apache.camel.builder.ErrorHandlerBuilderSupport,3,1,3,6,10,2,1
apache.camel.builder.ExpressionClause,14,1,0,4,21,13,5
apache.camel.builder.DeadLetterChannelBuilder,28,2,0,18,49,28,1
apache.camel.builder.ConstantProcessorBuilder,2,1,0,3,3,2,1
apache.camel.builder.PredicateBuilder,18,1,0,21,36,17,0
apache.camel.builder.BuilderSupport,30,1,1,15,55,27,2
apache.camel.builder.DataTypeExpression,10,1,0,9,27,9,3
apache.camel.builder.ExpressionBuilder,28,1,0,35,57,27,3
apache.camel.builder.NoErrorHandlerBuilder,3,2,0,5,4,3,1
apache.camel.builder.RouteBuilder,19,2,3,17,44,15,3
apache.camel.builder.ValueBuilder,26,1,1,10,47,24,0
apache.camel.builder.xml.DomResultHandler,3,1,0,3,7,3,0
apache.camel.builder.xml.StringResultHandlerFactory,2,1,0,4,4,2,1
apache.camel.builder.xml.XPathLanguage,6,1,0,4,9,5,1
apache.camel.builder.xml.XPathBuilder,45,1,0,17,85,38,2
apache.camel.builder.xml.StringResultHandler,3,1,0,3,8,3,0
apache.camel.builder.xml.XsltBuilder,25,1,0,12,64,22,3
apache.camel.builder.xml.NamespaceBuilder,5,1,0,1,16,5,0
apache.camel.builder.xml.StreamResultHandler,3,1,0,3,8,3,0
apache.camel.builder.xml.DomResultHandlerFactory,2,1,0,4,4,2,2
apache.camel.builder.xml.DefaultNamespaceContext,8,1,0,1,36,8,0
apache.camel.builder.xml.MessageVariableResolver,6,1,0,5,27,5,2
apache.camel.builder.xml.InvalidXPathExpression,2,6,0,2,7,2,0
apache.camel.builder.xml.Namespaces,2,1,0,2,5,1,2
apache.camel.builder.xml.StreamResultHandlerFactory,2,1,0,4,4,2,2
apache.camel.component.bean.BeanComponent,10,3,0,13,25,6,3
apache.camel.component.bean.XPathAnnotationExpressionFactory,2,2,0,7,9,2,2
apache.camel.component.bean.BeanProcessor,13,2,0,22,47,10,9
apache.camel.component.bean.BeanInvocation,5,1,0,7,12,5,1
apache.camel.component.bean.CamelInvocationHandler,2,1,0,10,12,2,0
apache.camel.component.bean.DefaultParameterMappingStrategy,4,1,0,4,10,4,1
apache.camel.component.bean.DefaultAnnotationExpressionFactory,3,1,1,7,16,2,2
apache.camel.component.bean.BeanExchange,4,2,0,9,10,4,1
apache.camel.component.bean.NoBeanAvailableException,2,4,0,2,6,2,1
apache.camel.component.bean.MethodInfo,16,1,0,8,28,12,2
apache.camel.component.bean.AmbiguousMethodCallException,2,5,0,3,7,2,1
apache.camel.component.bean.BeanInfo,13,1,0,23,77,5,9
apache.camel.component.bean.ParameterInfo,5,1,0,4,6,5,2
apache.camel.component.bean.ProxyHelper,5,1,0,4,11,4,0
apache.camel.component.direct.DirectEndpoint,9,2,0,11,14,6,1
apache.camel.component.direct.DirectComponent,2,3,0,3,5,1,0
apache.camel.component.file.FileExchange,4,2,0,14,9,4,0
apache.camel.component.file.FileProducer,8,3,0,9,50,5,4
apache.camel.component.file.FileMessage,11,3,0,4,15,10,1
apache.camel.component.file.FileComponent,3,3,0,4,8,2,2
apache.camel.component.file.FileEndpoint,37,3,0,21,61,34,8
apache.camel.component.file.FileConsumer,16,4,0,14,52,7,6
apache.camel.component.file.strategy.FileProcessStrategySupport,10,1,3,12,29,6,1
apache.camel.component.file.strategy.RenameFileProcessStrategy,8,2,0,7,23,7,1
apache.camel.component.file.strategy.NoOpFileProcessStrategy,1,2,0,2,2,1,1
apache.camel.component.file.strategy.DeleteFileProcessStrategy,4,2,0,5,15,3,1
apache.camel.component.file.strategy.DefaultFileRenamer,9,1,0,3,20,7,0
apache.camel.component.jmx.JMXComponent,5,3,0,4,10,4,1
apache.camel.component.jmx.JMXEndpoint,22,2,0,13,44,20,2
apache.camel.component.jmx.JMXConsumer,2,3,0,6,7,2,2
apache.camel.component.jmx.JMXExchange,1,2,0,7,4,1,1
apache.camel.component.jmx.JMXMessage,9,3,0,4,12,9,1
apache.camel.component.log.LogComponent,4,3,0,9,15,1,2
apache.camel.component.mock.MockComponent,2,3,0,4,4,1,0
apache.camel.component.mock.AssertionClause,9,1,2,9,24,7,0
apache.camel.component.mock.MockEndpoint,47,2,0,23,100,38,7
apache.camel.component.ref.RefComponent,2,3,0,4,7,1,0
apache.camel.component.seda.SedaEndpoint,7,2,0,11,11,6,2
apache.camel.component.seda.SedaConsumer,6,2,0,11,23,3,2
apache.camel.component.seda.QueueComponent,2,4,0,3,5,1,0
apache.camel.component.seda.SedaComponent,3,3,2,5,6,2,1
apache.camel.component.timer.TimerEndpoint,18,2,0,8,25,18,1
apache.camel.component.timer.TimerComponent,4,3,0,3,22,2,0
apache.camel.component.timer.TimerConsumer,6,3,0,8,32,1,1
apache.camel.component.vm.VmComponent,6,4,0,4,23,1,4
apache.camel.converter.NIOConverter,12,1,0,3,35,11,1
apache.camel.converter.CollectionConverter,10,1,0,0,22,9,2
apache.camel.converter.IOConverter,22,1,0,6,52,20,1
apache.camel.converter.ObjectConverter,6,1,0,9,18,5,3
apache.camel.converter.jaxp.BytesSource,6,2,0,1,14,6,1
apache.camel.converter.jaxp.StringSource,7,2,0,1,17,7,2
apache.camel.converter.jaxp.XmlConverter,48,1,0,7,111,47,3
apache.camel.impl.DefaultLanguageResolver,4,1,0,8,18,2,1
apache.camel.impl.DefaultExchangeConverter,2,1,0,3,3,2,1
apache.camel.impl.DefaultComponent,12,2,24,36,28,7,3
apache.camel.impl.RouteContext,13,1,0,48,36,13,4
apache.camel.impl.DefaultPollingEndpoint,3,3,2,9,7,1,0
apache.camel.impl.PredicateSupport,4,1,6,8,12,3,0
apache.camel.impl.BinaryPredicateSupport,9,1,7,11,17,5,0
apache.camel.impl.DefaultScheduledPollConsumer,5,4,0,7,15,2,0
apache.camel.impl.CachingInjector,3,1,0,4,6,2,1
apache.camel.impl.DefaultProducer,7,2,17,22,11,5,0
apache.camel.impl.JndiRegistry,9,1,0,3,18,8,0
apache.camel.impl.LoggingExceptionHandler,3,1,0,9,8,3,1
apache.camel.impl.DefaultExchange,39,1,11,23,67,31,4
apache.camel.impl.DefaultUnitOfWork,6,1,0,4,17,6,1
apache.camel.impl.ScheduledPollConsumer,15,3,4,10,30,11,0
apache.camel.impl.DefaultComponentResolver,3,1,0,10,22,2,1
apache.camel.impl.NoPolicy,2,1,0,2,3,2,0
apache.camel.impl.ReflectionInjector,2,1,0,4,4,2,0
apache.camel.impl.DefaultCamelContext,52,2,1,36,112,38,7
apache.camel.impl.DefaultConsumer,10,2,12,22,21,7,3
apache.camel.impl.DefaultLifecycleStrategy,6,1,0,6,7,6,4
apache.camel.impl.ScheduledPollEndpoint,6,2,4,11,12,3,0
apache.camel.impl.DefaultMessage,12,2,9,15,25,10,1
apache.camel.impl.SerializationDataFormat,3,1,0,4,9,3,1
apache.camel.impl.PollingConsumerSupport,6,2,4,9,14,5,0
apache.camel.impl.ProcessorPollingConsumer,6,3,0,7,13,4,0
apache.camel.impl.MessageSupport,14,1,1,7,26,12,3
apache.camel.impl.NoRouteBuilder,4,3,0,1,5,3,0
apache.camel.impl.EventDrivenPollingConsumer,12,3,0,11,26,8,0
apache.camel.impl.EventDrivenConsumerRoute,5,2,0,7,13,4,0
apache.camel.impl.ServiceSupport,14,1,27,31,28,7,1
apache.camel.impl.ProcessorEndpoint,7,4,1,18,13,6,0
apache.camel.impl.DefaultEndpoint,19,1,15,32,38,16,4
apache.camel.impl.ExpressionSupport,6,1,2,6,14,5,1
apache.camel.impl.converter.DefaultTypeConverter,12,1,0,19,57,7,3
apache.camel.impl.converter.InstanceMethodTypeConverter,3,1,0,5,12,3,1
apache.camel.impl.converter.AsyncProcessorTypeConverter,3,1,0,16,7,3,2
apache.camel.impl.converter.AnnotationTypeConverterLoader,8,1,1,13,64,2,5
apache.camel.impl.converter.StaticMethodTypeConverter,3,1,0,3,9,3,0
apache.camel.impl.converter.ArrayTypeConverter,2,1,0,2,19,2,1
apache.camel.impl.converter.ToStringTypeConverter,2,1,0,2,5,2,0
apache.camel.impl.converter.EnumTypeConverter,2,1,0,4,12,2,1
apache.camel.impl.converter.PropertyEditorTypeConverter,2,1,0,3,11,2,1
apache.camel.language.ExpressionEvaluationException,2,5,0,4,3,2,1
apache.camel.language.IllegalSyntaxException,3,5,0,4,8,3,0
apache.camel.language.simple.SimpleLanguage,8,1,0,7,32,4,2
apache.camel.management.ManagedRoute,6,1,0,4,11,5,1
apache.camel.management.PerformanceCounter,9,2,0,4,16,9,0
apache.camel.management.ManagedEndpoint,3,1,0,3,5,3,1
apache.camel.management.InstrumentationLifecycleStrategy,9,1,0,20,27,8,9
apache.camel.management.CamelNamingStrategy,15,1,0,11,43,11,10
apache.camel.management.Counter,4,1,1,1,9,4,0
apache.camel.management.ManagedService,5,1,0,4,11,5,0
apache.camel.management.InstrumentationProcessor,2,3,0,4,8,1,3
apache.camel.management.InstrumentationAgentImpl,20,2,1,16,74,11,4
apache.camel.model.config.StreamResequencerConfig,10,1,0,3,16,10,1
apache.camel.model.config.BatchResequencerConfig,7,1,0,1,12,7,0
apache.camel.model.dataformat.ArtixDSDataFormat,13,2,0,5,18,12,0
apache.camel.model.dataformat.XMLBeansDataFormat,3,2,0,2,4,3,0
apache.camel.model.dataformat.DataFormatType,7,1,4,12,20,3,2
apache.camel.model.dataformat.SerializationDataFormat,2,2,0,5,4,1,1
apache.camel.model.dataformat.JaxbDataFormat,5,2,0,4,9,4,0
apache.camel.model.language.OgnlExpression,3,2,0,1,5,3,0
apache.camel.model.language.JavaScriptExpression,3,2,0,1,5,3,0
apache.camel.model.language.PythonExpression,3,2,0,1,5,3,0
apache.camel.model.language.HeaderExpression,3,2,0,1,5,3,0
apache.camel.model.language.RubyExpression,3,2,0,1,5,3,0
apache.camel.model.language.GroovyExpression,3,2,0,1,5,3,0
apache.camel.model.language.PhpExpression,3,2,0,1,5,3,0
apache.camel.model.language.LanguageExpression,4,2,0,2,6,4,0
apache.camel.model.language.ExpressionType,16,1,13,31,32,16,3
apache.camel.model.language.XPathExpression,3,2,0,1,5,3,1
apache.camel.model.language.SimpleExpression,3,2,0,1,5,3,1
apache.camel.model.language.SqlExpression,3,2,0,1,5,3,1
apache.camel.model.language.ELExpression,3,2,0,1,5,3,0
apache.camel.model.language.XQueryExpression,3,2,0,1,5,3,2
apache.camel.processor.ThreadProcessor,26,1,0,9,41,25,1
apache.camel.processor.Delayer,6,4,0,6,17,4,0
apache.camel.processor.DelegateAsyncProcessor,9,2,1,7,18,7,1
apache.camel.processor.Resequencer,7,3,0,8,18,4,0
apache.camel.processor.MulticastProcessor,8,2,1,8,23,5,5
apache.camel.processor.Aggregator,3,3,0,7,10,3,2
apache.camel.processor.FilterProcessor,4,3,0,9,12,4,1
apache.camel.processor.Pipeline,11,3,0,16,48,5,0
apache.camel.processor.SendProcessor,8,2,0,13,26,5,1
apache.camel.processor.MarshalProcessor,2,1,0,5,11,2,0
apache.camel.processor.DelegateProcessor,10,2,9,20,18,7,0
apache.camel.processor.DelayProcessorSupport,11,3,2,8,30,4,0
apache.camel.processor.Throttler,10,4,0,4,19,9,0
apache.camel.processor.TryProcessor,8,2,0,10,28,3,9
apache.camel.processor.ChoiceProcessor,7,2,0,7,25,5,2
apache.camel.processor.CompositeProcessor,6,2,0,4,17,4,0
apache.camel.processor.RecipientList,6,2,0,13,24,3,1
apache.camel.processor.ProceedProcessor,3,1,0,4,9,3,0
apache.camel.processor.LoggingErrorHandler,13,3,0,9,35,9,1
apache.camel.processor.Splitter,5,2,0,9,21,3,2
apache.camel.processor.ErrorHandlerSupport,4,2,2,10,19,2,2
apache.camel.processor.UnitOfWorkProcessor,2,3,0,8,8,2,1
apache.camel.processor.Logger,14,1,0,11,39,13,1
apache.camel.processor.DeadLetterChannel,22,3,0,20,65,15,7
apache.camel.processor.RedeliveryPolicy,26,1,0,5,38,25,0
apache.camel.processor.StreamResequencer,7,3,0,7,26,5,0
apache.camel.processor.UnmarshalProcessor,2,1,0,6,9,2,0
apache.camel.processor.BatchProcessor,17,2,2,12,45,11,4
apache.camel.processor.Interceptor,7,3,0,7,13,5,0
apache.camel.processor.CatchProcessor,4,3,0,6,14,4,1
