name,wmc,dit,noc,cbo,rfc,npm,bug
gnu.regexp.RETokenRepeated,7,2,0,4,21,0,0
gnu.regexp.REMatchEnumeration,6,1,0,3,11,5,0
bsh.BSHType,6,2,0,16,14,5,0
gnu.regexp.RETokenOneOf,5,2,0,5,22,0,0
bsh.BSHArrayDimensions,4,2,0,10,21,3,0
gjt.sp.jedit.options.StyleTableModel,8,2,0,6,19,6,0
gnu.regexp.CharIndexedString,4,1,0,2,7,3,0
bsh.BSHLHSPrimarySuffix,5,2,0,14,27,1,0
gjt.sp.jedit.options.DockingOptionPane,5,6,0,6,51,3,1
gjt.sp.jedit.options.WindowTableModel,11,2,0,7,30,9,0
bsh.Interpreter,51,1,0,58,132,42,0
gjt.sp.jedit.msg.CreateDockableWindow,7,2,0,6,15,7,0
gjt.sp.jedit.options.EditingOptionPane,3,6,0,4,23,1,3
gjt.sp.jedit.options.AbbrevsOptionPane,7,6,0,9,58,1,1
gnu.regexp.RETokenLookAhead,2,2,0,6,8,0,0
gnu.regexp.RESyntax,9,1,0,4,18,8,0
bsh.ReturnControl,1,1,0,10,2,1,0
bsh.BSHSwitchStatement,2,2,0,10,9,2,0
gjt.sp.jedit.io.FavoritesVFS,10,2,0,5,28,9,2
gjt.sp.jedit.options.GeneralOptionPane,3,6,0,4,34,1,0
bsh.Node,7,1,0,36,7,7,0
gjt.sp.jedit.options.ColorOptionPane,8,6,0,5,31,1,2
bsh.BSHBinaryExpression,4,2,0,12,21,1,0
bsh.This,11,1,2,14,30,7,0
bsh.BSHTryStatement,2,2,0,12,22,1,0
bsh.BSHWhileStatement,2,2,0,10,7,1,0
gjt.sp.jedit.proto.jeditresource.Handler,2,2,0,1,5,2,0
gjt.sp.jedit.options.BrowserOptionPane,3,6,0,3,17,3,2
bsh.Primitive,45,1,0,41,77,28,0
bsh.Reflect,36,1,0,23,109,14,0
gnu.regexp.CharUnit,1,1,0,1,2,0,0
bsh.Capabilities,7,1,0,5,12,6,0
bsh.ClassPathException,1,4,0,3,2,1,0
gjt.sp.jedit.options.PrintOptionPane,3,6,0,4,24,1,1
gjt.sp.jedit.msg.PropertiesChanged,1,3,0,8,2,1,0
gnu.regexp.REToken,8,1,13,15,9,0,0
gjt.sp.jedit.syntax.XModeHandler,19,2,0,11,75,8,2
gjt.sp.jedit.syntax.TokenMarker,10,1,0,10,46,7,1
gjt.sp.jedit.options.ColorTableModel,8,2,0,5,20,6,0
