filename,wmc,dit,noc,cbo,rfc,npm,bug
apache.log4j.BasicConfigurator,14,1,2,20,42,9,1
apache.log4j.DefaultCategoryFactory,2,1,0,4,4,1,0
apache.log4j.AppenderSkeleton,19,1,9,20,31,18,0
apache.log4j.AsyncAppender,12,2,0,9,39,12,5
apache.log4j.NDC,12,1,0,12,41,9,1
apache.log4j.Category,49,1,3,60,96,42,9
apache.log4j.SimpleLayout,6,2,0,6,12,6,0
apache.log4j.CategoryKey,4,1,0,1,11,2,0
apache.log4j.Layout,10,1,5,34,13,9,0
apache.log4j.TTCCLayout,8,3,0,7,25,8,0
apache.log4j.PropertyConfigurator,19,2,0,28,79,9,2
apache.log4j.ProvisionNode,1,4,0,2,3,0,0
apache.log4j.Hierarchy,12,1,0,21,43,9,2
apache.log4j.Dispatcher,2,2,0,4,11,1,0
apache.log4j.HTMLLayout,10,2,0,6,33,9,2
apache.log4j.Priority,10,1,2,40,13,8,1
apache.log4j.FileAppender,20,2,2,17,46,15,1
apache.log4j.PatternLayout,9,2,0,13,18,8,1
apache.log4j.RollingFileAppender,13,3,1,10,42,11,1
apache.log4j.gui.TextPaneAppender,19,2,0,10,69,13,0
apache.log4j.helpers.OnlyOnceErrorHandler,6,1,0,3,9,6,1
apache.log4j.helpers.BoundedFIFO,8,1,0,3,14,8,0
apache.log4j.helpers.TracerPrintWriter,5,3,1,5,9,5,0
apache.log4j.helpers.PatternConverter,6,1,5,9,10,2,0
apache.log4j.helpers.SyslogWriter,5,2,0,2,18,5,0
apache.log4j.helpers.AbsoluteTimeDateFormat,4,3,2,4,12,4,0
apache.log4j.helpers.Loader,4,1,0,0,15,4,3
apache.log4j.helpers.FileWatchdog,5,2,2,5,17,2,2
apache.log4j.helpers.CyclicBuffer,7,1,0,4,13,7,1
apache.log4j.helpers.DateTimeDateFormat,4,4,0,3,15,4,0
apache.log4j.helpers.SyslogQuietWriter,4,4,0,3,10,4,0
apache.log4j.helpers.PatternParser,8,1,0,15,41,2,1
apache.log4j.helpers.QuietWriter,4,3,2,9,12,4,0
apache.log4j.helpers.LogLog,7,1,0,28,16,6,2
apache.log4j.helpers.CountingQuietWriter,4,4,0,3,8,4,0
apache.log4j.helpers.NullEnumeration,5,1,0,1,7,3,0
apache.log4j.helpers.ISO8601DateFormat,4,4,0,3,12,4,0
apache.log4j.helpers.RelativeTimeDateFormat,3,3,0,1,7,3,0
apache.log4j.helpers.AppenderAttachableImpl,8,1,0,6,22,8,0
apache.log4j.helpers.FormattingInfo,3,1,0,9,10,1,0
apache.log4j.helpers.OptionConverter,13,1,0,22,54,10,3
apache.log4j.helpers.DateLayout,8,2,1,7,24,8,0
apache.log4j.net.SocketAppender,14,2,0,8,43,10,1
apache.log4j.net.SMTPAppender,13,2,0,9,62,8,3
apache.log4j.net.SimpleSocketServer,6,1,0,4,30,2,0
apache.log4j.net.SyslogAppender,12,2,0,10,35,11,2
apache.log4j.net.SocketServer,8,1,0,6,49,2,1
apache.log4j.net.DefaultEvaluator,2,1,0,4,4,1,0
apache.log4j.net.SyslogTracerPrintWriter,4,4,0,3,11,2,0
apache.log4j.net.JMSSink,5,1,0,7,31,2,0
apache.log4j.net.JMSAppender,10,2,0,5,35,7,0
apache.log4j.net.SocketNode,4,1,0,7,25,2,0
apache.log4j.nt.NTEventLogAppender,14,2,0,6,26,10,1
apache.log4j.or.MessageRenderer,2,1,0,3,22,2,0
apache.log4j.or.ThreadGroupRenderer,2,1,0,2,16,2,0
apache.log4j.or.DefaultRenderer,2,1,0,2,4,1,0
apache.log4j.or.RendererMap,9,1,0,5,19,7,0
apache.log4j.spi.RootCategory,3,2,0,4,6,3,0
apache.log4j.spi.LoggingEvent,9,1,0,53,27,6,2
apache.log4j.spi.Filter,5,1,3,8,6,5,1
apache.log4j.spi.LocationInfo,6,1,0,7,21,5,1
apache.log4j.varia.StringMatchFilter,4,2,0,3,8,4,0
apache.log4j.varia.PriorityMatchFilter,4,2,0,4,8,4,1
apache.log4j.varia.Roller,7,1,0,2,32,1,0
apache.log4j.varia.HUP,2,2,0,3,16,1,0
apache.log4j.varia.ResilientFileAppender,5,3,0,3,18,3,0
apache.log4j.varia.HUPNode,2,1,0,4,15,2,0
apache.log4j.varia.DenyAllFilter,4,2,0,2,5,4,0
apache.log4j.varia.ExternallyRolledFileAppender,4,4,0,6,20,4,0
apache.log4j.xml.XMLLayout,6,2,0,5,24,6,1
apache.log4j.xml.DOMConfigurator,22,2,0,19,95,8,3
apache.log4j.xml.XMLWatchdog,2,3,0,4,6,1,0
