filename,wmc,dit,noc,cbo,rfc,npm,bug
apache.velocity.VelocityContext,10,3,0,8,20,10,0
apache.velocity.Template,4,2,0,26,25,4,4
apache.velocity.anakia.AnakiaElement,12,3,0,8,30,11,0
apache.velocity.anakia.OutputWrapper,3,2,0,4,8,3,0
apache.velocity.anakia.XPathTool,4,1,0,6,10,4,0
apache.velocity.anakia.Escape,3,1,0,1,10,2,0
apache.velocity.anakia.TreeWalker,3,1,0,3,11,2,0
apache.velocity.anakia.NodeList,37,1,0,16,92,34,0
apache.velocity.anakia.AnakiaJDOMFactory,5,2,0,5,10,5,0
apache.velocity.anakia.AnakiaTask,15,4,0,22,89,11,0
apache.velocity.anakia.XPathCache,3,1,0,4,8,0,0
apache.velocity.app.VelocityEngine,28,1,0,18,68,28,3
apache.velocity.app.Velocity,25,1,0,18,65,25,2
apache.velocity.app.FieldMethodizer,7,1,0,1,26,6,1
apache.velocity.app.event.EventCartridge,15,1,0,18,27,15,2
apache.velocity.app.tools.VelocityFormatter,18,1,0,3,36,18,0
apache.velocity.context.InternalContextAdapterImpl,21,1,0,12,40,21,4
apache.velocity.context.VMContext,23,1,0,9,52,22,5
apache.velocity.context.AbstractContext,13,2,1,5,17,13,1
apache.velocity.context.InternalContextBase,13,1,1,7,23,12,2
apache.velocity.convert.WebMacro,10,1,0,3,40,4,0
apache.velocity.exception.ParseErrorException,9,5,0,30,19,9,1
apache.velocity.exception.MethodInvocationException,8,5,0,48,15,8,2
apache.velocity.exception.VelocityException,4,4,4,10,7,4,1
apache.velocity.exception.ResourceNotFoundException,3,5,0,35,6,3,1
apache.velocity.io.VelocityWriter,19,2,0,1,29,14,0
apache.velocity.runtime.RuntimeInstance,49,1,0,33,132,38,8
apache.velocity.runtime.Runtime,30,1,0,10,60,30,2
apache.velocity.runtime.RuntimeSingleton,39,1,0,18,76,38,3
apache.velocity.runtime.VelocimacroFactory,13,1,0,14,51,6,7
apache.velocity.runtime.VelocimacroManager,14,1,0,5,26,7,5
apache.velocity.runtime.directive.VMProxyArg,11,1,0,13,40,10,2
apache.velocity.runtime.directive.Literal,5,2,0,5,10,5,0
apache.velocity.runtime.directive.MacroParseException,6,4,0,5,14,5,2
apache.velocity.runtime.directive.Parse,4,3,0,11,30,4,3
apache.velocity.runtime.directive.Include,7,3,0,11,31,5,2
apache.velocity.runtime.directive.VelocimacroProxy,15,2,0,19,50,12,8
apache.velocity.runtime.directive.Macro,10,2,0,13,39,7,3
apache.velocity.runtime.directive.Foreach,5,2,0,16,32,5,9
apache.velocity.runtime.directive.InputBase,2,2,2,6,6,1,0
apache.velocity.runtime.directive.Directive,8,1,5,19,9,8,1
apache.velocity.runtime.log.VelocityFormatter,2,2,0,2,5,1,0
apache.velocity.runtime.log.LogManager,3,1,0,9,32,2,2
apache.velocity.runtime.log.PrimordialLogSystem,3,2,0,4,7,3,0
apache.velocity.runtime.log.NullLogSystem,2,2,0,2,3,2,0
apache.velocity.runtime.log.SimpleLog4JLogSystem,6,1,0,8,30,4,0
apache.velocity.runtime.log.Log4JLogSystem,2,2,0,2,4,2,0
apache.velocity.runtime.log.AvalonLogSystem,2,2,0,2,4,2,0
apache.velocity.runtime.parser.JJTParserState,12,1,0,2,25,0,1
apache.velocity.runtime.parser.Token,3,1,0,24,4,3,0
apache.velocity.runtime.parser.VelocityCharStream,24,1,0,2,36,21,3
apache.velocity.runtime.parser.ParseException,5,3,2,16,18,4,0
apache.velocity.runtime.parser.ParserTokenManager,90,1,0,5,123,10,5
apache.velocity.runtime.parser.Parser,152,1,0,66,245,50,10
apache.velocity.runtime.parser.TokenMgrError,6,3,0,2,19,4,0
apache.velocity.runtime.visitor.VMReferenceMungeVisitor,2,2,0,4,8,2,2
apache.velocity.runtime.visitor.NodeViewMode,43,2,0,44,52,41,1
apache.velocity.runtime.visitor.BaseVisitor,44,1,2,45,86,44,1
apache.velocity.servlet.VelocityServlet,18,3,0,10,62,6,0
apache.velocity.texen.Generator,25,1,0,7,78,17,0
apache.velocity.texen.ant.TexenTask,22,3,0,12,84,20,0
apache.velocity.texen.util.PropertiesUtil,4,1,0,1,25,2,0
apache.velocity.texen.util.FileUtil,4,1,0,0,12,4,0
apache.velocity.util.EnumerationIterator,4,1,0,1,7,4,0
apache.velocity.util.ArrayIterator,4,1,0,1,16,4,0
apache.velocity.util.StringUtils,24,1,0,12,74,23,1
apache.velocity.util.SimplePool,5,1,0,2,6,4,0
apache.velocity.util.introspection.ClassMap,5,1,0,8,31,3,3
apache.velocity.util.introspection.UberspectImpl,8,1,1,25,37,8,9
apache.velocity.util.introspection.Info,6,1,1,16,12,5,2
apache.velocity.util.introspection.Introspector,4,2,1,16,16,4,3
apache.velocity.util.introspection.IntrospectionCacheData,1,1,0,7,2,1,0
apache.velocity.util.introspection.IntrospectorBase,9,1,1,7,17,4,3
apache.velocity.util.introspection.MethodMap,11,1,0,2,37,4,4
