filename,wmc,dit,noc,cbo,rfc,npm,bug
apache.xalan.extensions.ExtensionsTable,7,1,0,9,25,7,1
apache.xalan.extensions.ExtensionHandlerGeneral,8,2,0,15,54,6,2
apache.xalan.extensions.ExtensionNamespaceSupport,3,1,0,5,12,3,0
apache.xalan.extensions.XSLProcessorContext,7,1,1,26,49,7,1
apache.xalan.extensions.ExtensionNamespacesManager,9,1,0,7,29,8,1
apache.xalan.extensions.ExtensionHandler,9,1,3,12,18,6,1
apache.xalan.extensions.ExtensionHandlerJavaPackage,7,3,0,10,47,6,1
apache.xalan.extensions.MethodResolver,13,1,0,11,70,6,0
apache.xalan.extensions.ExtensionHandlerExsltFunction,9,2,0,15,33,7,1
apache.xalan.extensions.ExtensionHandlerJava,3,2,2,3,7,2,1
apache.xalan.extensions.ExtensionHandlerJavaClass,7,3,0,9,43,6,1
apache.xalan.extensions.ExpressionVisitor,2,2,0,7,6,2,2
apache.xalan.lib.NodeInfo,9,1,0,3,20,9,0
apache.xalan.lib.ExsltDatetime,45,1,0,3,83,37,2
apache.xalan.lib.Extensions,13,1,0,11,54,9,1
apache.xalan.lib.ExsltMath,20,2,0,2,48,19,1
apache.xalan.lib.ExsltCommon,3,1,0,6,6,3,2
apache.xalan.lib.ExsltSets,7,2,0,4,23,7,1
apache.xalan.lib.PipeDocument,3,1,0,10,46,3,1
apache.xalan.lib.Redirect,7,1,0,12,45,4,0
apache.xalan.lib.sql.XConnection,34,1,0,12,127,28,1
apache.xalan.lib.sql.SQLErrorDocument,4,5,0,4,13,2,0
apache.xalan.lib.sql.QueryParameter,5,1,0,1,6,5,1
apache.xalan.lib.sql.PooledConnection,5,1,0,1,9,5,1
apache.xalan.lib.sql.ConnectionPoolManager,6,1,0,3,16,5,1
apache.xalan.lib.sql.SQLDocument,10,5,0,7,53,5,0
apache.xalan.lib.sql.DefaultConnectionPool,20,1,0,4,53,16,1
apache.xalan.lib.sql.ObjectArray,7,1,0,3,19,6,1
apache.xalan.lib.sql.DTMDocument,96,4,2,15,197,66,1
apache.xalan.processor.ProcessorLRE,4,5,0,17,77,3,1
apache.xalan.processor.ProcessorTemplate,2,5,0,6,8,0,0
apache.xalan.processor.StylesheetPIHandler,6,2,0,3,26,6,1
apache.xalan.processor.ProcessorUnknown,3,5,0,3,4,3,2
apache.xalan.processor.ProcessorOutputElem,14,4,0,9,40,13,0
apache.xalan.processor.ProcessorCharacters,5,4,0,9,31,4,0
apache.xalan.processor.XSLTElementDef,37,1,1,8,57,0,0
apache.xalan.processor.ProcessorKey,3,4,0,10,34,1,0
apache.xalan.processor.ProcessorAttributeSet,3,4,0,7,19,2,0
apache.xalan.processor.TransformerFactoryImpl,24,3,0,22,99,20,0
apache.xalan.processor.ProcessorStripSpace,2,5,0,8,14,1,0
apache.xalan.processor.StopParseException,1,4,0,2,2,0,1
apache.xalan.processor.ProcessorGlobalVariableDecl,3,5,0,6,10,1,0
apache.xalan.processor.StylesheetHandler,70,2,0,46,152,33,4
apache.xalan.processor.XSLTSchema,6,2,0,27,47,2,1
apache.xalan.processor.ProcessorDecimalFormat,2,4,0,6,9,1,2
apache.xalan.processor.ProcessorStylesheetElement,3,4,0,9,29,2,0
apache.xalan.processor.ProcessorNamespaceAlias,2,4,0,6,17,1,0
apache.xalan.processor.ProcessorText,3,5,0,7,10,2,0
apache.xalan.processor.ProcessorGlobalParamDecl,3,5,0,6,10,1,0
apache.xalan.processor.WhitespaceInfoPaths,4,5,0,4,6,3,0
apache.xalan.processor.ProcessorInclude,7,4,1,11,47,3,0
apache.xalan.processor.ProcessorImport,3,5,0,2,4,0,0
apache.xalan.processor.ProcessorExsltFuncResult,2,5,0,8,8,2,1
apache.xalan.processor.ProcessorPreserveSpace,2,4,1,9,14,1,0
apache.xalan.processor.ProcessorStylesheetDoc,1,4,0,2,2,1,1
apache.xalan.processor.ProcessorExsltFunction,6,5,0,26,27,4,2
apache.xalan.processor.XSLTElementProcessor,15,3,11,20,48,10,1
apache.xalan.processor.ProcessorTemplateElem,4,4,8,14,23,3,1
apache.xalan.processor.XSLProcessorVersion,3,1,0,2,9,2,1
apache.xalan.processor.XSLTAttributeDef,43,1,0,14,93,1,2
apache.xalan.res.XSLTErrorResources,5,3,10,10,16,3,2
apache.xalan.res.XSLMessages,4,3,0,68,7,3,1
apache.xalan.serialize.SerializerFactory,2,1,0,4,5,1,0
apache.xalan.templates.ElemAttributeSet,8,4,0,10,24,8,2
