Defect models,projects' category,Tr version,Ts version,Iterations,Precision,Recall,F1,ACC,MCC,AUC
MLMNB1,ant,ant-1.6.csv,ant-1.7.csv,0,0.65,0.62,0.63,0.81,0.51,0.75
MLMNB1,camel,camel-1.2.csv,camel-1.4.csv,0,0.51,0.23,0.32,0.65,0.14,0.55
MLMNB1,ivy,ivy-1.4.csv,ivy-2.0.csv,0,0.17,0.44,0.25,0.82,0.19,0.64
MLMNB1,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.65,0.49,0.56,0.74,0.39,0.68
MLMNB1,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.61,0.59,0.6,0.8,0.46,0.73
MLMNB1,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.64,0.67,0.65,0.67,0.33,0.67
MLMNB1,poi,poi-2.5.csv,poi-3.0.csv,0,0.82,0.69,0.75,0.7,0.4,0.71
MLMNB1,synapse,synapse-1.1.csv,synapse-1.2.csv,0,0.46,0.5,0.48,0.71,0.28,0.64
MLMNB1,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.27,0.67,0.39,0.68,0.26,0.68
MLMNB1,xerces,xerces-1.2.csv,xerces-1.3.csv,0,0.23,0.32,0.27,0.71,0.1,0.56
