Defect models,projects' category,Tr version,Ts version,Iterations,Precision,Recall,F1,ACC,MCC,AUC
Random Forest,ant,ant-1.6.csv,ant-1.7.csv,0,0.74,0.6,0.66,0.81,0.54,0.75
Random Forest,camel,camel-1.2.csv,camel-1.4.csv,0,0.48,0.8,0.6,0.63,0.32,0.67
Random Forest,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.42,0.56,0.48,0.82,0.38,0.71
Random Forest,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.71,0.68,0.69,0.74,0.46,0.73
Random Forest,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.66,0.63,0.64,0.57,0.11,0.56
Random Forest,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.52,0.73,0.61,0.47,-0.14,0.44
Random Forest,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.63,0.14,0.23,0.36,-0.04,0.48
Naive Bayes,ant,ant-1.6.csv,ant-1.7.csv,0,0.71,0.51,0.59,0.79,0.47,0.71
Naive Bayes,camel,camel-1.2.csv,camel-1.4.csv,0,0.64,0.58,0.61,0.74,0.42,0.7
Naive Bayes,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.19,0.8,0.31,0.49,0.17,0.62
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.9,0.76,0.83,0.86,0.72,0.85
Naive Bayes,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.79,0.47,0.59,0.6,0.27,0.63
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.52,0.78,0.62,0.47,-0.17,0.44
Naive Bayes,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.75,0.18,0.29,0.41,0.07,0.53
Logistic Regression,ant,ant-1.6.csv,ant-1.7.csv,0,0.74,0.45,0.56,0.78,0.45,0.69
Logistic Regression,camel,camel-1.2.csv,camel-1.4.csv,0,0.46,0.84,0.59,0.6,0.3,0.65
Logistic Regression,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.35,0.32,0.33,0.81,0.22,0.61
Logistic Regression,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.68,0.6,0.64,0.7,0.39,0.69
Logistic Regression,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.75,0.58,0.66,0.63,0.27,0.64
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.54,0.88,0.67,0.51,-0.1,0.47
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.81,0.11,0.2,0.38,0.09,0.53
