filename,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
bsh.Capabilities,7,1,0,0,12,13,5,0,6,0.5,64,1.0,0,0.0,0.166666667,0,0,7.857142857,4,1.5714,0
bsh.ReturnControl,1,1,0,1,2,0,9,1,1,2.0,12,0.0,0,0.0,1.0,0,0,9.0,0,0.0,0
bsh.SimpleNode,19,1,35,7,31,147,46,7,19,0.8888888890000001,239,0.5,4,0.0,0.233082707,0,0,11.26315789,4,1.5263,0
bsh.JThis,86,0,0,8,95,3655,0,8,84,2.0,686,0.0,0,0.10526315800000001,0.05620155,0,0,6.976744186,3,1.0233,0
bsh.BshClassManager,26,1,0,3,38,311,7,3,23,0.8733333329999999,177,1.0,1,0.0,0.16,0,0,5.576923077000001,3,1.1923,0
bsh.LHS,8,1,0,9,32,0,8,9,3,0.7662337659999999,351,0.0,1,0.0,0.375,0,0,41.5,1,0.375,0
bsh.BSHMethodInvocation,2,0,0,11,19,1,1,11,1,2.0,89,0.0,0,0.947368421,0.625,1,1,43.5,1,0.5,0
bsh.Parser,407,1,0,47,494,0,1,47,83,0.7220689659999999,23683,0.8,8,0.0,0.18386568399999997,0,0,57.12776413,28,4.8894,0
bsh.BSHArguments,2,0,0,5,6,1,5,5,1,2.0,30,0.0,0,0.947368421,0.625,0,0,14.0,1,0.5,0
bsh.BSHStatementExpressionList,2,0,0,6,6,1,1,6,1,2.0,28,0.0,0,0.947368421,0.625,1,1,13.0,1,0.5,0
bsh.ParserTokenManager,50,1,0,4,66,3,1,4,6,0.75170068,6336,0.166666667,1,0.0,0.5,0,0,125.24,84,6.72,0
bsh.BSHSwitchLabel,2,0,0,5,5,1,2,5,2,1.0,22,0.0,0,0.947368421,0.625,1,1,9.5,1,0.5,0
bsh.BSHArrayInitializer,4,0,0,7,24,6,3,7,2,2.0,171,0.0,0,0.857142857,0.583333333,1,1,41.75,1,0.75,0
bsh.BSHLHSPrimaryExpression,2,0,0,8,9,1,3,8,1,2.0,65,0.0,0,0.947368421,0.625,0,0,31.5,1,0.5,0
bsh.BSHTypedVariableDeclaration,3,0,0,10,13,3,1,10,1,1.0,102,0.0,0,0.9,0.444444444,1,1,32.66666667,6,2.3333,0
bsh.BSHLHSPrimarySuffix,5,0,0,13,24,10,2,13,1,1.071428571,159,0.0,0,0.818181818,0.72,0,0,29.4,1,0.8,0
bsh.TargetError,11,0,0,5,26,33,14,5,11,0.45,141,0.0,0,0.764705882,0.363636364,1,2,11.63636364,2,1.0,0
bsh.BlockNameSpace,7,0,0,4,18,21,2,4,5,2.0,63,0.0,0,0.8888888890000001,0.4,0,0,8.0,2,1.0,0
bsh.Interpreter,54,1,0,21,139,1019,45,21,45,0.7857935629999999,1472,0.117647059,5,0.0,0.134433962,0,0,25.94444444,33,1.6296,0
bsh.BSHPrimarySuffix,6,0,0,14,38,15,3,14,1,1.114285714,283,0.0,0,0.7826086959999999,0.611111111,0,0,45.0,1,0.8333,0
bsh.BSHThrowStatement,2,0,0,6,7,1,1,6,1,2.0,30,0.0,0,0.947368421,0.625,1,1,14.0,1,0.5,0
bsh.BSHImportDeclaration,2,0,0,9,9,1,1,9,1,1.0,36,0.0,0,0.947368421,0.625,1,1,16.0,1,0.5,0
bsh.ASCII_UCodeESC_CharStream,27,1,0,0,40,25,3,0,21,0.529411765,1278,0.705882353,0,0.0,0.296296296,0,0,45.7037037,7,1.5556,0
bsh.BSHBinaryExpression,4,0,0,11,21,6,1,11,1,1.0,279,0.0,0,0.857142857,0.45,1,1,68.5,4,2.25,0
bsh.BSHWhileStatement,2,0,0,9,7,1,1,9,1,1.0,80,0.0,0,0.947368421,0.625,1,1,38.5,1,0.5,0
bsh.ReflectManager,4,1,0,2,11,6,2,2,4,0.666666667,36,1.0,1,0.0,0.5,0,0,7.75,2,1.0,0
bsh.InterpreterError,1,4,0,0,2,0,17,0,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,0
bsh.BSHTryStatement,2,0,0,11,22,1,1,11,1,2.0,186,0.0,0,0.947368421,0.625,1,2,92.0,1,0.5,0
bsh.JJTParserState,12,1,0,1,25,0,2,1,0,0.436363636,212,1.0,0,0.0,0.39583333299999995,0,0,16.25,3,1.3333,0
bsh.TokenMgrError,6,3,0,0,20,15,2,0,4,1.12,183,0.0,0,0.85,0.5,1,1,28.66666667,14,2.8333,0
bsh.BSHLiteral,5,0,0,6,20,4,1,6,2,0.5,155,0.0,0,0.818181818,0.36666666700000006,0,0,29.8,10,3.8,0
bsh.BSHArrayDimensions,4,0,0,8,22,2,2,8,3,0.5555555560000001,173,0.333333333,0,0.857142857,0.5,1,1,41.5,1,0.75,0
bsh.CommandLineReader,4,3,0,0,8,4,1,0,4,1.0,83,0.0,0,0.857142857,0.35,2,2,18.75,1,0.75,0
bsh.Name,19,1,0,15,72,91,6,15,9,0.708333333,1245,0.75,1,0.0,0.274853801,0,0,64.10526316,5,1.6316,0
bsh.NameSpace,54,1,1,18,138,1259,37,18,38,0.938903863,1694,0.80952381,4,0.0,0.110987791,0,0,29.98148148,6,1.6296,0
bsh.ClassPathException,1,0,0,1,2,0,2,1,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,0
bsh.BSHBlock,3,0,0,9,10,3,5,9,2,2.0,63,0.0,0,0.9,0.6,1,1,20.0,1,0.6667,0
bsh.BSHReturnType,2,0,0,6,5,1,2,6,1,1.0,19,0.0,0,0.947368421,0.666666667,0,0,8.0,1,0.5,0
bsh.BSHIfStatement,3,0,0,7,10,3,4,7,2,2.0,79,0.0,0,0.9,0.533333333,1,1,25.33333333,1,0.6667,0
bsh.CallStack,11,1,0,2,25,0,38,2,11,0.0,135,1.0,0,0.0,0.484848485,0,0,11.18181818,2,1.1818,0
bsh.ParseException,11,0,0,2,24,23,2,2,10,0.533333333,504,0.333333333,1,0.764705882,0.272727273,2,4,44.27272727,14,3.2727,0
bsh.BSHFormalParameter,3,0,0,6,7,1,3,6,1,1.0,30,0.0,0,0.947368421,0.666666667,1,2,8.0,1,0.3333,0
bsh.BSHForStatement,2,0,0,11,10,1,1,11,1,1.125,138,0.625,4,0.947368421,0.625,1,1,64.0,1,0.5,0
bsh.This,10,1,2,8,26,15,10,8,7,0.5555555560000001,163,0.0,3,0.0,0.26666666699999997,0,0,15.0,3,1.1,0
bsh.Reflect,37,1,0,15,112,666,12,15,14,2.0,1583,0.0,0,0.0,0.153846154,0,0,41.78378378,28,3.0811,0
bsh.BSHType,6,0,0,8,14,3,8,8,5,0.666666667,93,1.0,0,0.7826086959999999,0.444444444,0,0,14.0,1,0.8333,0
bsh.BSHAmbiguousName,7,0,0,8,17,19,8,8,6,0.333333333,52,0.0,0,0.75,0.457142857,1,1,6.285714286,1,0.8571,0
bsh.Token,3,1,0,0,4,3,5,0,2,1.4375,23,0.0,2,0.0,0.5,0,0,4.0,2,1.0,0
bsh.BSHMethodDeclaration,3,0,0,10,15,1,2,10,2,0.875,132,0.0,2,0.9,0.5555555560000001,1,3,41.66666667,1,0.6667,0
bsh.BSHVariableDeclarator,2,0,0,8,9,1,2,8,1,2.0,40,0.0,0,0.947368421,0.6,1,2,18.5,1,0.5,0
