filename,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
apache.log4j.BasicConfigurator,14,1,1.1,11,42,91,9,11,9,1.051282051,247,0.0,0,0.0,0.134615385,0,0,16.42857143,3,1.2857,1
apache.log4j.DefaultCategoryFactory,2,1,0.0,2,4,1,2,2,1,2.0,10,0.0,0,0.0,0.75,0,0,4.0,1,0.5,0
apache.log4j.AppenderSkeleton,19,1,2.0,9,31,131,11,9,18,0.9097222220000001,181,0.875,5,0.0,0.21052631600000002,0,0,8.105263158,4,1.4211,0
apache.log4j.AsyncAppender,12,0,0.0,9,39,14,0,9,12,0.8636363640000001,174,0.0,3,0.620689655,0.375,2,3,13.0,4,1.3333,5
apache.log4j.NDC,12,1,0.0,2,41,0,10,2,9,0.666666667,275,0.0,0,0.0,0.090909091,0,0,21.66666667,6,2.25,1
apache.log4j.Category,49,1,0.0,12,97,688,53,12,42,0.828947368,800,0.473684211,5,0.0,0.15064102599999998,0,0,14.93877551,6,2.1429,9
apache.log4j.SimpleLayout,6,0,0.0,3,12,13,3,3,6,0.8,54,0.0,0,0.615384615,0.444444444,0,0,7.833333333,1,0.8333,0
apache.log4j.CategoryKey,4,1,0.0,0,11,2,1,0,2,0.7777777779999999,61,0.0,0,0.0,0.5,1,1,13.5,6,2.0,0
apache.log4j.Layout,10,1,3.0,2,13,45,32,2,9,1.0,28,0.0,0,0.0,0.40740740700000005,0,0,1.6,1,0.8,0
apache.log4j.TTCCLayout,8,0,0.0,5,25,0,2,5,8,0.7959183670000001,217,0.571428571,0,0.7142857140000001,0.40625,1,1,25.25,5,1.625,0
apache.log4j.PropertyConfigurator,19,0,0.0,14,80,153,16,14,9,0.939814815,754,0.25,1,0.4,0.257309942,1,1,38.05263158,10,2.4211,2
apache.log4j.ProvisionNode,1,4,0.0,1,3,0,1,1,0,2.0,7,0.0,0,1.0,1.0,0,0,6.0,0,0.0,0
apache.log4j.Hierarchy,12,1,0.0,7,43,24,15,7,9,0.704545455,346,0.25,3,0.0,0.272727273,0,0,27.5,6,2.1667,2
apache.log4j.Dispatcher,2,2,0.0,3,11,0,1,3,1,0.0,67,0.0,2,0.983870968,0.666666667,0,0,31.5,5,2.5,0
apache.log4j.HTMLLayout,10,0,0.0,6,33,33,0,6,9,0.933333333,321,0.6,0,0.470588235,0.325,1,1,30.6,5,1.7,2
apache.log4j.Priority,10,1,0.0,0,13,15,40,0,8,0.8119658120000001,169,0.0,5,0.0,0.333333333,0,0,14.6,7,2.1,1
apache.log4j.FileAppender,20,0,1.0,8,47,58,9,8,15,0.649122807,413,0.666666667,2,0.545454545,0.2375,1,3,19.2,7,1.65,1
apache.log4j.PatternLayout,9,0,0.0,4,18,30,9,4,8,0.9375,114,0.625,1,0.533333333,0.518518519,0,0,10.77777778,3,1.2222,1
apache.log4j.RollingFileAppender,13,0,0.0,8,41,0,2,8,11,0.729166667,289,0.5,0,0.804878049,0.247863248,1,10,20.92307692,5,1.2308,1
apache.log4j.gui.TextPaneAppender,23,0,0.0,8,73,129,2,8,13,0.885964912,675,0.10526315800000001,2,0.514285714,0.233082707,1,3,33.52631579,11,2.1579,0
apache.log4j.helpers.OnlyOnceErrorHandler,6,1,0.0,2,9,9,1,2,6,0.8666666670000001,44,0.0,0,0.0,0.45833333299999995,0,0,5.833333333,2,1.1667,1
apache.log4j.helpers.BoundedFIFO,8,1,0.0,1,14,0,2,1,8,0.571428571,146,0.0,1,0.0,0.41666666700000005,0,0,16.625,3,1.75,0
apache.log4j.helpers.TracerPrintWriter,5,3,0.0,2,9,0,3,2,5,0.0,43,1.0,1,0.93442623,0.4,1,1,7.4,1,0.8,0
apache.log4j.helpers.PatternConverter,6,1,0.0,2,10,7,7,2,2,0.72,174,0.0,1,0.0,0.44,0,0,27.16666667,6,1.8333,0
