filename,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
apache.tools.ant.NoBannerLogger,4.0,3.0,0.0,8.0,16.0,0,0,4,8.0,0.333333333,59,1.0,0,0.842105263,0.875,1,1,13.5,5,1.75,0
apache.tools.ant.PathTokenizer,3.0,2.0,0.0,9.0,17.0,0,2,1,2.0,0.25,204,1.0,0,0.0,0.666666667,0,0,65.66666667,2,1.0,0
apache.tools.ant.AntTypeDefinition,20.0,2.0,0.0,16.0,54.0,112,7,4,15.0,0.684210526,543,0.857142857,0,0.0,0.316666667,0,0,25.8,11,3.0,0
apache.tools.ant.DefaultLogger,16.0,2.0,3.0,17.0,42.0,80,6,7,11.0,0.876190476,341,0.857142857,0,0.0,0.28571428600000004,0,0,19.875,8,1.75,1
apache.tools.ant.IntrospectionHelper,33.0,2.0,0.0,50.0,111.0,420,19,25,22.0,0.9027777779999999,1585,0.333333333,0,0.0,0.28125,0,0,46.21212121,17,2.1818,3
apache.tools.ant.Main,23.0,2.0,0.0,39.0,133.0,173,1,14,4.0,0.751196172,1964,0.894736842,0,0.0,0.144628099,0,0,83.56521739,50,4.3913,0
apache.tools.ant.ProjectComponent,5.0,2.0,11.0,5.0,9.0,4,128,1,4.0,0.25,37,1.0,1,0.0,0.45,0,0,6.2,3,1.2,1
apache.tools.ant.TaskAdapter,7.0,4.0,0.0,17.0,28.0,15,2,5,22.0,0.833333333,237,0.5,0,0.860465116,0.28571428600000004,1,1,32.57142857,1,0.8571,0
apache.tools.ant.BuildEvent,11.0,2.0,0.0,5.0,15.0,13,9,4,8.0,0.75,97,1.0,3,0.2,0.22077922100000003,0,0,7.272727272999999,1,0.7273,0
apache.tools.ant.DirectoryScanner,53.0,2.0,1.0,27.0,143.0,1112,28,9,27.0,0.842657343,1739,1.0,2,0.0,0.244505495,0,0,31.39622642,23,2.8113,2
apache.tools.ant.DemuxOutputStream,10.0,2.0,0.0,9.0,37.0,27,1,3,4.0,0.761904762,252,1.0,1,0.35714285700000004,0.283333333,1,1,23.5,2,1.0,0
apache.tools.ant.PropertyHelper,20.0,2.0,0.0,9.0,58.0,74,2,2,18.0,0.6,721,1.0,2,0.0,0.28125,0,0,34.8,7,2.4,1
apache.tools.ant.DemuxInputStream,3.0,2.0,0.0,4.0,5.0,0,1,1,2.0,0.0,34,1.0,1,0.818181818,0.5,1,2,10.0,1,0.6667,0
apache.tools.ant.MagicNames,1.0,2.0,0.0,2.0,2.0,0,0,0,0.0,2.0,6,0.0,0,0.0,1.0,0,0,3.0,0,0.0,0
apache.tools.ant.AntClassLoader,49.0,2.0,1.0,35.0,150.0,926,18,8,26.0,0.8833333329999999,1512,0.7,1,0.44155844200000005,0.16346153800000002,1,5,29.44897959,12,1.9796,10
apache.tools.ant.Task,30.0,3.0,59.0,11.0,67.0,361,135,7,19.0,0.86637931,318,1.0,4,0.236842105,0.195833333,1,3,9.333333332999999,4,1.2,1
apache.tools.ant.Location,8.0,2.0,0.0,7.0,21.0,18,79,1,3.0,0.428571429,99,0.75,1,0.0,0.39285714299999996,0,0,10.875,3,0.625,0
apache.tools.ant.Project,100.0,2.0,0.0,50.0,272.0,4576,193,23,86.0,0.9795008909999999,2015,0.588235294,4,0.0,0.090869565,0,0,18.81,7,1.4,5
apache.tools.ant.Diagnostics,17.0,2.0,0.0,24.0,71.0,130,1,4,5.0,0.921875,630,0.25,0,0.0,0.129411765,0,0,35.82352941,4,2.1176,1
apache.tools.ant.ComponentHelper,34.0,2.0,0.0,38.0,149.0,283,8,16,23.0,0.80952381,1255,0.7857142859999999,3,0.0,0.19607843100000003,0,0,35.5,10,2.5882,2
apache.tools.ant.BuildException,15.0,2.0,0.0,8.0,31.0,0,242,1,8.0,0.39285714299999996,157,1.0,1,0.6190476189999999,0.322222222,1,3,9.333333332999999,2,0.6667,0
apache.tools.ant.ExitException,3.0,2.0,0.0,3.0,8.0,0,2,0,1.0,0.0,28,1.0,0,0.9285714290000001,0.666666667,0,0,8.0,1,0.3333,0
apache.tools.ant.RuntimeConfigurable,21.0,2.0,0.0,26.0,71.0,112,12,8,18.0,0.8,502,1.0,1,0.0,0.18095238100000002,0,0,22.38095238,12,2.0,1
apache.tools.ant.XmlLogger,16.0,2.0,0.0,36.0,77.0,50,0,13,11.0,0.9370370370000001,635,1.0,1,0.0,0.288888889,0,0,37.5625,9,2.6875,0
apache.tools.ant.UnknownElement,28.0,4.0,0.0,25.0,102.0,246,17,14,27.0,0.771604938,817,1.0,0,0.578125,0.24107142899999998,1,5,27.96428571,16,2.4286,4
apache.tools.ant.Target,23.0,2.0,0.0,19.0,63.0,147,28,6,18.0,0.805194805,441,1.0,1,0.0,0.313043478,0,0,17.86956522,8,1.8696,2
apache.tools.ant.ProjectHelper,18.0,2.0,2.0,26.0,73.0,151,16,9,16.0,1.039215686,413,0.166666667,0,0.0,0.152777778,0,0,21.61111111,4,1.5,1
apache.tools.ant.filters.BaseParamFilterReader,4.0,3.0,11.0,3.0,7.0,4,11,3,4.0,0.666666667,22,1.0,1,0.9285714290000001,0.5,0,0,4.25,1,0.5,0
apache.tools.ant.filters.StripLineComments,8.0,4.0,0.0,9.0,31.0,0,1,5,7.0,0.571428571,172,1.0,0,0.8235294120000001,0.375,2,5,20.125,4,1.125,0
apache.tools.ant.filters.StripJavaComments,4.0,3.0,0.0,6.0,9.0,0,1,2,5.0,0.0,161,1.0,0,0.9285714290000001,0.75,2,4,38.5,1,0.5,0
apache.tools.ant.filters.HeadFilter,10.0,4.0,0.0,10.0,32.0,0,1,5,8.0,0.703703704,251,1.0,1,0.7777777779999999,0.375,2,4,23.2,5,1.6,0
apache.tools.ant.filters.LineContainsRegExp,8.0,4.0,0.0,10.0,34.0,0,1,8,7.0,0.571428571,187,1.0,0,0.8235294120000001,0.375,2,5,22.0,4,1.125,0
apache.tools.ant.filters.StripLineBreaks,7.0,4.0,0.0,9.0,21.0,0,1,4,7.0,0.7777777779999999,107,1.0,0,0.848484848,0.47619047600000003,2,5,13.85714286,5,1.2857,0
