filename,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
apache.camel.RuntimeTransformException,3.0,3.0,0.0,2.0,6.0,3,1,1,0.0,1.5,17,1.0,0,1.0,0.7777777779999999,0,0,4.333333333,0,0.0,0
apache.camel.NoTypeConversionAvailableException,4.0,3.0,0.0,5.0,11.0,0,1,1,3.0,0.5,52,1.0,0,0.85,0.5,0,0,11.5,2,1.0,0
apache.camel.CamelException,4.0,2.0,3.0,2.0,8.0,6,10,0,0.0,2.0,20,0.0,0,1.0,0.666666667,0,0,4.0,0,0.0,0
apache.camel.NoSuchLanguageException,2.0,3.0,0.0,3.0,6.0,0,1,1,1.0,1.0,21,1.0,0,0.944444444,0.75,0,0,8.5,1,0.5,0
apache.camel.RuntimeCamelException,4.0,2.0,17.0,2.0,8.0,6,60,0,0.0,1.333333333,21,1.0,0,1.0,0.666666667,0,0,4.0,0,0.0,0
apache.camel.ExpectedBodyTypeException,3.0,3.0,0.0,5.0,10.0,0,1,3,2.0,0.5,34,1.0,1,0.894736842,0.5555555560000001,0,0,9.666666667000001,1,0.6667,0
apache.camel.FailedToCreateProducerException,2.0,3.0,0.0,3.0,7.0,0,2,2,1.0,0.0,25,1.0,1,0.944444444,0.666666667,0,0,11.0,1,0.5,0
apache.camel.ValidationException,2.0,4.0,2.0,2.0,4.0,1,4,2,1.0,2.0,13,0.0,0,1.0,0.875,0,0,5.5,0,0.0,0
apache.camel.RuntimeExchangeException,3.0,3.0,1.0,4.0,10.0,0,3,2,1.0,0.75,33,1.0,1,0.944444444,0.583333333,0,0,9.333333332999999,1,0.3333,0
apache.camel.InvalidPayloadException,3.0,4.0,0.0,7.0,13.0,1,1,4,2.0,0.0,38,1.0,0,0.95,0.666666667,0,0,11.33333333,1,0.3333,0
apache.camel.AlreadyStoppedException,1.0,3.0,0.0,2.0,2.0,0,1,1,0.0,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,0
apache.camel.NoSuchEndpointException,2.0,3.0,0.0,3.0,6.0,0,7,1,1.0,1.0,21,1.0,0,0.944444444,0.75,0,0,8.5,1,0.5,1
apache.camel.Route,11.0,2.0,1.0,6.0,20.0,41,11,2,8.0,0.84,93,0.6,1,0.0,0.327272727,0,0,7.0,1,0.8182,0
apache.camel.InvalidHeaderTypeException,4.0,3.0,0.0,6.0,14.0,0,0,1,1.0,0.833333333,47,1.0,0,0.894736842,0.5,0,0,10.25,2,0.75,1
apache.camel.CamelTemplate,2.0,4.0,0.0,2.0,4.0,1,0,3,43.0,2.0,11,0.0,0,1.0,0.833333333,0,0,4.5,0,0.0,1
apache.camel.ResolveEndpointFailedException,3.0,3.0,0.0,3.0,9.0,0,2,1,1.0,0.0,44,1.0,0,0.944444444,0.666666667,0,0,13.33333333,1,0.3333,0
apache.camel.InvalidTypeException,3.0,4.0,0.0,5.0,10.0,0,1,3,3.0,0.5,37,1.0,0,0.904761905,0.5,0,0,10.66666667,1,0.6667,0
apache.camel.NoSuchPropertyException,5.0,4.0,0.0,6.0,15.0,6,4,2,3.0,0.916666667,67,1.0,0,0.826086957,0.36,0,0,11.8,2,1.0,0
apache.camel.CamelExchangeException,4.0,3.0,8.0,3.0,11.0,0,10,2,1.0,0.833333333,39,1.0,1,0.894736842,0.625,0,0,8.25,1,0.5,0
apache.camel.RuntimeExpressionException,3.0,3.0,2.0,2.0,6.0,3,5,1,0.0,1.5,17,1.0,0,1.0,0.7777777779999999,0,0,4.333333333,0,0.0,0
apache.camel.builder.ProcessorBuilder,13.0,2.0,0.0,14.0,26.0,78,2,14,12.0,2.0,80,0.0,0,0.0,0.326923077,0,0,5.153846154,1,0.9231,2
apache.camel.builder.LoggingErrorHandlerBuilder,9.0,3.0,0.0,6.0,18.0,0,1,9,8.0,0.25,92,1.0,1,0.333333333,0.355555556,0,0,9.0,1,0.6667,2
apache.camel.builder.Builder,11.0,2.0,0.0,4.0,23.0,55,1,3,10.0,2.0,86,0.0,0,0.0,0.181818182,0,0,6.818181817999999,1,0.9091,2
apache.camel.builder.ErrorHandlerBuilderSupport,4.0,2.0,5.0,8.0,11.0,0,5,3,2.0,0.0,38,1.0,0,0.0,0.5,0,0,8.25,2,1.0,2
apache.camel.builder.ExpressionClause,44.0,3.0,0.0,8.0,80.0,834,4,8,58.0,0.5,345,1.0,0,0.33846153799999995,0.261363636,1,2,6.795454545,1,0.9773,3
apache.camel.builder.DeadLetterChannelBuilder,32.0,3.0,0.0,13.0,66.0,438,3,18,31.0,0.792626728,273,1.0,6,0.09375,0.10546875,0,0,7.3125,2,1.0,4
apache.camel.builder.ConstantProcessorBuilder,2.0,2.0,0.0,3.0,3.0,0,1,2,1.0,0.0,12,1.0,1,0.0,0.75,0,0,4.5,1,0.5,0
apache.camel.builder.PredicateBuilder,17.0,2.0,0.0,18.0,37.0,136,4,17,16.0,2.0,138,0.0,0,0.0,0.19607843100000003,0,0,7.117647058999999,1,0.9412,0
apache.camel.builder.BinaryPredicateSupport,9.0,2.0,0.0,8.0,22.0,24,7,4,5.0,0.375,125,1.0,2,0.0,0.444444444,0,0,12.66666667,2,1.0,0
apache.camel.builder.BuilderSupport,31.0,2.0,1.0,15.0,65.0,437,1,15,28.0,0.855555556,251,1.0,2,0.0,0.13399503699999998,0,0,7.0,2,1.0,3
apache.camel.builder.ExpressionBuilder,30.0,2.0,0.0,33.0,64.0,435,18,29,29.0,2.0,193,0.0,0,0.0,0.133333333,0,0,5.433333332999999,1,0.9667,3
apache.camel.builder.NoErrorHandlerBuilder,3.0,3.0,0.0,2.0,4.0,3,2,4,4.0,2.0,10,0.0,0,0.6,0.5555555560000001,0,0,2.333333333,1,0.6667,0
apache.camel.builder.RouteBuilder,24.0,3.0,5.0,15.0,63.0,30,13,14,40.0,0.6521739129999999,207,1.0,1,0.568627451,0.128472222,1,3,7.5,2,0.9583,7
apache.camel.builder.PredicateSupport,4.0,2.0,0.0,6.0,14.0,6,6,2,2.0,2.0,37,0.0,0,0.0,0.5625,0,0,8.25,2,1.0,0
apache.camel.builder.NoRouteBuilder,4.0,4.0,0.0,3.0,6.0,4,0,1,40.0,0.666666667,16,1.0,1,0.962264151,0.666666667,1,1,2.75,1,0.5,0
apache.camel.builder.ValueBuilder,26.0,2.0,0.0,6.0,52.0,0,4,5,23.0,0.08,236,1.0,1,0.0,0.258241758,0,0,8.038461538,2,1.0,3
apache.camel.builder.xml.DomResultHandler,3.0,2.0,0.0,5.0,7.0,0,1,2,2.0,0.0,21,1.0,0,0.0,0.666666667,0,0,5.666666667,1,0.6667,0
apache.camel.builder.xml.StringResultHandlerFactory,2.0,2.0,0.0,4.0,4.0,1,1,3,1.0,2.0,9,0.0,0,0.0,1.0,0,0,3.5,1,0.5,0
apache.camel.builder.xml.XPathLanguage,6.0,2.0,0.0,4.0,10.0,9,0,4,4.0,0.2,41,1.0,0,0.0,0.41666666700000005,0,0,5.666666667,2,1.0,0
apache.camel.builder.xml.StringResultHandler,3.0,2.0,0.0,6.0,8.0,0,1,2,2.0,0.5,29,0.0,0,0.0,0.666666667,0,0,8.0,1,0.6667,0
apache.camel.builder.xml.XPathBuilder,49.0,2.0,0.0,37.0,114.0,1044,8,17,41.0,0.915277778,620,1.0,3,0.0,0.128728414,0,0,11.34693878,6,1.4082,0
apache.camel.builder.xml.XsltBuilder,30.0,2.0,0.0,32.0,87.0,347,1,12,25.0,0.6689655170000001,380,1.0,2,0.0,0.11428571400000001,0,0,11.5,3,1.0333,0
apache.camel.builder.xml.StreamResultHandler,3.0,2.0,0.0,6.0,8.0,0,1,2,2.0,0.5,29,0.0,0,0.0,0.666666667,0,0,8.0,1,0.6667,0
apache.camel.builder.xml.DomResultHandlerFactory,2.0,2.0,0.0,4.0,4.0,1,1,3,1.0,2.0,9,0.0,0,0.0,1.0,0,0,3.5,1,0.5,0
apache.camel.builder.xml.DefaultNamespaceContext,8.0,2.0,0.0,13.0,29.0,0,1,1,5.0,0.14285714300000002,146,1.0,0,0.0,0.4,0,0,17.0,4,1.5,0
apache.camel.builder.xml.MessageVariableResolver,6.0,2.0,0.0,14.0,27.0,1,1,4,4.0,0.666666667,163,1.0,1,0.0,0.36,0,0,25.66666667,15,3.0,0
apache.camel.builder.xml.InvalidXPathExpression,2.0,4.0,0.0,3.0,7.0,0,1,1,1.0,0.0,25,1.0,0,0.944444444,0.666666667,0,0,11.0,1,0.5,0
apache.camel.builder.xml.Namespaces,11.0,2.0,0.0,12.0,35.0,43,4,4,9.0,1.0142857140000001,163,0.14285714300000002,0,0.0,0.4,0,0,13.18181818,4,1.2727,1
apache.camel.builder.xml.StreamResultHandlerFactory,2.0,2.0,0.0,4.0,4.0,1,1,3,1.0,2.0,9,0.0,0,0.0,1.0,0,0,3.5,1,0.5,0
apache.camel.component.bean.BeanComponent,9.0,4.0,0.0,10.0,30.0,34,0,13,24.0,0.875,95,1.0,1,0.8292682929999999,0.333333333,1,2,9.333333332999999,2,0.8889,0
apache.camel.component.bean.XPathAnnotationExpressionFactory,2.0,3.0,0.0,5.0,9.0,1,0,7,0.0,2.0,48,0.0,0,0.666666667,0.6,1,1,23.0,4,2.0,0
apache.camel.component.bean.BeanProcessor,15.0,3.0,0.0,22.0,55.0,75,8,16,13.0,0.8,299,0.8,1,0.565217391,0.206349206,1,1,18.6,2,0.7333,2
apache.camel.component.bean.BeanInvocation,10.0,2.0,0.0,20.0,30.0,0,5,5,8.0,0.518518519,136,1.0,1,0.0,0.257142857,0,0,12.3,2,0.9,0
apache.camel.component.bean.CamelInvocationHandler,2.0,2.0,0.0,11.0,12.0,0,2,8,1.0,0.0,49,1.0,2,0.0,0.583333333,0,0,22.5,1,0.5,2
