filename,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
bsh.Capabilities,7.0,2.0,0.0,6.0,13.0,13,5,0,5.0,0.5,64,1.0,0,0.0,0.166666667,0,0,7.857142857,4,1.5714,0
bsh.ReturnControl,1.0,2.0,0.0,3.0,2.0,0,9,1,0.0,2.0,12,0.0,0,0.0,1.0,0,0,9.0,0,0.0,0
bsh.SimpleNode,19.0,2.0,35.0,12.0,37.0,147,46,7,18.0,0.8888888890000001,240,0.5,4,0.0,0.233082707,0,0,11.31578947,6,1.6316,0
bsh.JThis,87.0,3.0,0.0,45.0,101.0,3741,0,8,89.0,2.0,711,0.0,0,0.10416666699999999,0.054675365,1,2,7.172413793,3,1.023,0
bsh.BshClassManager,25.0,2.0,0.0,15.0,43.0,290,7,3,21.0,0.8888888890000001,161,1.0,1,0.0,0.157407407,0,0,5.2,3,1.16,0
bsh.LHS,8.0,2.0,0.0,21.0,31.0,0,8,9,3.0,0.7662337659999999,356,0.0,1,0.0,0.375,0,0,42.125,1,0.375,0
bsh.BSHMethodInvocation,2.0,3.0,0.0,13.0,17.0,1,1,11,17.0,2.0,63,0.0,0,0.947368421,0.625,1,1,30.5,1,0.5,0
bsh.Parser,399.0,2.0,0.0,65.0,872.0,0,1,47,79.0,0.71839196,23350,0.8,8,0.0,0.18337510399999998,0,0,57.45864662,46,5.5439,0
bsh.BSHArguments,2.0,3.0,0.0,4.0,6.0,1,5,5,19.0,2.0,30,0.0,0,0.947368421,0.625,0,0,14.0,1,0.5,0
bsh.BSHStatementExpressionList,2.0,3.0,0.0,4.0,6.0,1,1,6,17.0,2.0,28,0.0,0,0.947368421,0.625,1,1,13.0,1,0.5,0
bsh.ParserTokenManager,50.0,2.0,0.0,9.0,111.0,3,1,4,4.0,0.75170068,6259,0.166666667,1,0.0,0.5,0,0,123.7,163,8.68,0
