filename,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
apache.log4j.BasicConfigurator,14.0,2.0,2.0,19.0,45.0,91,9,11,9.0,1.051282051,247,0.0,0,0.0,0.134615385,0,0,16.42857143,3,1.2857,1
apache.log4j.DefaultCategoryFactory,2.0,2.0,0.0,4.0,4.0,1,2,2,1.0,2.0,10,0.0,0,0.0,0.75,0,0,4.0,1,0.5,0
apache.log4j.AppenderSkeleton,19.0,2.0,8.0,11.0,33.0,131,11,9,17.0,0.9097222220000001,181,0.875,5,0.0,0.21052631600000002,0,0,8.105263158,4,1.4211,0
apache.log4j.AsyncAppender,12.0,3.0,0.0,13.0,39.0,14,0,9,19.0,0.8636363640000001,174,0.0,3,0.620689655,0.375,2,3,13.0,4,1.3333,5
apache.log4j.NDC,12.0,2.0,0.0,10.0,42.0,0,10,2,9.0,0.666666667,275,0.0,0,0.0,0.090909091,0,0,21.66666667,6,2.25,1
apache.log4j.Category,49.0,2.0,1.0,30.0,108.0,688,53,12,42.0,0.828947368,800,0.473684211,5,0.0,0.15064102599999998,0,0,14.93877551,6,2.1429,9
apache.log4j.SimpleLayout,6.0,3.0,0.0,6.0,12.0,13,3,3,3.0,0.8,54,0.0,0,0.615384615,0.444444444,0,0,7.833333333,1,0.8333,0
apache.log4j.CategoryKey,4.0,2.0,0.0,7.0,12.0,2,1,0,2.0,0.7777777779999999,61,0.0,0,0.0,0.5,1,1,13.5,6,2.0,0
apache.log4j.Layout,10.0,2.0,5.0,5.0,13.0,45,32,2,8.0,1.0,28,0.0,0,0.0,0.40740740700000005,0,0,1.6,1,0.8,0
apache.log4j.TTCCLayout,8.0,4.0,0.0,8.0,25.0,0,2,5,9.0,0.7959183670000001,217,0.571428571,0,0.7142857140000001,0.40625,1,1,25.25,5,1.625,0
apache.log4j.PropertyConfigurator,19.0,3.0,0.0,29.0,95.0,153,16,14,17.0,0.939814815,754,0.25,1,0.4,0.257309942,1,1,38.05263158,10,2.4211,2
apache.log4j.ProvisionNode,1.0,2.0,0.0,2.0,3.0,0,1,1,0.0,2.0,7,0.0,0,1.0,1.0,0,0,6.0,0,0.0,0
