filename,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
apache.lucene.LucenePackage,3.0,2.0,0.0,5.0,9.0,3,0,0,1.0,1.0,27,0.0,0,0.0,0.333333333,0,0,7.666666667,2,1.0,0
apache.lucene.analysis.LowerCaseFilter,2.0,4.0,0.0,6.0,5.0,1,1,3,0.0,2.0,21,0.0,0,0.75,0.75,0,0,9.5,1,0.5,0
apache.lucene.analysis.PerFieldAnalyzerWrapper,4.0,3.0,0.0,5.0,13.0,0,0,2,3.0,0.166666667,57,1.0,1,0.4,0.5625,0,0,12.75,2,1.0,1
apache.lucene.analysis.StopFilter,7.0,4.0,0.0,8.0,16.0,15,2,3,2.0,0.333333333,106,1.0,0,0.5,0.514285714,0,0,13.85714286,3,0.7143,0
apache.lucene.analysis.Tokenizer,3.0,3.0,3.0,4.0,5.0,1,3,1,1.0,0.5,17,1.0,0,0.666666667,0.666666667,0,0,4.333333333,1,0.3333,0
apache.lucene.analysis.TokenStream,3.0,2.0,2.0,3.0,4.0,3,18,1,2.0,2.0,7,0.0,0,0.0,1.0,0,0,1.333333333,1,0.6667,1
apache.lucene.analysis.LetterTokenizer,2.0,5.0,1.0,3.0,4.0,1,1,1,0.0,2.0,9,0.0,0,0.857142857,0.666666667,1,1,3.5,1,0.5,0
apache.lucene.analysis.LowerCaseTokenizer,2.0,6.0,0.0,3.0,4.0,1,2,1,0.0,2.0,9,0.0,0,0.875,0.666666667,1,1,3.5,1,0.5,0
apache.lucene.analysis.Analyzer,3.0,2.0,6.0,2.0,4.0,3,12,1,2.0,2.0,8,0.0,0,0.0,0.666666667,0,0,1.6666666669999999,1,0.6667,0
apache.lucene.analysis.KeywordTokenizer,3.0,4.0,0.0,7.0,11.0,1,1,2,0.0,0.5,63,1.0,0,0.75,0.666666667,0,0,19.0,1,0.3333,0
apache.lucene.analysis.StopAnalyzer,7.0,3.0,0.0,7.0,13.0,0,1,5,1.0,0.5,197,0.5,0,0.666666667,0.333333333,0,0,26.85714286,1,0.1429,0
apache.lucene.analysis.SimpleAnalyzer,2.0,3.0,0.0,3.0,4.0,1,1,3,1.0,2.0,10,0.0,0,0.666666667,0.666666667,0,0,4.0,1,0.5,0
apache.lucene.analysis.WhitespaceAnalyzer,2.0,3.0,0.0,3.0,4.0,1,0,3,1.0,2.0,10,0.0,0,0.666666667,0.666666667,0,0,4.0,1,0.5,0
apache.lucene.analysis.Token,9.0,2.0,0.0,5.0,16.0,0,13,0,7.0,0.6,152,0.2,0,0.0,0.518518519,1,1,15.33333333,3,1.1111,2
apache.lucene.analysis.PorterStemmer,27.0,2.0,0.0,10.0,65.0,13,1,0,12.0,0.600961538,1174,1.0,0,0.0,0.25308642,0,0,42.18518519,26,5.7407,0
apache.lucene.analysis.KeywordAnalyzer,2.0,3.0,0.0,3.0,4.0,1,0,3,1.0,2.0,10,0.0,0,0.666666667,0.666666667,0,0,4.0,1,0.5,0
apache.lucene.analysis.WordlistLoader,4.0,2.0,0.0,9.0,19.0,6,2,0,2.0,2.0,102,0.0,0,0.0,0.25,0,0,24.5,2,1.0,0
apache.lucene.analysis.LengthFilter,2.0,4.0,0.0,6.0,6.0,0,0,3,0.0,0.0,41,0.0,0,0.75,0.666666667,0,0,18.5,1,0.5,0
apache.lucene.analysis.TokenFilter,2.0,3.0,6.0,3.0,4.0,0,6,1,1.0,0.0,13,1.0,1,0.666666667,0.75,0,0,5.0,1,0.5,0
apache.lucene.analysis.PorterStemFilter,2.0,4.0,0.0,6.0,6.0,0,0,4,0.0,0.0,35,1.0,1,0.75,0.75,0,0,16.0,1,0.5,0
apache.lucene.analysis.WhitespaceTokenizer,2.0,5.0,0.0,3.0,4.0,1,1,1,0.0,2.0,13,0.0,0,0.857142857,0.666666667,1,1,5.5,2,1.0,0
apache.lucene.analysis.CharTokenizer,4.0,4.0,2.0,6.0,10.0,4,2,2,0.0,0.857142857,122,1.0,0,0.5,0.583333333,0,0,27.75,1,0.75,0
apache.lucene.analysis.ISOLatin1AccentFilter,3.0,4.0,0.0,7.0,17.0,3,0,3,1.0,2.0,178,0.0,0,0.6,0.444444444,0,0,58.33333333,3,1.3333,1
apache.lucene.document.Document,14.0,2.0,0.0,14.0,35.0,0,22,1,13.0,0.5,341,0.5,0,0.0,0.428571429,0,0,23.21428571,5,2.5714,1
apache.lucene.document.DateField,8.0,2.0,0.0,8.0,27.0,22,1,0,6.0,0.428571429,126,1.0,0,0.0,0.17857142899999998,0,0,14.625,5,1.375,0
apache.lucene.document.DateTools,8.0,2.0,0.0,11.0,32.0,16,0,1,6.0,0.14285714300000002,330,1.0,0,0.0,0.314285714,0,0,40.125,8,2.5,0
apache.lucene.document.Field,23.0,2.0,0.0,12.0,37.0,93,6,3,17.0,0.704545455,726,1.0,0,0.0,0.19806763300000002,0,0,30.04347826,17,1.8261,1
apache.lucene.document.NumberTools,4.0,2.0,0.0,7.0,18.0,0,0,0,2.0,1.166666667,130,0.5,0,0.0,0.333333333,0,0,30.0,6,2.5,0
apache.lucene.index.MultiReader,26.0,3.0,0.0,13.0,61.0,0,1,14,27.0,0.668571429,601,1.0,1,0.696202532,0.174825175,1,5,21.84615385,6,1.3462,9
apache.lucene.index.ParallelReader,27.0,3.0,0.0,26.0,81.0,193,3,13,27.0,0.814102564,479,1.0,0,0.6790123459999999,0.18148148100000003,1,6,16.51851852,2,1.037,6
apache.lucene.index.MultiTermEnum,5.0,3.0,0.0,7.0,21.0,0,1,5,1.0,0.5,141,1.0,2,0.5555555560000001,0.4,1,2,26.6,1,0.8,0
apache.lucene.index.SegmentTermVector,8.0,2.0,1.0,5.0,16.0,0,2,1,7.0,0.571428571,133,1.0,0,0.0,0.35,0,0,15.25,4,1.75,0
apache.lucene.index.TermEnum,6.0,2.0,3.0,4.0,10.0,15,24,1,5.0,2.0,21,0.0,0,0.0,0.583333333,0,0,2.5,1,0.8333,0
apache.lucene.index.IndexFileNameFilter,2.0,2.0,0.0,6.0,9.0,1,1,1,1.0,2.0,48,0.0,0,0.0,0.666666667,0,0,23.0,6,3.0,0
apache.lucene.index.MultipleTermPositions,10.0,2.0,0.0,11.0,34.0,25,1,7,9.0,0.7222222220000001,178,1.0,2,0.0,0.228571429,0,0,16.4,1,0.9,2
apache.lucene.index.Term,12.0,2.0,0.0,9.0,23.0,0,58,0,8.0,0.13636363599999998,128,0.0,0,0.0,0.291666667,1,1,9.5,4,1.1667,1
apache.lucene.index.TermInfosReader,16.0,2.0,0.0,9.0,42.0,62,2,6,3.0,0.686666667,461,1.0,6,0.0,0.28125,0,0,27.1875,4,1.1875,4
