filename,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
apache.camel.RuntimeTransformException,3,3.0,0.0,0.0,7.0,3,1,1,3.0,1.5,17,1.0,0,1.0,0.7777777779999999,0,0,4.333333333,0,0.0,0
apache.camel.NoTypeConversionAvailableException,6,3.0,0.0,0.0,8.0,0,1,1,4.0,0.5,52,1.0,0,0.85,0.5,0,0,11.5,2,1.0,0
apache.camel.CamelException,4,2.0,3.0,0.0,4.0,6,10,0,4.0,2.0,20,0.0,0,1.0,0.666666667,0,0,4.0,0,0.0,0
apache.camel.NoSuchLanguageException,2,3.0,0.0,0.0,6.0,0,1,1,2.0,1.0,21,1.0,0,0.944444444,0.75,0,0,8.5,1,0.5,0
apache.camel.RuntimeCamelException,4,2.0,14.0,0.0,4.0,6,60,0,4.0,1.333333333,21,1.0,0,1.0,0.666666667,0,0,4.0,0,0.0,0
apache.camel.ExpectedBodyTypeException,3,3.0,0.0,2.0,7.0,0,1,3,3.0,0.5,34,1.0,1,0.894736842,0.5555555560000001,0,0,9.666666667000001,1,0.6667,0
apache.camel.FailedToCreateProducerException,2,3.0,0.0,1.0,6.0,0,2,2,2.0,0.0,25,1.0,1,0.944444444,0.666666667,0,0,11.0,1,0.5,0
apache.camel.ValidationException,2,4.0,2.0,1.0,10.0,1,4,2,2.0,2.0,13,0.0,0,1.0,0.875,0,0,5.5,0,0.0,0
apache.camel.RuntimeExchangeException,3,3.0,1.0,1.0,7.0,0,3,2,3.0,0.75,33,1.0,1,0.944444444,0.583333333,0,0,9.333333332999999,1,0.3333,0
apache.camel.InvalidPayloadException,3,4.0,0.0,3.0,11.0,1,1,4,3.0,0.0,38,1.0,0,0.95,0.666666667,0,0,11.33333333,1,0.3333,0
apache.camel.AlreadyStoppedException,1,3.0,0.0,0.0,5.0,0,1,1,1.0,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,0
apache.camel.NoSuchEndpointException,2,3.0,0.0,0.0,6.0,0,7,1,2.0,1.0,21,1.0,0,0.944444444,0.75,0,0,8.5,1,0.5,1
apache.camel.Route,12,1.0,3.0,2.0,11.0,41,11,2,10.0,0.84,93,0.6,1,0.0,0.327272727,0,0,7.0,1,0.8182,0
apache.camel.InvalidHeaderTypeException,5,3.0,0.0,0.0,8.0,0,0,1,3.0,0.833333333,47,1.0,0,0.894736842,0.5,0,0,10.25,2,0.75,1
apache.camel.CamelTemplate,2,3.0,0.0,2.0,62.0,1,0,3,2.0,2.0,11,0.0,0,1.0,0.833333333,0,0,4.5,0,0.0,1
apache.camel.ResolveEndpointFailedException,3,3.0,0.0,0.0,7.0,0,2,1,3.0,0.0,44,1.0,0,0.944444444,0.666666667,0,0,13.33333333,1,0.3333,0
