filename,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
bsh.Capabilities,8,1.0,0.0,0.0,5.0,13,5,0,5.0,0.5,64,1.0,0,0.0,0.166666667,0,0,7.857142857,4,1.5714,0
bsh.ReturnControl,1,1.0,0.0,0.0,1.0,0,9,1,1.0,2.0,12,0.0,0,0.0,1.0,0,0,9.0,0,0.0,0
bsh.SimpleNode,30,1.0,35.0,6.0,19.0,147,46,7,19.0,0.8888888890000001,240,0.5,4,0.0,0.233082707,0,0,11.31578947,6,1.6316,0
bsh.JThis,93,2.0,0.0,5.0,98.0,3741,0,8,84.0,2.0,711,0.0,0,0.10416666699999999,0.054675365,1,2,7.172413793,3,1.023,0
bsh.BshClassManager,18,1.0,0.0,3.0,23.0,290,7,3,21.0,0.8888888890000001,161,1.0,1,0.0,0.157407407,0,0,5.2,3,1.16,0
bsh.LHS,31,1.0,0.0,8.0,8.0,0,8,9,3.0,0.7662337659999999,356,0.0,1,0.0,0.375,0,0,42.125,1,0.375,0
bsh.BSHMethodInvocation,5,2.0,0.0,9.0,21.0,1,1,11,1.0,2.0,63,0.0,0,0.947368421,0.625,1,1,30.5,1,0.5,0
bsh.Parser,2763,1.0,0.0,44.0,394.0,0,1,47,79.0,0.71839196,23350,0.8,8,0.0,0.18337510399999998,0,0,57.45864662,46,5.5439,0
bsh.BSHArguments,3,2.0,0.0,3.0,21.0,1,5,5,1.0,2.0,30,0.0,0,0.947368421,0.625,0,0,14.0,1,0.5,0
bsh.BSHStatementExpressionList,3,2.0,0.0,4.0,21.0,1,1,6,1.0,2.0,28,0.0,0,0.947368421,0.625,1,1,13.0,1,0.5,0
bsh.ParserTokenManager,676,1.0,0.0,3.0,49.0,3,1,4,6.0,0.75170068,6259,0.166666667,1,0.0,0.5,0,0,123.7,163,8.68,0
bsh.BSHSwitchLabel,3,2.0,0.0,3.0,21.0,1,2,5,2.0,1.0,22,0.0,0,0.947368421,0.625,1,1,9.5,1,0.5,0
bsh.BSHArrayInitializer,12,2.0,0.0,5.0,23.0,6,3,7,2.0,2.0,175,0.0,0,0.857142857,0.583333333,1,1,42.75,1,0.75,0
bsh.BSHLHSPrimaryExpression,5,2.0,0.0,6.0,21.0,1,3,8,1.0,2.0,65,0.0,0,0.947368421,0.625,0,0,31.5,1,0.5,0
bsh.BSHTypedVariableDeclaration,10,2.0,0.0,8.0,22.0,3,1,10,1.0,1.0,101,0.0,0,0.9,0.444444444,1,1,32.33333333,6,2.3333,0
bsh.BSHLHSPrimarySuffix,17,2.0,0.0,10.0,24.0,10,2,12,1.0,1.071428571,182,0.0,0,0.818181818,0.72,0,0,34.0,1,0.8,0
bsh.TargetError,15,3.0,0.0,4.0,22.0,13,14,5,11.0,0.1,171,0.0,0,0.764705882,0.545454545,2,2,14.45454545,2,0.9091,0
bsh.BlockNameSpace,4,2.0,0.0,1.0,52.0,3,2,2,2.0,2.0,40,0.0,0,0.96,0.583333333,0,0,12.33333333,2,1.0,0
bsh.Interpreter,126,1.0,0.0,18.0,50.0,925,44,21,42.0,0.776470588,1458,0.117647059,5,0.0,0.14400000000000002,0,0,27.25490196,33,1.6667,0
bsh.BSHPrimarySuffix,25,2.0,0.0,12.0,24.0,10,2,14,1.0,1.142857143,256,0.0,0,0.818181818,0.72,0,0,48.8,1,0.8,0
bsh.BSHThrowStatement,3,2.0,0.0,4.0,21.0,1,1,6,1.0,2.0,30,0.0,0,0.947368421,0.625,1,1,14.0,1,0.5,0
bsh.BSHImportDeclaration,4,2.0,0.0,7.0,21.0,1,1,9,1.0,1.0,36,0.0,0,0.947368421,0.625,1,1,16.0,1,0.5,0
bsh.ASCII_UCodeESC_CharStream,91,1.0,0.0,0.0,27.0,25,3,0,21.0,0.529411765,1277,0.705882353,0,0.0,0.296296296,0,0,45.66666667,7,1.5926,0
bsh.BSHBinaryExpression,23,2.0,0.0,8.0,23.0,6,1,11,1.0,1.0,279,0.0,0,0.857142857,0.45,1,1,68.5,4,2.25,0
bsh.BSHWhileStatement,11,2.0,0.0,6.0,21.0,1,1,9,1.0,1.0,79,0.0,0,0.947368421,0.625,1,1,38.0,1,0.5,0
bsh.ReflectManager,4,1.0,1.0,2.0,3.0,6,1,2,3.0,0.666666667,37,1.0,1,0.0,0.5,0,0,8.0,2,1.0,0
bsh.InterpreterError,1,2.0,0.0,0.0,1.0,0,16,0,1.0,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,0
bsh.BSHTryStatement,15,2.0,0.0,9.0,21.0,1,1,11,1.0,2.0,185,0.0,0,0.947368421,0.625,1,2,91.5,1,0.5,0
bsh.JJTParserState,17,1.0,0.0,1.0,12.0,0,2,1,0.0,0.436363636,218,1.0,0,0.0,0.39583333299999995,0,0,16.75,3,1.3333,0
