filename,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
apache.log4j.BasicConfigurator,14,1.0,2.0,10.0,12.0,91,6,11,10.0,1.057692308,161,0.0,0,0.0,0.138461538,0,0,10.21428571,3,1.0,2
apache.log4j.DefaultCategoryFactory,2,1.0,0.0,1.0,2.0,1,2,2,1.0,2.0,10,0.0,0,0.0,0.75,0,0,4.0,1,0.5,0
apache.log4j.AppenderSkeleton,28,1.0,9.0,7.0,19.0,175,11,9,18.0,0.904761905,193,0.875,5,0.0,0.20129870100000002,0,0,7.409090909,4,1.3636,4
apache.log4j.AsyncAppender,26,2.0,0.0,6.0,35.0,34,1,10,16.0,0.8833333329999999,320,0.0,3,0.545454545,0.25,2,3,18.5,5,1.4375,5
apache.log4j.NDC,16,1.0,0.0,0.0,9.0,0,10,2,5.0,0.666666667,275,0.0,0,0.0,0.090909091,0,0,21.66666667,6,2.25,2
apache.log4j.Category,3,1.0,2.0,8.0,2.0,637,38,12,1.0,0.814868805,778,0.5,5,0.0,0.14913657800000002,0,0,14.28,6,2.08,9
apache.log4j.SimpleLayout,6,2.0,0.0,2.0,11.0,13,3,3,6.0,0.8,54,0.0,0,0.615384615,0.444444444,0,0,7.833333333,1,0.8333,0
apache.log4j.CategoryKey,5,1.0,0.0,0.0,3.0,2,1,0,2.0,0.7777777779999999,61,0.0,0,0.0,0.5,1,1,13.5,6,2.0,0
apache.log4j.Layout,3,1.0,5.0,1.0,5.0,45,24,2,5.0,1.0,28,0.0,0,0.0,0.40740740700000005,0,0,1.6,1,0.8,0
apache.log4j.PropertyConfigurator,22,2.0,0.0,7.0,23.0,135,14,15,8.0,0.93627451,714,0.25,1,0.413793103,0.27777777800000003,1,1,38.0,10,2.5,6
apache.log4j.ProvisionNode,1,2.0,0.0,1.0,1.0,0,1,1,0.0,2.0,7,0.0,0,1.0,1.0,0,0,6.0,0,0.0,0
apache.log4j.Hierarchy,44,1.0,0.0,11.0,22.0,125,15,10,20.0,0.8737373740000001,530,0.111111111,3,0.0,0.186868687,0,0,21.65217391,6,1.913,3
apache.log4j.Dispatcher,10,2.0,0.0,5.0,3.0,0,1,5,1.0,0.25,131,0.0,3,0.968253968,0.5555555560000001,0,0,41.33333333,6,2.6667,0
apache.log4j.HTMLLayout,31,2.0,0.0,4.0,19.0,74,0,5,12.0,0.916666667,853,0.375,0,0.363636364,0.24444444399999998,1,1,51.8125,7,2.0,2
apache.log4j.Priority,21,1.0,1.0,0.0,10.0,15,31,0,9.0,0.7923076920000001,174,0.0,5,0.0,0.35,0,0,13.63636364,7,2.0,5
apache.log4j.FileAppender,28,3.0,2.0,6.0,54.0,0,1,7,13.0,0.666666667,306,0.6,0,0.7555555559999999,0.322916667,1,13,17.8125,6,1.375,3
apache.log4j.PatternLayout,15,2.0,0.0,3.0,15.0,27,3,4,9.0,0.901234568,130,0.666666667,1,0.5,0.5,0,0,11.1,3,1.2,1
apache.log4j.RollingFileAppender,24,4.0,1.0,5.0,69.0,3,0,10,13.0,0.767857143,334,0.5,0,0.7333333329999999,0.241666667,1,10,21.0,5,1.3333,1
apache.log4j.helpers.OnlyOnceErrorHandler,7,1.0,0.0,1.0,5.0,9,1,2,5.0,0.8666666670000001,44,0.0,0,0.0,0.45833333299999995,0,0,5.833333333,2,1.1667,0
apache.log4j.helpers.BoundedFIFO,19,1.0,0.0,1.0,10.0,0,2,1,9.0,0.5555555560000001,243,0.0,1,0.0,0.46666666700000003,0,0,22.8,5,2.1,0
apache.log4j.helpers.PatternConverter,12,1.0,5.0,2.0,5.0,7,7,2,2.0,0.72,174,0.0,1,0.0,0.44,0,0,27.16666667,6,1.8333,0
apache.log4j.helpers.SyslogWriter,8,2.0,0.0,1.0,5.0,8,1,1,5.0,0.75,88,0.5,0,0.764705882,0.45,1,2,15.8,1,0.8,0
apache.log4j.helpers.AbsoluteTimeDateFormat,9,2.0,2.0,0.0,4.0,6,4,0,4.0,1.333333333,111,0.0,0,0.951219512,0.35714285700000004,1,3,26.0,6,1.75,0
apache.log4j.helpers.Loader,9,1.0,0.0,1.0,2.0,4,1,1,1.0,0.666666667,139,0.0,0,0.0,0.5555555560000001,0,0,33.5,3,1.25,1
apache.log4j.helpers.FileWatchdog,10,2.0,1.0,1.0,5.0,0,1,1,2.0,0.607142857,120,0.28571428600000004,0,0.938461538,0.46666666700000003,1,1,21.6,3,1.4,0
apache.log4j.helpers.CyclicBuffer,20,1.0,0.0,1.0,7.0,0,1,1,7.0,0.333333333,246,0.0,1,0.0,0.523809524,0,0,33.42857143,7,2.7143,0
apache.log4j.helpers.DateTimeDateFormat,5,3.0,0.0,0.0,8.0,4,2,1,4.0,0.333333333,80,0.0,0,0.953488372,0.35714285700000004,1,3,18.75,2,0.75,0
apache.log4j.helpers.SyslogQuietWriter,4,3.0,0.0,1.0,8.0,0,1,2,4.0,0.5,41,0.0,0,0.875,0.5,2,2,8.75,1,0.75,0
apache.log4j.helpers.PatternParser,49,1.0,0.0,14.0,7.0,8,4,14,2.0,0.9560439559999999,693,0.46153846200000004,3,0.0,0.375,0,0,82.375,21,6.25,0
apache.log4j.helpers.QuietWriter,7,2.0,2.0,2.0,4.0,0,5,1,4.0,0.0,57,1.0,1,0.857142857,0.5,2,2,13.0,2,1.0,0
apache.log4j.helpers.LogLog,17,1.0,0.0,1.0,8.0,0,34,1,8.0,0.920634921,146,0.7142857140000001,0,0.0,0.333333333,0,0,12.9,4,1.9,0
apache.log4j.helpers.CountingQuietWriter,5,3.0,0.0,2.0,8.0,0,1,2,4.0,0.333333333,38,1.0,0,0.875,0.4,2,2,8.25,1,0.75,0
apache.log4j.helpers.NullEnumeration,4,1.0,0.0,0.0,4.0,8,1,0,3.0,0.75,22,1.0,1,0.0,0.75,0,0,3.2,1,0.6,0
apache.log4j.helpers.ISO8601DateFormat,17,3.0,0.0,0.0,8.0,6,2,1,4.0,2.0,99,0.0,0,0.953488372,0.35714285700000004,1,3,23.75,3,1.0,0
apache.log4j.helpers.RelativeTimeDateFormat,3,2.0,0.0,0.0,3.0,1,1,0,3.0,0.5,20,1.0,0,0.951219512,0.444444444,1,3,5.333333333,1,0.6667,0
apache.log4j.helpers.AppenderAttachableImpl,22,1.0,0.0,2.0,7.0,0,3,3,7.0,0.14285714300000002,176,1.0,0,0.0,0.40625,0,0,20.875,5,3.125,0
apache.log4j.helpers.FormattingInfo,2,1.0,0.0,1.0,2.0,0,8,1,0.0,0.0,49,0.0,0,0.0,1.0,0,0,14.33333333,1,0.6667,0
apache.log4j.helpers.OptionConverter,59,1.0,0.0,6.0,13.0,103,17,6,12.0,0.9107142859999999,757,0.0,0,0.0,0.154761905,0,0,48.93333333,11,3.0,3
apache.log4j.helpers.DateLayout,21,2.0,1.0,5.0,15.0,19,0,6,10.0,0.911111111,199,0.5555555560000001,0,0.444444444,0.303030303,0,0,16.27272727,7,2.0,1
apache.log4j.net.SocketAppender,41,2.0,0.0,5.0,40.0,95,3,7,18.0,0.8888888890000001,414,0.133333333,1,0.486486486,0.198863636,2,3,17.13636364,6,1.5455,1
apache.log4j.net.SMTPAppender,54,2.0,0.0,9.0,45.0,239,0,10,22.0,0.9380341879999999,565,0.055555556,2,0.418604651,0.240740741,2,3,19.25925926,10,1.8519,3
apache.log4j.net.SimpleSocketServer,7,1.0,0.0,3.0,3.0,9,0,4,1.0,0.666666667,144,0.0,1,0.0,0.333333333,0,0,22.5,2,1.0,1
apache.log4j.net.SyslogAppender,73,2.0,0.0,7.0,37.0,81,0,8,17.0,1.0,517,0.064516129,1,0.545454545,0.25925925899999996,2,4,26.0,22,3.9444,1
apache.log4j.net.SocketServer,16,1.0,0.0,6.0,6.0,6,0,6,2.0,0.666666667,356,0.0,3,0.0,0.257142857,0,0,42.375,3,1.75,1
apache.log4j.net.DefaultEvaluator,1,1.0,0.0,2.0,1.0,1,1,3,1.0,2.0,10,0.0,0,0.0,0.75,0,0,4.0,1,0.5,0
apache.log4j.net.JMSSink,7,1.0,0.0,5.0,3.0,10,0,7,1.0,0.875,145,0.0,0,0.0,0.3,0,0,27.6,3,1.4,3
apache.log4j.net.JMSAppender,28,2.0,0.0,5.0,32.0,44,0,5,11.0,0.845238095,284,0.0,0,0.6,0.365384615,2,3,20.30769231,5,1.6923,2
apache.log4j.net.SocketNode,9,1.0,0.0,4.0,2.0,0,3,4,2.0,0.7333333329999999,109,0.0,2,0.0,0.41666666700000005,0,0,25.0,2,0.75,3
apache.log4j.nt.NTEventLogAppender,25,2.0,0.0,6.0,37.0,141,1,7,15.0,0.864197531,229,0.8888888890000001,0,0.6,0.355555556,1,1,10.57894737,4,0.9474,1
apache.log4j.or.MessageRenderer,6,1.0,0.0,1.0,2.0,1,1,2,2.0,2.0,128,0.0,0,0.0,0.75,0,0,63.0,5,2.5,0
apache.log4j.or.ThreadGroupRenderer,4,1.0,0.0,1.0,2.0,1,0,2,2.0,2.0,100,0.0,0,0.0,0.75,0,0,49.0,3,1.5,0
apache.log4j.or.DefaultRenderer,2,1.0,0.0,0.0,2.0,1,1,1,1.0,2.0,8,0.0,0,0.0,0.75,0,0,3.0,1,0.5,0
apache.log4j.or.RendererMap,16,1.0,0.0,2.0,8.0,10,3,2,7.0,0.375,120,0.0,1,0.0,0.4375,0,0,12.11111111,4,1.6667,0
apache.log4j.spi.RootCategory,4,2.0,0.0,2.0,5.0,3,2,3,3.0,2.0,25,0.0,0,0.959183673,0.833333333,1,5,7.333333333,2,1.0,0
apache.log4j.spi.LoggingEvent,26,1.0,0.0,6.0,13.0,77,35,8,9.0,0.8984962409999999,304,0.42105263200000004,4,0.0,0.19642857100000002,0,0,18.0,4,1.4,4
apache.log4j.spi.Filter,1,1.0,4.0,1.0,2.0,10,2,2,2.0,1.25,13,0.0,1,0.0,0.46666666700000003,0,0,0.8,1,0.8,0
apache.log4j.spi.LocationInfo,25,1.0,0.0,2.0,5.0,0,7,2,5.0,0.88,286,0.2,0,0.0,0.46666666700000003,0,0,45.0,6,3.0,0
