filename,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
apache.lucene.LucenePackage,2,1.0,0.0,0.0,2.0,3,0,0,1.0,1.0,27,0.0,0,0.0,0.333333333,0,0,7.666666667,2,1.0,0
apache.lucene.analysis.PerFieldAnalyzerWrapper,5,2.0,0.0,1.0,6.0,0,0,2,4.0,0.125,73,1.0,1,0.333333333,0.55,0,0,13.2,2,1.2,0
apache.lucene.analysis.Tokenizer,3,2.0,3.0,0.0,5.0,1,3,1,1.0,0.5,17,1.0,0,0.75,0.666666667,0,0,4.333333333,1,0.3333,3
apache.lucene.analysis.KeywordTokenizer,6,3.0,0.0,1.0,8.0,1,1,2,3.0,0.5,63,1.0,0,0.8,0.666666667,0,0,19.0,1,0.3333,3
apache.lucene.analysis.StopAnalyzer,6,2.0,0.0,4.0,8.0,0,1,5,6.0,0.5,189,0.5,0,0.666666667,0.333333333,0,0,25.71428571,1,0.1429,0
apache.lucene.analysis.Token,12,1.0,0.0,0.0,9.0,24,14,1,9.0,0.75,177,0.166666667,1,0.0,0.384615385,1,1,12.15384615,3,1.0769,8
apache.lucene.analysis.PorterStemmer,160,1.0,0.0,0.0,27.0,13,1,0,13.0,0.600961538,1174,1.0,0,0.0,0.25308642,0,0,42.18518519,26,5.7407,1
apache.lucene.analysis.WhitespaceTokenizer,2,4.0,0.0,0.0,11.0,1,1,1,1.0,2.0,13,0.0,0,0.875,0.666666667,1,1,5.5,2,1.0,0
apache.lucene.analysis.CharTokenizer,11,3.0,2.0,1.0,9.0,4,2,2,2.0,0.857142857,122,1.0,0,0.571428571,0.583333333,0,0,27.75,1,0.75,2
apache.lucene.analysis.ISOLatin1AccentFilter,70,3.0,0.0,1.0,7.0,3,0,3,3.0,2.0,170,0.0,0,0.666666667,0.444444444,0,0,55.66666667,3,1.3333,3
apache.lucene.analysis.LowerCaseFilter,3,3.0,0.0,1.0,6.0,1,1,3,2.0,2.0,21,0.0,0,0.8,0.75,0,0,9.5,1,0.5,1
apache.lucene.analysis.StopFilter,12,3.0,0.0,1.0,11.0,15,2,3,7.0,0.333333333,106,1.0,0,0.571428571,0.514285714,0,0,13.85714286,3,0.7143,4
