filename,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
apache.velocity.VelocityContext,12,3.0,0.0,0.0,33.0,3,6,2,10.0,0.5555555560000001,86,1.0,0,0.793103448,0.38,1,4,7.4,1,0.6,0
apache.velocity.Template,11,2.0,0.0,11.0,21.0,0,13,14,4.0,0.333333333,209,1.0,1,0.842105263,0.5,1,1,51.0,1,0.75,4
apache.velocity.anakia.AnakiaElement,11,2.0,0.0,2.0,11.0,64,1,7,11.0,1.0,93,1.0,0,0.920454545,0.606060606,1,2,6.583333333,1,0.5833,0
apache.velocity.anakia.OutputWrapper,3,2.0,0.0,0.0,2.0,3,1,3,2.0,2.0,23,0.0,0,0.984615385,0.5,1,1,6.666666667,1,0.3333,0
apache.velocity.anakia.XPathTool,4,1.0,0.0,2.0,4.0,6,1,5,4.0,2.0,34,0.0,0,0.0,0.5,0,0,7.5,1,0.75,0
apache.velocity.anakia.Escape,9,1.0,0.0,0.0,2.0,1,1,0,2.0,0.5,84,0.0,0,0.0,0.5,0,0,26.66666667,10,3.3333,0
apache.velocity.anakia.TreeWalker,4,1.0,0.0,1.0,3.0,3,1,2,2.0,2.0,41,0.0,0,0.0,0.666666667,0,0,12.66666667,2,1.0,0
apache.velocity.anakia.NodeList,55,1.0,0.0,2.0,36.0,0,3,13,34.0,0.5,438,1.0,1,0.0,0.177777778,1,1,10.78378378,12,1.1351,0
apache.velocity.anakia.AnakiaJDOMFactory,5,2.0,0.0,1.0,5.0,10,1,4,5.0,2.0,32,0.0,0,0.8620689659999999,0.666666667,0,0,5.4,1,0.8,0
apache.velocity.anakia.AnakiaTask,43,2.0,0.0,12.0,13.0,51,1,22,10.0,0.826530612,776,0.857142857,1,0.8478260870000001,0.373333333,2,2,49.8,5,1.4667,0
apache.velocity.anakia.XPathCache,3,1.0,0.0,0.0,2.0,1,3,1,0.0,0.5,45,1.0,0,0.0,0.5,0,0,13.66666667,2,0.6667,0
apache.velocity.app.VelocityEngine,32,1.0,0.0,10.0,23.0,0,3,15,23.0,0.0,431,1.0,1,0.0,0.25,0,0,14.35714286,2,0.9286,3
apache.velocity.app.Velocity,33,1.0,0.0,11.0,24.0,300,1,17,24.0,2.0,351,0.0,0,0.0,0.16,0,0,13.04,8,1.28,2
apache.velocity.app.FieldMethodizer,13,1.0,0.0,0.0,7.0,1,0,1,6.0,0.0,177,1.0,0,0.0,0.46428571399999996,0,0,24.0,4,1.0,1
apache.velocity.app.event.EventCartridge,18,1.0,0.0,2.0,6.0,29,10,10,6.0,0.69047619,365,0.833333333,0,0.0,0.177777778,0,0,22.93333333,7,1.8,2
apache.velocity.app.tools.VelocityFormatter,26,1.0,0.0,3.0,18.0,133,2,3,18.0,0.764705882,298,0.0,1,0.0,0.333333333,0,0,15.5,4,1.3889,0
apache.velocity.context.InternalContextAdapterImpl,22,1.0,0.0,4.0,18.0,52,4,8,18.0,0.683333333,161,0.0,3,0.0,0.214285714,0,0,6.523809524,2,1.0476,4
apache.velocity.context.VMContext,26,1.0,0.0,6.0,19.0,0,1,8,19.0,0.672727273,245,0.2,2,0.0,0.18695652199999999,0,0,9.434782608999999,4,1.1739,5
apache.velocity.context.AbstractContext,15,2.0,1.0,0.0,23.0,66,1,4,13.0,0.75,95,1.0,1,0.52173913,0.46153846200000004,0,0,6.230769231,4,1.3846,1
apache.velocity.context.InternalContextBase,11,1.0,1.0,3.0,10.0,34,2,5,10.0,0.8472222220000001,106,1.0,2,0.0,0.21978022,0,0,6.692307692000001,2,1.0,2
apache.velocity.convert.WebMacro,22,1.0,0.0,1.0,8.0,39,0,3,3.0,0.962962963,470,1.0,0,0.0,0.38888888899999996,0,0,45.7,8,2.3,0
apache.velocity.exception.ParseErrorException,1,3.0,0.0,0.0,2.0,0,25,5,1.0,0.625,204,1.0,0,0.7777777779999999,0.355555556,0,0,21.11111111,1,0.4444,1
apache.velocity.exception.MethodInvocationException,5,3.0,0.0,0.0,6.0,6,45,3,5.0,0.80952381,94,1.0,0,0.666666667,0.375,1,1,10.0,2,1.0,2
apache.velocity.exception.VelocityException,1,2.0,3.0,0.0,1.0,0,9,1,1.0,0.666666667,35,1.0,0,0.9285714290000001,0.666666667,0,0,7.25,1,0.25,1
apache.velocity.exception.ResourceNotFoundException,1,3.0,0.0,0.0,2.0,3,34,1,1.0,1.5,17,1.0,0,1.0,0.7777777779999999,0,0,4.333333333,0,0.0,1
apache.velocity.io.VelocityWriter,41,2.0,0.0,0.0,19.0,61,1,0,14.0,0.7098765429999999,342,0.666666667,0,0.46428571399999996,0.305555556,1,2,16.52631579,2,0.8421,0
apache.velocity.runtime.RuntimeInstance,76,1.0,0.0,19.0,45.0,674,3,30,35.0,0.794507576,1402,0.590909091,7,0.0,0.181632653,0,0,27.16326531,6,1.4286,8
apache.velocity.runtime.Runtime,29,1.0,0.0,8.0,29.0,435,0,10,29.0,2.0,133,0.0,0,0.0,0.133333333,0,0,3.433333333,1,0.9667,2
apache.velocity.runtime.RuntimeSingleton,35,1.0,0.0,12.0,35.0,0,3,15,34.0,0.026315789,200,1.0,1,0.0,0.111111111,0,0,4.102564103,1,0.9487,3
apache.velocity.runtime.VelocimacroFactory,46,1.0,0.0,10.0,17.0,16,1,13,6.0,0.6759259259999999,615,1.0,3,0.0,0.36923076899999996,0,0,45.61538462,12,3.0769,7
apache.velocity.runtime.VelocimacroManager,29,1.0,0.0,3.0,12.0,43,2,4,7.0,0.703296703,300,1.0,1,0.0,0.346153846,0,0,19.92857143,5,2.2143,5
apache.velocity.runtime.directive.VMProxyArg,43,1.0,0.0,13.0,11.0,0,2,11,10.0,0.663636364,580,1.0,3,0.0,0.24675324699999998,0,0,50.72727273,3,1.1818,2
apache.velocity.runtime.directive.Literal,4,2.0,0.0,3.0,11.0,8,0,5,4.0,0.75,31,0.0,0,0.636363636,0.44,0,0,5.0,1,0.8,0
apache.velocity.runtime.directive.MacroParseException,1,3.0,0.0,0.0,6.0,0,2,3,1.0,0.9,256,1.0,0,0.75,0.375,1,3,41.33333333,10,3.1667,2
apache.velocity.runtime.directive.Parse,12,3.0,0.0,12.0,11.0,6,0,11,3.0,2.0,272,0.0,0,0.727272727,0.4375,1,1,67.0,1,0.75,3
apache.velocity.runtime.directive.Include,15,3.0,0.0,10.0,14.0,9,0,11,4.0,0.5,285,1.0,0,0.571428571,0.428571429,0,0,39.42857143,1,0.8571,2
apache.velocity.runtime.directive.VelocimacroProxy,28,2.0,0.0,12.0,21.0,39,3,16,11.0,0.811688312,487,1.0,1,0.333333333,0.237037037,0,0,30.73333333,3,1.2667,8
apache.velocity.runtime.directive.Macro,16,2.0,0.0,9.0,14.0,43,2,11,5.0,0.7777777779999999,276,1.0,0,0.46666666700000003,0.24691358,0,0,26.5,5,1.5,3
apache.velocity.runtime.directive.Foreach,10,2.0,0.0,12.0,11.0,8,0,16,4.0,0.75,226,1.0,1,0.636363636,0.44,0,0,43.2,1,0.8,9
apache.velocity.runtime.directive.InputBase,2,2.0,2.0,5.0,8.0,1,2,4,0.0,2.0,19,0.0,0,0.875,0.75,0,0,8.5,2,1.0,0
apache.velocity.runtime.directive.Directive,4,1.0,5.0,6.0,7.0,16,12,8,7.0,0.761904762,40,1.0,1,0.0,0.3125,0,0,3.625,1,0.875,1
apache.velocity.runtime.log.VelocityFormatter,2,2.0,0.0,0.0,2.0,1,1,1,1.0,2.0,11,0.0,0,0.9411764709999999,0.833333333,1,2,4.5,1,0.5,0
apache.velocity.runtime.log.LogManager,9,1.0,0.0,5.0,1.0,3,1,8,1.0,2.0,241,0.0,0,0.0,0.444444444,0,0,79.33333333,1,0.6667,2
apache.velocity.runtime.log.PrimordialLogSystem,6,1.0,0.0,1.0,4.0,3,0,4,4.0,2.0,18,0.0,0,0.7142857140000001,0.5,0,0,5.0,1,0.6667,0
apache.velocity.runtime.log.NullLogSystem,3,1.0,0.0,1.0,3.0,1,0,2,3.0,2.0,6,0.0,0,0.8,0.666666667,0,0,2.0,1,0.5,0
apache.velocity.runtime.log.SimpleLog4JLogSystem,13,1.0,0.0,2.0,6.0,0,0,8,4.0,0.333333333,168,1.0,1,0.0,0.41666666700000005,0,0,26.5,2,1.3333,0
apache.velocity.runtime.log.Log4JLogSystem,21,1.0,0.0,2.0,10.0,1,0,2,4.0,2.0,10,0.0,0,0.8888888890000001,0.666666667,0,0,4.0,1,0.5,0
apache.velocity.runtime.log.AvalonLogSystem,10,1.0,0.0,3.0,4.0,1,0,2,4.0,2.0,10,0.0,0,0.8888888890000001,0.666666667,0,0,4.0,1,0.5,0
apache.velocity.runtime.parser.JJTParserState,17,1.0,0.0,1.0,12.0,0,1,1,0.0,0.436363636,218,1.0,0,0.0,0.39583333299999995,0,0,16.75,3,1.3333,1
apache.velocity.runtime.parser.Token,2,1.0,0.0,0.0,2.0,3,24,0,2.0,1.4375,23,0.0,2,0.0,0.5,0,0,4.0,2,1.0,0
apache.velocity.runtime.parser.VelocityCharStream,53,1.0,0.0,0.0,24.0,0,1,1,21.0,0.504347826,991,0.666666667,0,0.0,0.3125,0,0,39.66666667,7,1.5,3
apache.velocity.runtime.parser.ParseException,25,2.0,1.0,1.0,5.0,0,15,1,4.0,0.666666667,388,0.5,1,0.8666666670000001,0.4,1,1,75.4,14,4.8,0
apache.velocity.runtime.parser.ParserTokenManager,1201,1.0,0.0,3.0,93.0,575,1,4,10.0,0.804221995,12396,0.272727273,1,0.0,0.33895131100000003,0,0,136.3666667,201,12.8222,5
apache.velocity.runtime.parser.Parser,1087,1.0,0.0,52.0,143.0,7900,48,60,45.0,0.7615894040000001,8177,0.7857142859999999,10,0.0,0.145695364,0,0,52.61184211,12,2.6118,10
apache.velocity.runtime.parser.TokenMgrError,18,2.0,0.0,0.0,6.0,15,2,0,4.0,1.12,184,0.0,0,0.8125,0.5,1,1,28.83333333,14,2.8333,0
apache.velocity.runtime.visitor.VMReferenceMungeVisitor,3,2.0,0.0,2.0,39.0,0,1,3,2.0,0.0,33,1.0,0,0.977272727,0.625,0,0,15.0,2,1.0,2
apache.velocity.runtime.visitor.NodeViewMode,39,2.0,0.0,36.0,73.0,897,0,44,34.0,0.011904762,340,1.0,0,0.505882353,0.06760411,0,0,6.860465116,4,1.0698,1
apache.velocity.runtime.visitor.BaseVisitor,37,1.0,2.0,36.0,37.0,946,2,43,37.0,1.0,344,1.0,1,0.0,0.064646465,0,0,6.772727272999999,1,0.9773,1
apache.velocity.servlet.VelocityServlet,32,2.0,1.0,12.0,16.0,149,0,10,5.0,1.019607843,417,0.444444444,1,0.6,0.33823529399999996,1,2,21.66666667,5,1.1111,0
apache.velocity.texen.Generator,31,1.0,0.0,4.0,20.0,194,2,5,16.0,0.8787878790000001,530,0.727272727,3,0.0,0.261904762,0,0,19.76,3,1.04,0
apache.velocity.texen.ant.TexenTask,43,2.0,0.0,9.0,17.0,177,0,12,15.0,0.9285714290000001,565,1.0,0,0.637931034,0.30909090899999997,1,1,24.13636364,5,1.1364,0
apache.velocity.texen.util.PropertiesUtil,9,1.0,0.0,1.0,3.0,6,0,1,1.0,2.0,145,0.0,0,0.0,0.875,0,0,35.25,2,1.0,0
apache.velocity.texen.util.FileUtil,5,1.0,0.0,0.0,3.0,6,0,0,3.0,2.0,50,0.0,0,0.0,0.5,0,0,11.5,2,1.0,0
apache.velocity.util.EnumerationIterator,1,1.0,0.0,0.0,1.0,0,1,0,1.0,0.333333333,23,1.0,0,0.0,0.625,0,0,4.5,1,0.75,0
apache.velocity.util.ArrayIterator,6,1.0,0.0,0.0,4.0,0,1,0,4.0,0.444444444,77,1.0,0,0.0,0.625,0,0,17.5,2,1.25,0
