filename,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
apache.xalan.Version,9,1.0,0.0,1.0,8.0,36,0,1,8.0,2.0,69,0.0,0,0.0,0.111111111,0,0,6.666666667,2,1.0,0
apache.xalan.client.XSLTProcessorApplet,45,2.0,0.0,3.0,23.0,300,1,2,21.0,0.8792517009999999,782,0.857142857,1,0.94214876,0.344827586,3,5,25.24137931,10,1.5172,0
apache.xalan.extensions.ExtensionsTable,16,1.0,0.0,7.0,6.0,0,2,6,6.0,0.5,146,0.5,1,0.0,0.380952381,0,0,23.0,1,0.8333,1
apache.xalan.extensions.ExtensionHandlerGeneral,25,2.0,0.0,15.0,11.0,11,0,15,5.0,0.911111111,555,0.8666666670000001,0,0.545454545,0.351851852,0,0,76.14285714,2,1.0,1
apache.xalan.extensions.ExtensionNamespaceSupport,10,1.0,0.0,1.0,3.0,0,4,1,3.0,0.5,133,0.0,0,0.0,0.5555555560000001,0,0,42.0,1,0.6667,0
apache.xalan.extensions.XSLProcessorContext,31,1.0,0.0,18.0,7.0,5,6,19,7.0,0.7333333329999999,321,1.0,4,0.0,0.39285714299999996,0,0,44.14285714,1,0.8571,0
apache.xalan.extensions.ExtensionNamespacesManager,23,1.0,0.0,3.0,9.0,12,5,2,8.0,0.625,453,1.0,0,0.0,0.41666666700000005,0,0,49.0,7,2.5556,0
apache.xalan.extensions.ExtensionHandler,6,1.0,3.0,4.0,6.0,26,9,4,5.0,0.942857143,91,0.8,0,0.0,0.33928571399999996,0,0,9.75,1,0.75,1
apache.xalan.extensions.ExtensionHandlerJavaPackage,39,3.0,0.0,10.0,14.0,15,0,10,5.0,1.0,615,0.0,0,0.615384615,0.375,3,6,101.16666670000001,7,2.0,2
apache.xalan.extensions.MethodResolver,108,1.0,0.0,12.0,10.0,66,2,9,5.0,0.952898551,1997,0.043478261,7,0.0,0.26666666699999997,0,0,150.84615380000002,14,3.2308,1
apache.xalan.extensions.ExtensionHandlerExsltFunction,18,2.0,0.0,14.0,13.0,20,0,14,6.0,0.571428571,189,1.0,2,0.5,0.34920634899999997,1,1,22.25,8,2.375,1
apache.xalan.extensions.ExtensionHandlerJava,3,2.0,2.0,0.0,9.0,0,2,1,2.0,0.5,32,1.0,0,0.75,0.666666667,0,0,9.0,1,0.6667,0
apache.xalan.extensions.ExtensionHandlerJavaClass,38,3.0,0.0,8.0,14.0,0,0,9,5.0,0.76,505,0.4,0,0.615384615,0.375,2,6,82.33333333,8,2.3333,2
apache.xalan.extensions.ExpressionVisitor,3,2.0,0.0,5.0,14.0,0,1,6,2.0,0.0,23,1.0,1,0.923076923,0.625,0,0,10.0,2,1.0,0
apache.xalan.lib.NodeInfo,20,1.0,0.0,3.0,8.0,36,0,3,8.0,2.0,204,0.0,0,0.0,0.333333333,0,0,21.66666667,4,2.6667,0
apache.xalan.lib.ExsltDatetime,79,1.0,0.0,4.0,42.0,903,0,4,35.0,1.023809524,1326,0.0,0,0.0,0.16860465100000002,0,0,29.65116279,5,1.2791,3
apache.xalan.lib.Extensions,34,1.0,0.0,13.0,11.0,66,2,13,9.0,0.9090909090000001,477,0.0,0,0.0,0.25,0,0,38.58333333,5,2.0,1
apache.xalan.lib.ExsltMath,16,1.0,0.0,2.0,4.0,10,0,2,4.0,2.0,198,0.0,0,0.0,0.6,0,0,38.6,4,2.0,2
apache.xalan.lib.ExsltCommon,7,1.0,0.0,6.0,2.0,3,0,6,2.0,2.0,41,0.0,0,0.0,0.444444444,0,0,12.66666667,6,2.3333,0
apache.xalan.lib.ExsltSets,16,1.0,0.0,4.0,6.0,21,0,4,6.0,2.0,158,0.0,0,0.0,0.380952381,0,0,21.57142857,6,2.5714,0
apache.xalan.lib.PipeDocument,9,1.0,0.0,10.0,2.0,3,0,11,2.0,2.0,261,0.0,0,0.0,0.46666666700000003,0,0,86.0,1,0.6667,0
