Name,DIT,LCOM,CBO,NOC,RFC,NPM,bug
org.apache.tools.ant.AntClassLoader,2.0,93.0,5.0,0.0,36.0,9,0.0
org.apache.tools.ant.BuildEvent,2.0,72.0,4.0,0.0,11.0,0,0.0
org.apache.tools.ant.BuildException,2.0,60.0,1.0,0.0,14.0,0,0.0
org.apache.tools.ant.BuildListener,2.0,0.0,1.0,5.0,7.0,0,0.0
org.apache.tools.ant.BuildLogger,3.0,0.0,0.0,2.0,11.0,0,0.0
org.apache.tools.ant.Constants,0.0,0.0,0.0,0.0,0.0,0,0.0
org.apache.tools.ant.DefaultLogger,1.0,78.0,5.0,1.0,12.0,0,1.0
org.apache.tools.ant.DemuxOutputStream,2.0,75.0,1.0,0.0,7.0,2,0.0
org.apache.tools.ant.DesirableFilter,1.0,0.0,0.0,0.0,1.0,0,0.0
org.apache.tools.ant.DirectoryScanner,1.0,85.0,1.0,1.0,22.0,0,0.0
org.apache.tools.ant.ExitException,2.0,0.0,0.0,0.0,2.0,0,0.0
org.apache.tools.ant.FileScanner,0.0,0.0,0.0,1.0,13.0,0,0.0
org.apache.tools.ant.IntrospectionHelper,1.0,85.0,13.0,0.0,21.0,3,0.0
org.apache.tools.ant.Launcher,1.0,0.0,1.0,0.0,5.0,4,0.0
org.apache.tools.ant.Location,1.0,58.0,0.0,0.0,4.0,1,0.0
org.apache.tools.ant.Main,1.0,85.0,8.0,0.0,16.0,11,0.0
org.apache.tools.ant.NoBannerLogger,2.0,0.0,2.0,0.0,15.0,0,0.0
org.apache.tools.ant.PathTokenizer,1.0,22.0,0.0,0.0,3.0,0,0.0
org.apache.tools.ant.Project,1.0,97.0,4.0,0.0,2.0,0,0.0
org.apache.tools.ant.ProjectComponent,1.0,25.0,1.0,2.0,4.0,0,0.0
org.apache.tools.ant.ProjectHelper,1.0,87.0,6.0,0.0,11.0,4,0.0
org.apache.tools.ant.RuntimeConfigurable,1.0,78.0,3.0,0.0,11.0,0,0.0
org.apache.tools.ant.Target,1.0,90.0,3.0,0.0,9.0,0,0.0
org.apache.tools.ant.Task,2.0,89.0,5.0,40.0,23.0,0,0.0
org.apache.tools.ant.TaskAdapter,3.0,0.0,2.0,0.0,26.0,0,0.0
org.apache.tools.ant.TaskContainer,0.0,0.0,1.0,3.0,1.0,0,0.0
org.apache.tools.ant.UnknownElement,3.0,62.0,6.0,0.0,31.0,0,0.0
org.apache.tools.ant.XmlLogger,1.0,64.0,9.0,0.0,10.0,2,0.0
org.apache.tools.ant.listener.Log4jListener,1.0,0.0,4.0,0.0,8.0,0,1.0
org.apache.tools.ant.taskdefs.Ant,3.0,76.0,7.0,0.0,35.0,2,3.0
org.apache.tools.ant.taskdefs.AntStructure,3.0,77.0,4.0,0.0,29.0,3,1.0
org.apache.tools.ant.taskdefs.Available,3.0,85.0,5.0,0.0,40.0,4,0.0
org.apache.tools.ant.taskdefs.CVSPass,3.0,70.0,2.0,0.0,29.0,1,0.0
org.apache.tools.ant.taskdefs.CallTarget,3.0,60.0,3.0,0.0,30.0,0,1.0
org.apache.tools.ant.taskdefs.Chmod,5.0,60.0,7.0,0.0,74.0,0,1.0
org.apache.tools.ant.taskdefs.CompileTask,5.0,33.0,3.0,0.0,88.0,0,0.0
org.apache.tools.ant.taskdefs.ConditionTask,2.0,33.0,2.0,0.0,14.0,0,1.0
org.apache.tools.ant.taskdefs.Copy,3.0,86.0,12.0,1.0,43.0,0,2.0
org.apache.tools.ant.taskdefs.Copydir,4.0,72.0,2.0,0.0,42.0,0,0.0
org.apache.tools.ant.taskdefs.Copyfile,3.0,60.0,2.0,0.0,28.0,0,0.0
org.apache.tools.ant.taskdefs.Cvs,3.0,85.0,11.0,0.0,37.0,0,1.0
org.apache.tools.ant.taskdefs.Definer,3.0,80.0,5.0,2.0,36.0,2,0.0
org.apache.tools.ant.taskdefs.Delete,4.0,78.0,6.0,0.0,54.0,0,0.0
org.apache.tools.ant.taskdefs.Deltree,3.0,33.0,1.0,0.0,26.0,1,0.0
org.apache.tools.ant.taskdefs.DependSet,4.0,66.0,5.0,0.0,42.0,0,2.0
org.apache.tools.ant.taskdefs.Ear,6.0,64.0,5.0,0.0,83.0,0,0.0
org.apache.tools.ant.taskdefs.Echo,3.0,62.0,5.0,0.0,29.0,0,0.0
org.apache.tools.ant.taskdefs.Exec,3.0,75.0,3.0,0.0,32.0,0,0.0
org.apache.tools.ant.taskdefs.Exec.StreamPumper,2.0,40.0,1.0,0.0,3.0,0,0.0
org.apache.tools.ant.taskdefs.ExecTask,3.0,88.0,11.0,1.0,44.0,0,3.0
org.apache.tools.ant.taskdefs.Execute,1.0,91.0,15.0,0.0,19.0,2,1.0
org.apache.tools.ant.taskdefs.ExecuteJava,1.0,60.0,6.0,0.0,5.0,0,0.0
org.apache.tools.ant.taskdefs.ExecuteOn,4.0,80.0,12.0,2.0,58.0,0,1.0
org.apache.tools.ant.taskdefs.ExecuteStreamHandler,0.0,0.0,0.0,2.0,5.0,0,0.0
org.apache.tools.ant.taskdefs.ExecuteWatchdog,1.0,60.0,1.0,0.0,8.0,0,0.0
org.apache.tools.ant.taskdefs.Exit,3.0,0.0,2.0,0.0,26.0,0,2.0
org.apache.tools.ant.taskdefs.Expand,4.0,60.0,4.0,0.0,41.0,1,1.0
org.apache.tools.ant.taskdefs.Filter,3.0,53.0,2.0,0.0,28.0,0,0.0
org.apache.tools.ant.taskdefs.FixCRLF,4.0,81.0,8.0,0.0,52.0,6,0.0
org.apache.tools.ant.taskdefs.GUnzip,3.0,33.0,1.0,0.0,26.0,0,0.0
org.apache.tools.ant.taskdefs.GZip,3.0,60.0,2.0,0.0,28.0,2,0.0
