Name,SumCyclomatic,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountDeclMethodAll,CountDeclMethodPublic,PercentLackOfCohesion,bug
org.apache.tools.ant.AntClassLoader,47,2.0,0.0,2.0,15.0,9.0,86.0,2.0
org.apache.tools.ant.BuildEvent,11,2.0,0.0,3.0,11.0,11.0,72.0,0.0
org.apache.tools.ant.BuildException,16,2.0,0.0,1.0,14.0,14.0,60.0,0.0
org.apache.tools.ant.BuildListener,0,2.0,4.0,1.0,7.0,7.0,0.0,0.0
org.apache.tools.ant.BuildLogger,0,3.0,1.0,0.0,11.0,4.0,0.0,0.0
org.apache.tools.ant.Constants,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org.apache.tools.ant.DefaultLogger,23,1.0,1.0,4.0,12.0,11.0,79.0,2.0
org.apache.tools.ant.DesirableFilter,6,1.0,0.0,0.0,1.0,1.0,0.0,0.0
org.apache.tools.ant.DirectoryScanner,124,1.0,3.0,1.0,22.0,14.0,85.0,0.0
org.apache.tools.ant.FileScanner,0,0.0,1.0,0.0,13.0,13.0,0.0,0.0
org.apache.tools.ant.IntrospectionHelper,50,1.0,0.0,8.0,12.0,9.0,79.0,2.0
org.apache.tools.ant.Location,6,1.0,0.0,0.0,4.0,3.0,58.0,0.0
org.apache.tools.ant.Main,75,1.0,0.0,7.0,13.0,1.0,81.0,1.0
org.apache.tools.ant.NoBannerLogger,5,2.0,0.0,2.0,15.0,3.0,0.0,0.0
org.apache.tools.ant.PathTokenizer,7,1.0,0.0,0.0,3.0,3.0,22.0,0.0
org.apache.tools.ant.Project,5,1.0,0.0,1.0,2.0,2.0,100.0,1.0
org.apache.tools.ant.ProjectHelper,36,1.0,0.0,6.0,9.0,5.0,85.0,3.0
org.apache.tools.ant.RuntimeConfigurable,11,1.0,0.0,3.0,9.0,7.0,72.0,2.0
org.apache.tools.ant.Target,24,1.0,0.0,4.0,16.0,15.0,87.0,1.0
org.apache.tools.ant.Task,20,1.0,55.0,5.0,18.0,15.0,87.0,0.0
org.apache.tools.ant.TaskAdapter,5,2.0,0.0,2.0,21.0,3.0,0.0,0.0
org.apache.tools.ant.UnknownElement,11,2.0,0.0,5.0,24.0,5.0,55.0,3.0
org.apache.tools.ant.XmlLogger,24,1.0,0.0,8.0,9.0,8.0,69.0,0.0
org.apache.tools.ant.taskdefs.Ant,28,2.0,0.0,7.0,27.0,7.0,70.0,0.0
org.apache.tools.ant.taskdefs.AntStructure,6,2.0,0.0,1.0,20.0,2.0,66.0,0.0
org.apache.tools.ant.taskdefs.Available,27,2.0,0.0,5.0,30.0,9.0,80.0,0.0
org.apache.tools.ant.taskdefs.CallTarget,5,2.0,0.0,3.0,22.0,4.0,37.0,0.0
org.apache.tools.ant.taskdefs.Chmod,16,4.0,0.0,5.0,60.0,12.0,64.0,0.0
org.apache.tools.ant.taskdefs.CompileTask,5,4.0,0.0,2.0,73.0,3.0,33.0,0.0
org.apache.tools.ant.taskdefs.Copy,48,2.0,1.0,9.0,34.0,12.0,83.0,0.0
org.apache.tools.ant.taskdefs.Copydir,13,3.0,0.0,2.0,35.0,6.0,72.0,0.0
org.apache.tools.ant.taskdefs.Copyfile,11,2.0,0.0,2.0,23.0,5.0,60.0,0.0
org.apache.tools.ant.taskdefs.Cvs,30,2.0,0.0,9.0,29.0,11.0,80.0,0.0
org.apache.tools.ant.taskdefs.Delete,42,3.0,0.0,6.0,46.0,15.0,78.0,0.0
org.apache.tools.ant.taskdefs.Deltree,12,2.0,0.0,1.0,21.0,2.0,33.0,0.0
org.apache.tools.ant.taskdefs.Echo,14,2.0,0.0,5.0,24.0,6.0,62.0,0.0
org.apache.tools.ant.taskdefs.Exec,23,2.0,0.0,3.0,27.0,6.0,75.0,0.0
org.apache.tools.ant.taskdefs.Exec.StreamPumper,8,2.0,0.0,1.0,3.0,3.0,40.0,0.0
org.apache.tools.ant.taskdefs.ExecTask,35,2.0,1.0,11.0,36.0,11.0,85.0,0.0
org.apache.tools.ant.taskdefs.Execute,45,1.0,0.0,14.0,19.0,14.0,90.0,1.0
org.apache.tools.ant.taskdefs.ExecuteJava,15,1.0,0.0,6.0,5.0,5.0,60.0,0.0
org.apache.tools.ant.taskdefs.ExecuteOn,26,3.0,2.0,9.0,46.0,4.0,77.0,0.0
org.apache.tools.ant.taskdefs.ExecuteStreamHandler,0,0.0,3.0,0.0,5.0,5.0,0.0,0.0
org.apache.tools.ant.taskdefs.ExecuteWatchdog,17,1.0,0.0,1.0,8.0,7.0,60.0,0.0
org.apache.tools.ant.taskdefs.Exit,3,2.0,0.0,1.0,20.0,2.0,0.0,0.0
org.apache.tools.ant.taskdefs.Expand,17,3.0,0.0,4.0,33.0,3.0,50.0,0.0
org.apache.tools.ant.taskdefs.Filter,8,2.0,0.0,2.0,23.0,4.0,53.0,0.0
org.apache.tools.ant.taskdefs.FixCRLF,57,3.0,0.0,5.0,37.0,8.0,70.0,3.0
org.apache.tools.ant.taskdefs.GUnzip,16,2.0,0.0,1.0,21.0,3.0,33.0,0.0
