Name,SumCyclomatic,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountDeclMethodAll,CountDeclMethodPublic,bug
apache.tools.ant.AntClassLoader,166,2.0,2.0,14.0,54.0,35.0,6.0
apache.tools.ant.AntTypeDefinition,49,1.0,2.0,4.0,20.0,17.0,0.0
apache.tools.ant.BuildEvent,11,2.0,0.0,4.0,11.0,11.0,0.0
apache.tools.ant.BuildException,17,2.0,3.0,1.0,15.0,15.0,0.0
apache.tools.ant.ComponentHelper,105,1.0,0.0,18.0,38.0,26.0,0.0
apache.tools.ant.DefaultLogger,30,1.0,4.0,7.0,17.0,12.0,3.0
apache.tools.ant.DemuxInputStream,4,2.0,0.0,1.0,3.0,3.0,0.0
apache.tools.ant.DemuxOutputStream,20,2.0,0.0,2.0,10.0,5.0,0.0
apache.tools.ant.Diagnostics,73,1.0,0.0,10.0,30.0,5.0,3.0
apache.tools.ant.DirectoryScanner,191,1.0,2.0,7.0,62.0,31.0,3.0
apache.tools.ant.ExitException,3,2.0,0.0,0.0,3.0,3.0,0.0
apache.tools.ant.ExitStatusException,4,3.0,0.0,1.0,19.0,4.0,0.0
apache.tools.ant.IntrospectionHelper,125,1.0,0.0,23.0,34.0,24.0,4.0
apache.tools.ant.Location,16,1.0,0.0,1.0,10.0,9.0,0.0
apache.tools.ant.MagicNames,1,1.0,0.0,1.0,1.0,0.0,2.0
apache.tools.ant.Main,121,1.0,0.0,17.0,22.0,5.0,4.0
apache.tools.ant.NoBannerLogger,6,2.0,0.0,3.0,21.0,4.0,1.0
apache.tools.ant.PathTokenizer,15,1.0,0.0,1.0,3.0,3.0,0.0
apache.tools.ant.Project,212,1.0,0.0,31.0,119.0,103.0,10.0
apache.tools.ant.ProjectComponent,12,1.0,28.0,2.0,10.0,10.0,0.0
apache.tools.ant.ProjectHelper,45,1.0,2.0,8.0,18.0,17.0,1.0
apache.tools.ant.PropertyHelper,62,1.0,0.0,3.0,23.0,18.0,3.0
apache.tools.ant.RuntimeConfigurable,57,1.0,0.0,10.0,24.0,22.0,1.0
apache.tools.ant.Target,51,1.0,0.0,7.0,28.0,24.0,1.0
apache.tools.ant.Task,43,2.0,102.0,7.0,39.0,19.0,0.0
apache.tools.ant.TaskAdapter,17,3.0,0.0,5.0,44.0,5.0,0.0
apache.tools.ant.UnknownElement,84,3.0,0.0,13.0,70.0,19.0,3.0
apache.tools.ant.UnsupportedAttributeException,2,3.0,0.0,0.0,17.0,2.0,0.0
apache.tools.ant.UnsupportedElementException,2,3.0,0.0,0.0,17.0,2.0,0.0
apache.tools.ant.XmlLogger,48,1.0,0.0,12.0,15.0,12.0,1.0
apache.tools.ant.dispatch.DispatchTask,3,3.0,1.0,0.0,42.0,3.0,0.0
apache.tools.ant.dispatch.DispatchUtils,19,1.0,0.0,4.0,1.0,1.0,0.0
apache.tools.ant.filters.BaseFilterReader,19,2.0,6.0,2.0,10.0,5.0,0.0
apache.tools.ant.filters.BaseParamFilterReader,4,3.0,12.0,1.0,14.0,3.0,0.0
apache.tools.ant.filters.ClassConstants,16,3.0,0.0,1.0,14.0,4.0,0.0
apache.tools.ant.filters.ConcatFilter,24,4.0,0.0,2.0,23.0,8.0,0.0
apache.tools.ant.filters.EscapeUnicode,10,4.0,0.0,0.0,19.0,4.0,0.0
apache.tools.ant.filters.ExpandProperties,8,3.0,0.0,1.0,14.0,4.0,0.0
apache.tools.ant.filters.FixCrLfFilter,29,4.0,0.0,10.0,32.0,16.0,0.0
apache.tools.ant.filters.HeadFilter,22,4.0,0.0,2.0,24.0,6.0,0.0
